指標名,世界トップ企業,,,,,,,,,,,,,,
出典,Forbes,,,,,,,,,,,,,,
年次,2024年,,,,,,,,,,,,,,
URL,"https://www.forbes.com/global2000, https://fortune.com/ranking/global500/2024/",,,,,,,,,,,,,,
備考,2019：157件　2020：165件　2021：163件　2022：150件　2023：141件　2024年：145件,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目２－１,35.683118,139.763278,Tokio Marine Holdings,東京海上ホールディングス株式会社,Forbes Global 2024,149,$47.95 B,$4.43 B,$212.31 B,$61.76 B,43217,https://www.forbes.com/companies/tokio-marine-holdings/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番６号,35.683186,139.765766,Hitachi,株式会社日立製作所,Forbes Global 2024,169,$67.28 B,$4.08 B,$80.75 B,$86.12 B,322525,https://www.forbes.com/companies/hitachi/?list=global2000
千代田区,飯田橋３丁目,－,東京都千代田区飯田橋３丁目１０番１０号,35.700322,139.750541,KDDI,ＫＤＤＩ株式会社,Forbes Global 2024,202,$39.79 B,$4.41 B,$93.47 B,$58.04 B,49659,https://www.forbes.com/companies/kddi/?list=global2000
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３番１号,35.686859,139.767437,Japan Post Holdings,日本郵政株式会社,Forbes Global 2024,226,$81.48 B,$1.86 B,"$1,973.56 B",$27.57 B,232112,https://www.forbes.com/companies/japan-post-holdings/?list=global2000
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目１３－１,35.675837,139.760817,Dai-ichi Life Insurance,第一生命保険株式会社,Forbes Global 2024,245,$66.12 B,$2.22 B,$446.27 B,$23.09 B,62260,https://www.forbes.com/companies/dai-ichi-life-insurance/?list=global2000
中央区,新川２丁目,－,東京都中央区新川２丁目２７番２号　東京住友ツインビルディング西館,35.674271,139.784301,MS&AD Insurance,ＭＳ＆ＡＤインシュアランス　グループ　ホールディングス株式会社,Forbes Global 2024,253,$43.03 B,$2.53 B,$183.31 B,$28.45 B,38584,https://www.forbes.com/companies/msad-insurance/?list=global2000
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３－２,35.687146,139.76796,Sumitomo,住友商事株式会社,Forbes Global 2024,285,$47.79 B,$2.67 B,$72.9 B,$32.31 B,5223,https://www.forbes.com/companies/sumitomo/?list=global2000
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目７番１号　東京日本橋タワー,35.681913,139.774275,Marubeni,丸紅株式会社,Forbes Global 2024,296,$50.14 B,$3.26 B,$58.96 B,$32.23 B,45995,https://www.forbes.com/companies/marubeni/?list=global2000
千代田区,二番町,－,東京都千代田区二番町８番地８,35.685844,139.734046,Seven & I Holdings,株式会社セブン＆アイ・ホールディングス,Forbes Global 2024,313,$80.09 B,$1.57 B,$70.77 B,$33.85 B,170757,https://www.forbes.com/companies/seven-i-holdings/?list=global2000
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目６－１,35.67857,139.762532,Nippon Steel Corporation,日本製鉄株式会社,Forbes Global 2024,325,$61.33 B,$3.8 B,$70.8 B,$19.45 B,26570,https://www.forbes.com/companies/nippon-steel/?list=global2000
新宿区,西新宿１丁目,－,東京都新宿区西新宿１丁目２６－１,35.692697,139.696109,Sompo,ＳＯＭＰＯホールディングス株式会社,Forbes Global 2024,346,$31.65 B,$2.68 B,$102.31 B,$19.99 B,49057,https://www.forbes.com/companies/sompo/?list=global2000
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目２－１,35.669469,139.745842,Japan Tobacco,日本たばこ産業株式会社,Forbes Global 2024,352,$20.17 B,$3.42 B,$47.3 B,$50.39 B,53239,https://www.forbes.com/companies/japan-tobacco/?list=global2000
港区,浜松町２丁目,－,東京都港区浜松町２丁目４番１号　世界貿易センタービル,35.656171,139.756444,Orix,オリックス株式会社,Forbes Global 2024,379,$19.46 B,$2.39 B,$107.85 B,$25.2 B,32235,https://www.forbes.com/companies/orix/?list=global2000
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町二丁目１番１号,35.687672,139.774633,Takeda Pharmaceutical,武田薬品工業株式会社,Forbes Global 2024,384,$29.49 B,$996.3 M,$99.83 B,$41.69 B,49095,https://www.forbes.com/companies/takeda-pharmaceutical/?list=global2000
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目７－３,35.678607,139.764936,Mitsubishi Electric,三菱電機株式会社,Forbes Global 2024,386,$36.36 B,$1.97 B,$40.75 B,$37.88 B,149655,https://www.forbes.com/companies/mitsubishi-electric/?list=global2000
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目６番１号,35.684409,139.769068,Shin-Etsu Chemical,信越化学工業株式会社,Forbes Global 2024,402,$16.7 B,$3.6 B,$34.02 B,$75 B,24069,https://www.forbes.com/companies/shin-etsu-chemical/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１－２,35.686064,139.761993,ENEOS Holdings,ＥＮＥＯＳホールディングス株式会社,Forbes Global 2024,410,$95.83 B,$1.99 B,$66.98 B,$14.39 B,41852,https://www.forbes.com/companies/eneos-holdings/?list=global2000
中央区,日本橋１丁目,日八京,東京都中央区日本橋１丁目９－１,35.683777,139.776151,Nomura,野村證券株式会社,Forbes Global 2024,422,$28.75 B,$1.15 B,$364.38 B,$17.53 B,26402,https://www.forbes.com/companies/nomura/?list=global2000
中央区,京橋３丁目,日八京,東京都中央区京橋３丁目１番１号,35.6761,139.768382,Bridgestone,株式会社ブリヂストン,Forbes Global 2024,432,$29.97 B,$2.25 B,$36.95 B,$30.49 B,125199,https://www.forbes.com/companies/bridgestone/?list=global2000
港区,赤坂２丁目,赤坂,東京都港区赤坂２丁目３番６号,35.670873,139.74211,Komatsu,株式会社　小松製作所,Forbes Global 2024,435,$26.78 B,$2.72 B,$37.24 B,$27.97 B,64343,https://www.forbes.com/companies/komatsu/?list=global2000
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目２番３号,35.677699,139.761735,Mitsubishi Heavy Industries,三菱重工業株式会社,Forbes Global 2024,447,$32.21 B,$1.54 B,$41.34 B,$29.64 B,77283,https://www.forbes.com/companies/mitsubishi-heavy-industries/?list=global2000
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－９－１,35.663042,139.76131,Softbank,ソフトバンク株式会社,Forbes Global 2024,461,$46.73 B,$-1.72 B,$308.73 B,$80.64 B,59721,https://www.forbes.com/companies/softbank/?list=global2000
大田区,下丸子３丁目,－,東京都大田区下丸子3-30-2,35.56673,139.68355,Canon,キヤノン株式会社,Forbes Global 2024,467,$29.03 B,$1.85 B,$37.93 B,$27.53 B,169151,https://www.forbes.com/companies/canon/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－９－２,35.678637,139.767375,Recruit Holdings,株式会社リクルートホールディングス,Forbes Global 2024,485,$23.63 B,$2.45 B,$20.78 B,$76.5 B,51757,https://www.forbes.com/companies/recruit-holdings/?list=global2000
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２丁目１番１号,35.686796,139.772981,Mitsui Fudosan,三井不動産株式会社,Forbes Global 2024,499,$16.48 B,$1.55 B,$62.7 B,$26.23 B,24408,https://www.forbes.com/companies/mitsui-fudosan/?list=global2000
千代田区,内幸町１丁目,－,東京都千代田区内幸町１丁目１番３号,35.670106,139.758431,Tokyo Electric Power,東京電力ホールディングス株式会社,Forbes Global 2024,517,$47.84 B,$1.85 B,$96.44 B,$9.81 B,37891,https://www.forbes.com/companies/tokyo-electric-power/?list=global2000
渋谷区,代々木２丁目,－,東京都渋谷区代々木２丁目２番２号,35.687322,139.700055,East Japan Railway,東日本旅客鉄道株式会社,Forbes Global 2024,529,$18.88 B,$1.36 B,$64.56 B,$20.47 B,46051,https://www.forbes.com/companies/east-japan-railway/?list=global2000
渋谷区,恵比寿１丁目,－,東京都渋谷区恵比寿１丁目２０－８,35.646787,139.713393,Subaru,株式会社ＳＵＢＡＲＵ,Forbes Global 2024,541,$32.52 B,$2.66 B,$31.81 B,$15.58 B,36910,https://www.forbes.com/companies/subaru/?list=global2000
港区,赤坂９丁目,六本木,東京都港区赤坂９丁目７番３号,35.665548,139.730402,Fujifilm Holdings,富士フイルムホールディングス株式会社,Forbes Global 2024,560,$20.48 B,$1.68 B,$31.61 B,$26.45 B,75470,https://www.forbes.com/companies/fujifilm-holdings/?list=global2000
港区,赤坂５丁目,赤坂,東京都港区赤坂五丁目３番１号　赤坂Ｂｉｚタワー,35.673175,139.736359,Inpex,国際石油開発帝石株式会社,Forbes Global 2024,564,$15.1 B,$2.36 B,$48.24 B,$19.08 B,3531,https://www.forbes.com/companies/inpex/?list=global2000
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５－２,35.665401,139.761062,Fujitsu,富士通株式会社,Forbes Global 2024,580,$25.98 B,$1.76 B,$23.22 B,$27.93 B,124055,https://www.forbes.com/companies/fujitsu/?list=global2000
港区,赤坂５丁目,赤坂,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー,35.673175,139.736359,Tokyo Electron,東京エレクトロン株式会社,Forbes Global 2024,634,$12.66 B,$2.52 B,$16.23 B,$107.51 B,15634,https://www.forbes.com/companies/tokyo-electron/?list=global2000
墨田区,吾妻橋１丁目,－,東京都墨田区吾妻橋１丁目２３−１,35.71011,139.80070,Asahi Group Holdings,アサヒグループ,Forbes Global 2024,648,$19.57 B,$1.16 B,$35.68 B,$19.31 B,28639,https://www.forbes.com/companies/asahi-group-holdings/?list=global2000
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町三丁目５番１号,35.68832,139.775066,Daiichi Sankyo,第一三共株式会社,Forbes Global 2024,677,$11.08 B,$1.39 B,$22.87 B,$68.24 B,16033,https://www.forbes.com/companies/daiichi-sankyo/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目４－１,35.684356,139.764932,Sumitomo Mitsui Trust,三井住友トラスト・ホールディングス株式会社,Forbes Global 2024,688,$15.07 B,$547.7 M,$501.35 B,$16.52 B,22024,https://www.forbes.com/companies/sumitomo-mitsui-trust/?list=global2000
港区,芝５丁目,－,東京都港区芝五丁目７番１号,35.649428,139.74794,NEC,日本電気株式会社,Forbes Global 2024,690,$24.05 B,$1.03 B,$27.93 B,$18.8 B,118527,https://www.forbes.com/companies/nec/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区丸の内三丁目１番１号,35.687754,139.762261,Idemitsu Kosan,出光興産株式会社,Forbes Global 2024,691,$60.3 B,$1.58 B,$33.12 B,$8.94 B,14209,https://www.forbes.com/companies/idemitsu-kosan/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１－１－１　大手町パークビル,35.686607,139.762823,Mitsubishi Estate,三菱地所株式会社,Forbes Global 2024,699,$10.41 B,$1.16 B,$50.11 B,$22.32 B,10202,https://www.forbes.com/companies/mitsubishi-estate/?list=global2000
千代田区,内幸町２丁目,－,東京都千代田区内幸町２丁目２番３号,35.670326,139.754314,JFE Holdings,ＪＦＥ（ジェイエフイー）ホールディングス株式会社,Forbes Global 2024,710,$35.78 B,$1.37 B,$38.02 B,$9.37 B,64296,https://www.forbes.com/companies/jfe-holdings/?list=global2000
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目３番２号　郵船ビル,35.68152,139.762919,Nippon Yusen,日本郵船株式会社,Forbes Global 2024,719,$16.51 B,$1.58 B,$28.11 B,$14.59 B,35165,https://www.forbes.com/companies/nippon-yusen/?list=global2000
江東区,豊洲３丁目,－,東京都江東区豊洲３丁目２番２４号,35.657587,139.79497,Renesas Electronics,ルネサス　エレクトロニクス株式会社,Forbes Global 2024,731,$10.11 B,$2.16 B,$21.37 B,$31.22 B,21204,https://www.forbes.com/companies/renesas-electronics/?list=global2000
江東区,木場１丁目,－,東京都江東区木場１丁目５番６５号　深川ギャザリア　Ｗ２棟,35.66733,139.803271,Resona Holdings,株式会社りそなホールディングス,Forbes Global 2024,772,$6.18 B,$1.1 B,$503.16 B,$15.19 B,19744,https://www.forbes.com/companies/resona-holdings/?list=global2000
千代田区,神田司町２丁目,－,東京都千代田区神田司町２－９,35.693506,139.766949,Otsuka Holding,大塚ホールディングス株式会社,Forbes Global 2024,799,$14.45 B,$951.3 M,$22.79 B,$22.72 B,34388,https://www.forbes.com/companies/otsuka-holding/?list=global2000
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－７－１,35.681913,139.774275,T&D Holdings,株式会社Ｔ＆Ｄホールディングス,Forbes Global 2024,812,$19.35 B,$683.1 M,$113.69 B,$8.57 B,12236,https://www.forbes.com/companies/td-holdings/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－５－１,35.682543,139.764287,Mitsubishi UFJ Lease,三菱ＵＦＪリース株式会社,Forbes Global 2024,832,$13.49 B,$856.4 M,$73.67 B,$9.49 B,8803,https://www.forbes.com/companies/mitsubishi-ufj-lease/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目９番１号,35.68173,139.766185,Daiwa Securities,大和証券株式会社,Forbes Global 2024,840,$8.87 B,$840.6 M,$211.62 B,$10.18 B,15096,https://www.forbes.com/companies/daiwa-securities/?list=global2000
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目１番１号,35.669849,139.746873,Mitsui OSK Lines,株式会社　商船三井,Forbes Global 2024,853,$11.26 B,$1.81 B,$27.23 B,$11.81 B,8571,https://www.forbes.com/companies/mitsui-osk-lines/?list=global2000
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目５番１号,35.681472,139.773827,TDK,ＴＤＫ株式会社,Forbes Global 2024,858,$14.55 B,$862.3 M,$22.57 B,$17.73 B,101000,https://www.forbes.com/companies/tdk/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－１－１,35.6845,139.761221,Mitsubishi Chemical,三菱ケミカル株式会社,Forbes Global 2024,869,$30.34 B,$827.1 M,$40.34 B,$7.46 B,68639,https://www.forbes.com/companies/mitsubishi-chemical/?list=global2000
新宿区,西新宿２丁目,－,東京都新宿区西新宿二丁目４番１号,35.688037,139.693512,Sumitomo Realty,住友不動産株式会社,Forbes Global 2024,887,$6.69 B,$1.23 B,$44.13 B,$15.67 B,13040,https://www.forbes.com/companies/sumitomo-realty/?list=global2000
港区,海岸１丁目,－,東京都港区海岸１－５－２０,35.65345,139.758554,Tokyo Gas,東京ガス株式会社,Forbes Global 2024,914,$18.43 B,$1.18 B,$25.7 B,$8.7 B,16858,https://www.forbes.com/companies/tokyo-gas/?list=global2000
世田谷区,玉川１丁目,－,東京都世田谷区玉川１丁目１４−１,35.61055,139.63007,Rakuten,楽天グループ株式会社,Forbes Global 2024,936,$14.59 B,$-2.07 B,$157.59 B,$10.98 B,30830,https://www.forbes.com/companies/rakuten/?list=global2000
中野区,中野４丁目,－,東京都中野区中野４丁目１０−２,35.70682,139.66169,Kirin Holdings,キリンホールディングス株式会社,Forbes Global 2024,1000,$15.12 B,$919.8 M,$19.85 B,$11.66 B,30183,https://www.forbes.com/companies/kirin-holdings/?list=global2000
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－５－２　汐留シティセンター,35.665497,139.760881,All Nippon Airways,全日本空輸株式会社,Forbes Global 2024,1015,$14.22 B,$1.09 B,$23.59 B,$9.09 B,46580,https://www.forbes.com/companies/all-nippon-airways/?list=global2000
港区,六本木１丁目,虎ノ門,東京都港区六本木１丁目６番１号,35.664562,139.739496,SBI Holdings,ＳＢＩホールディングス株式会社,Forbes Global 2024,1084,$8.43 B,$603.3 M,$179.78 B,$7.58 B,17496,https://www.forbes.com/companies/sbi-holdings/?list=global2000
港区,元赤坂１丁目,赤坂,東京都港区元赤坂１－３－１,35.67731,139.734376,Kajima,鹿島建設株式会社,Forbes Global 2024,1116,$18.43 B,$795.5 M,$20.71 B,$8.27 B,19400,https://www.forbes.com/companies/kajima/?list=global2000
新宿区,西新宿６丁目,－,東京都新宿区西新宿６－１０－１　日土地西新宿ビル　２０Ｆ,35.694603,139.690753,Hoya,ＨＯＹＡ株式会社,Forbes Global 2024,1124,$5.27 B,$1.25 B,$7.95 B,$42.74 B,38376,https://www.forbes.com/companies/hoya/?list=global2000
中央区,日本橋兜町,－,東京都中央区日本橋兜町２－１,35.682537,139.778873,Japan Exchange Group,株式会社日本取引所グループ,Forbes Global 2024,1159,$1.09 B,$420.6 M,$533.1 B,$12.17 B,1197,https://www.forbes.com/companies/japan-exchange-group/?list=global2000
千代田区,外神田４丁目,－,東京都千代田区外神田４－１４－１,35.700567,139.772715,SMC,ＳＭＣ　株式会社,Forbes Global 2024,1176,$5.37 B,$1.23 B,$13.84 B,$33.78 B,23127,https://www.forbes.com/companies/smc/?list=global2000
港区,芝浦３丁目,－,東京都港区芝浦三丁目１番２１号,35.645067,139.749208,Mitsubishi Motors,三菱自動車工業株式会社,Forbes Global 2024,1183,$19.29 B,$1.07 B,$16.22 B,$4.21 B,80000,https://www.forbes.com/companies/mitsubishi-motors/?list=global2000
新宿区,西新宿２丁目,－,東京都新宿区西新宿２－３－１　新宿モノリス,35.688616,139.694568,Olympus,オリンパス株式会社,Forbes Global 2024,1196,$6.47 B,$1.68 B,$10.14 B,$18.45 B,32844,https://www.forbes.com/companies/olympus/?list=global2000
渋谷区,道玄坂２丁目,－,東京都渋谷区道玄坂２丁目２５−１２ 道玄坂通,35.66022,139.69740,Pan Pacific International Holdings,株式会社パン・パシフィック・インターナショナルホールディングス,Forbes Global 2024,1232,$14.16 B,$600 M,$9.61 B,$14.73 B,17107,https://www.forbes.com/companies/pan-pacific-international-holdings/?list=global2000
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町２－５－１,35.687263,139.77611,Astellas Pharma,アステラス製薬株式会社,Forbes Global 2024,1233,$11.09 B,$89.2 M,$23.59 B,$17.16 B,15455,https://www.forbes.com/companies/astellas-pharma/?list=global2000
中央区,京橋１丁目,日八京,東京都中央区京橋１丁目１５番１号,35.676999,139.773353,Ajinomoto,味の素株式会社,Forbes Global 2024,1275,$9.95 B,$602.5 M,$11.72 B,$19.77 B,34615,https://www.forbes.com/companies/ajinomoto/?list=global2000
千代田区,内幸町２丁目,－,東京都千代田区内幸町２－１－１,35.670872,139.752543,Sojitz,双日株式会社,Forbes Global 2024,1278,$16.7 B,$696.8 M,$19.07 B,$5.97 B,19463,https://www.forbes.com/companies/sojitz/?list=global2000
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町一丁目１番２号,35.673577,139.759175,Asahi Kasei,旭化成株式会社,Forbes Global 2024,1284,$19.26 B,$302.9 M,$24.2 B,$9.26 B,46751,https://www.forbes.com/companies/asahi-kasei/?list=global2000
渋谷区,幡ケ谷２丁目,－,東京都渋谷区幡ヶ谷２－４４－１,35.679021,139.675352,Terumo,テルモ株式会社,Forbes Global 2024,1332,$6.38 B,$735.6 M,$12.1 B,$26.02 B,28294,https://www.forbes.com/companies/terumo/?list=global2000
港区,港南２丁目,－,東京都港区港南２丁目１５番２号,35.626151,139.74206,Obayashi,株式会社大林組,Forbes Global 2024,1352,$16.08 B,$519.1 M,$19.93 B,$8.31 B,15470,https://www.forbes.com/companies/obayashi/?list=global2000
千代田区,神田練塀町,－,東京都千代田区神田練塀町３,35.700361,139.774005,Tokyo Century,東京センチュリー株式会社,Forbes Global 2024,1372,$9.31 B,$498.9 M,$42.69 B,$4.78 B,7634,https://www.forbes.com/companies/tokyo-century/?list=global2000
大田区,大森北２丁目,－,東京都大田区大森北２丁目１３−１１,35.58660,139.73407,DISCO Corp.,株式会社ディスコ,Forbes Global 2024,1408,$2.13 B,$582.3 M,$3.67 B,$39.08 B,3863,https://www.forbes.com/companies/disco-corp/?list=global2000
中央区,新川２丁目,－,東京都中央区新川２丁目２７番１号　東京住友ツインビル（東館）,35.673592,139.784448,Sumitomo Chemical,住友化学株式会社,Forbes Global 2024,1424,$16.92 B,$-2.16 B,$26 B,$3.38 B,34703,https://www.forbes.com/companies/sumitomo-chemical/?list=global2000
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２－１－１,35.686796,139.772981,Toray Industries,東レ株式会社,Forbes Global 2024,1426,$17.04 B,$151.4 M,$22.91 B,$8.11 B,48842,https://www.forbes.com/companies/toray-industries/?list=global2000
渋谷区,神宮前１丁目,－,東京都渋谷区神宮前１丁目５番１号,35.671326,139.70712,Secom,セコム株式会社,Forbes Global 2024,1434,$7.99 B,$705 M,$13.75 B,$13.52 B,71177,https://www.forbes.com/companies/secom/?list=global2000
中央区,日本橋茅場町１丁目,－,東京都中央区日本橋茅場町一丁目１４番１０号,35.680428,139.781156,Kao,花王株式会社,Forbes Global 2024,1437,$10.72 B,$384 M,$11.71 B,$20.77 B,34257,https://www.forbes.com/companies/kao/?list=global2000
中央区,日本橋２丁目,日八京,東京都中央区日本橋２丁目７番１号,35.681913,139.774275,Concordia Financial Group,株式会社　コンコルディア・フィナンシャルグループ,Forbes Global 2024,1439,$2.45 B,$462.9 M,$161.1 B,$6.69 B,5825,https://www.forbes.com/companies/concordia-financial-group/?list=global2000
港区,芝浦３丁目,－,東京都港区芝浦３丁目１−１,35.645876,139.74969,Suntory Beverage & Food,サントリー食品インターナショナル,Forbes Global 2024,1443,$11.25 B,$611.4 M,$13.05 B,$11.31 B,23532,https://www.forbes.com/companies/suntory-beverage-food/?list=global2000
港区,芝浦１丁目,－,東京都港区芝浦一丁目１番１号,35.651638,139.757975,Cosmo Energy Holdings,コスモエネルギーホールディングス株式会社,Forbes Global 2024,1495,$18.88 B,$567.5 M,$14.62 B,$4.13 B,7111,https://www.forbes.com/companies/cosmo-energy-holdings/?list=global2000
品川区,東品川２丁目,－,東京都品川区東品川二丁目４番１１号　野村不動産天王洲ビル,35.619736,139.750395,Japan Airlines,日本航空,Forbes Global 2024,1503,$11.42 B,$660.7 M,$17.5 B,$7.62 B,35423,https://www.forbes.com/companies/japan-airlines/?list=global2000
港区,三田３丁目,－,"東京都港区三田３－５－２７
住友不動産三田ツインビル西館",35.643904,139.74237,Unicharm,ユニ・チャーム株式会社,Forbes Global 2024,1505,$6.62 B,$604.2 M,$7.66 B,$19.23 B,16223,https://www.forbes.com/companies/unicharm/?list=global2000
港区,芝５丁目,－,東京都港区芝５丁目３７－８　バンダイナムコ未来研究所,35.644644,139.744531,Bandai Namco Holdings,株式会社バンダイナムコホールディングス,Forbes Global 2024,1508,$7.26 B,$701.9 M,$6.42 B,$13.18 B,9886,https://www.forbes.com/companies/bandai-namco-holdings/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目３番２号（経団連会館）,35.688619,139.763531,"Sumitomo Forestry Co.,",住友林業株式会社,Forbes Global 2024,1513,$12.52 B,$762.8 M,$12.71 B,$7.78 B,24815,https://www.forbes.com/companies/sumitomo-forestry-co/?list=global2000
中央区,八重洲２丁目,日八京,東京都中央区八重洲２丁目７番２号,35.67746,139.767712,Mebuki Financial Group,株式会社めぶきフィナンシャルグループ,Forbes Global 2024,1548,$1.89 B,$299.9 M,$143.95 B,$3.89 B,6221,https://www.forbes.com/companies/mebuki-financial-group/?list=global2000
中央区,銀座６丁目,－,東京都中央区銀座６丁目１５番１号,35.668185,139.766246,Electric Power Development,電源開発株式会社,Forbes Global 2024,1611,$8.7 B,$537.9 M,$22.97 B,$2.96 B,7146,https://www.forbes.com/companies/electric-power-development/?list=global2000
中央区,日本橋茅場町１丁目,－,東京都中央区日本橋茅場町１丁目２－１０,35.681183,139.779654,Japan Securities,日本証券金融株式会社,Forbes Global 2024,1623,$346 M,$55.5 M,$90.82 B,$907 M,272,https://www.forbes.com/companies/japan-securities/?list=global2000
港区,港南２丁目,－,東京都港区港南2-16-5 NBF品川タワー,35.62672,139.74069,Rakuten Bank,楽天銀行株式会社,Forbes Global 2024,1632,$948 M,$238.1 M,$89.07 B,$3.29 B,910,https://www.forbes.com/companies/rakuten-bank/?list=global2000
港区,新橋５丁目,虎ノ門広域,東京都港区新橋５丁目１１番３号,35.663263,139.756176,Sumitomo Metal Mining,住友金属鉱山株式会社,Forbes Global 2024,1662,$10 B,$405.3 M,$19.98 B,$9.01 B,7202,https://www.forbes.com/companies/sumitomo-metal-mining/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目５番１号,35.682543,139.764287,AGC,ＡＧＣ株式会社,Forbes Global 2024,1667,$14.03 B,$157.5 M,$19.75 B,$7.5 B,56724,https://www.forbes.com/companies/agc/?list=global2000
