指標名,ホール・劇場,,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,,
年次,2024年3月末,,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件、2024年度：469件）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯,施設種別
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-5-1,35.66977,139.7576,千代田区立内幸町ホール〔ホール〕,03-3500-5578,http://www.uchisaiwai-hall.jp/,183,188,プロセニアム形式,シューボックス形式,固定席,"ポップス, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 講演会","ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 講演会",一般に貸出している,,9:00～22:00,ホール・劇場
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-1-1,35.67111,139.75316,イイノホール,03-3506-3251,https://www.iino.co.jp/hall/,500,500,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,,ホール・劇場
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.67276,139.75409,千代田区立日比谷図書文化館〔日比谷コンベンションホール（大ホール）〕,03-3502-3345,http://hibiyal.jp/hibiya/room_01.html,207,207,プロセニアム形式,扇型形式,固定席,,"映像上映会（試写会など）, 講演会",一般に貸出している,②千代田区立の図書貸出券が必要。,10:00～22:00,ホール・劇場
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.67276,139.75409,千代田区立日比谷図書文化館〔スタジオプラス（小ホール）〕,03-3502-3345,http://hibiyal.jp/hibiya/room_01.html,60,60,舞台なし,アリーナ・平土間形式,"可動席（スタッキングチェア）, スクール形式",,"講演会, 展示会",一般に貸出している,②千代田区立の図書貸出券が必要。,10:00～22:00,ホール・劇場
千代田区,隼町,-,東京都千代田区隼町4-1,35.68066,139.74341,国立演芸場〔国立演芸場〕,03-3265-7411,https://www.ntj.jac.go.jp/engei.html,300,300,プロセニアム形式,,固定席,,,,,,ホール・劇場
千代田区,隼町,-,東京都千代田区隼町4-1,35.68066,139.74341,国立劇場〔大劇場〕,03-3265-7411,https://www.ntj.jac.go.jp/kokuritsu.html,1610,1610,プロセニアム形式,,固定席,,,,,,ホール・劇場
千代田区,隼町,-,東京都千代田区隼町4-1,35.68066,139.74341,国立劇場〔小劇場〕,03-3265-7411,https://www.ntj.jac.go.jp/kokuritsu.html,590,590,プロセニアム形式,,固定席,,,,,,ホール・劇場
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-7-3,35.69917,139.74881,飯田橋 スペースウィズ,03-5213-3085,http://www.spacewith.com/,,,,,,,,,,,ホール・劇場
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-1,35.67409,139.75955,日生劇場,03-3503-3111,http://www.nissaytheatre.or.jp/,1334,1334,プロセニアム形式,シューボックス形式,固定席,,"演劇, ミュージカル, バレエ, オペラ",,,,ホール・劇場
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1,35.67539,139.76288,有楽町よみうりホール,03-3231-0551,http://yomi-h.jp/,1100,1100,プロセニアム形式,,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","演歌・歌謡曲, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～22:00,ホール・劇場
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-3,35.67409,139.75955,東京宝塚劇場,0570-00-5100,http://kageki.hankyu.co.jp/theater/tokyo/,,,プロセニアム形式,,固定席,"ミュージカル, レヴュー","ミュージカル, レヴュー",一般への貸出はしていない,,,ホール・劇場
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-1,35.67291,139.75996,シアタークリエ,03-3591-2400,http://www.toho.co.jp/stage/theatre_crea/,609,609,プロセニアム形式,シューボックス形式,固定席,"演劇, ミュージカル","演劇, ミュージカル",一般への貸出はしていない,,,ホール・劇場
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-1,35.67442,139.75989,株式会社松尾楽器商会〔スタインウェイ・サロン東京　松尾ホール〕,03-3539-1845,http://www.h-matsuo.co.jp/hall_studio/hall_tokyo.html,88,88,オープン形式,アリーナ・平土間形式,固定席,クラシック,クラシック,利用条件の設定,-,10:00～19:00,ホール・劇場
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1,35.67358,139.7628,有楽町朝日ホール,03-3284-0131,http://www.asahi-hall.jp/yurakucho/,772,772,プロセニアム形式,シューボックス形式,"固定席, 可動席（スタッキングチェア）","ポップス, ジャズ, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, -","ポップス, ジャズ, 演劇, 能・狂言, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, -",一般に貸出している,,10:00～18:00,ホール・劇場
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1,35.67358,139.7628,ヒューリックホール東京,03-6674-1443,http://hulic-theater.com/,,,,,,,,,,,ホール・劇場
千代田区,六番町,-,東京都千代田区六番町2-9,35.68858,139.73489,インスティトゥト・セルバンテス東京〔オーディトリアム〕,03-5210-1800,http://tokio.cervantes.es/jp/default.shtm,159,159,オープン形式,シューボックス形式,固定席,"ポップス, クラシック, ジャズ, 演劇, ミュージカル, 世界の民族音楽, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","世界の民族音楽, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, -",利用条件の設定,-,,ホール・劇場
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1,35.67358,139.7628,ヒューリックホール東京〔旧TOHOシネマズ日劇〕,03-5537-6911,http://hulic-theater.com/,,,,,,,,,,,ホール・劇場
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.70058,139.77257,UDX AKIHABARA SPACE〔シアター〕,03-5296-1147,udx-akibaspace.jp/thrater/,172,172,オープン形式,シューボックス形式,ロールバックチェア,"映像上映会（試写会など）, 講演会","映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～20:00,ホール・劇場
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.70058,139.77257,UDX AKIHABARA SPACE〔ギャラリーTｙpeL〕,03-3734-0755,udx-akibaspace.jp/gallery/,288,288,,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",,,0:00～24:00,ホール・劇場
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.70058,139.77257,UDX AKIHABARA SPACE〔NEXT-1〕,03-6734-0755,udx-akibaspace.jp/gallery-n/,180,180,,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",,,0:00～24:00,ホール・劇場
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.70058,139.77257,UDX AKIHABARA SPACE〔NEXT-2〕,03-5296-1147,udx-akibaspace.jp/gallery-n/,120,120,,アリーナ・平土間形式,可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.70058,139.77257,UDX AKIHABARA SPACE〔NEXT-3〕,03-5296-1147,udx-akibaspace.jp/gallery-n/,80,80,,アリーナ・平土間形式,可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.70058,139.77257,UDX AKIHABARA SPACE〔カンファレンスA+B+C〕,03-6734-0755,udx-akibaspace.jp/gallery-n/,216,216,,,可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",,,0:00～24:00,ホール・劇場
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.70058,139.77257,UDX AKIHABARA SPACE〔カンファレンスD+E+F〕,03-6734-0755,udx-akibaspace.jp/gallery-n/,60,60,,,可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",,,0:00～24:00,ホール・劇場
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-5-1,35.68557,139.76466,大手町ファーストスクエアカンファレンス〔大手町ファーストスクエアカンファレンス〕,03-5220-1001,http://www.1ofsc.jp,402,430,,,"固定席, 可動席（スタッキングチェア）","講演会, 会議セミナー",,,,8:00～22:00,ホール・劇場
千代田区,内神田３丁目,-,東京都千代田区内神田3-6-2,35.69059,139.76978,アーバンネット神田カンファレンス〔アーバンネット神田カンファレンス〕,03-3526-6800,https://kanda-c.jp,302,302,,,可動席（スタッキングチェア）,"講演会, 展示会, 講演会セミナー, パーティ懇談会","講演会, 展示会, 講演会セミナー, パーティ懇談会",一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,日比谷公園,-,東京都千代田区日比谷公園1,35.67276,139.75409,日比谷公園〔にれの木広場〕,03-3501-6428,https://www.tokyo-park.or.jp/park/format/index037.html,1200,,,,可動席（スタッキングチェア）,-,,一般への貸出はしていない,,,野外会場
千代田区,日比谷公園,-,東京都千代田区日比谷公園1,35.67276,139.75409,日比谷公園〔噴水広場〕,03-3501-6428,https://www.tokyo-park.or.jp/park/format/index037.html,,,,,可動席（スタッキングチェア）,-,,一般への貸出はしていない,,,野外会場
千代田区,日比谷公園,-,東京都千代田区日比谷公園1,35.67276,139.75409,日比谷公園〔日比谷小音楽堂〕,03-3501-6428,https://www.tokyo-park.or.jp/park/format/index037.html,951,,オープン形式,,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, -","クラシック, ジャズ, -",一般に貸出している,,9:00～16:00,野外会場
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-5,35.67276,139.75409,日比谷公園大音楽堂(日比谷野音),03-3591-6388,http://hibiya-kokaido.com/,3053,3053,野外形式,扇型形式,固定席,"ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 講演会, 集会","ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 講演会, 集会",一般に貸出している,,9:00～21:00,野外会場
新宿区,下落合１丁目,-,東京都新宿区下落合1-9-6,35.71611,139.69901,東京富士大学　二上講堂,03－3362－7297,http://www.fuji.ac.jp/guidance/facility/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-12-9,35.69484,139.70242,新宿ＬＯＦＴ,03-5272-0382,http://www.loft-prj.co.jp/LOFT/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-14-7,35.69458,139.70204,ＤＲＥＡＭＳＴＯＲＥ,03-5287-2286,http://dreamstore-shinjuku.jp/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-14-7,35.69458,139.70204,新宿ＬＯＦＴ／ＰＬＵＳ ＯＮＥ,03-3205-6864,http://www.loft-prj.co.jp/PLUSONE/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-16-10,35.69381,139.702,ライブハウス＆バー GOLDEN EGG,03-3203-0405,http://www.g-egg.info/top.html,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-1-7,35.69324,139.70428,新宿ゴールデン街劇場,,http://golden-gai-gekijou.jimdo.com/,,,オープン形式,シューボックス形式,固定席,"演歌・歌謡曲, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会",,一般に貸出している,,10:00～22:00,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-20-1,35.69585,139.70142,新宿フェイス,03-3200-1300,http://www.shinjuku-face.com,511,511,オープン形式とアリーナ形式,"シューボックス形式, アリーナ・平土間形式",可動席（スタッキングチェア）,,,,,10:00～22:00,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-2-13,35.69355,139.70384,ＲＵＩＤＯ Ｋ４,03-5292-5125,http://www.ruido.org/k4/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-2-13,35.69355,139.70384,新宿レッドノーズ,03-5155-8550,http://www.shinjuku-rednose.com/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-21-7,35.69522,139.70117,新宿ＢＬＡＺＥ,03-5155-5990,http://shinjuku-blaze.com/,359,800,オープン形式,シューボックス形式,"可動席（スタッキングチェア）, スタンディング",,,,,,ホール・劇場
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-2-5,35.69355,139.70384,Zirco Tokyo,03-6278-9190,http://zirco-tokyo.jp/,,,オープン形式,シューボックス形式,スタンディング,"ポップス, ダンス・パフォーマンス, 合唱, ロック, アイドル, ＤＪ",,一般に貸出している,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-1-2,35.69511,139.70651,新宿ナインスパイス,03-3205-1439,http://9spices.rinky.info/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-24-3,35.69574,139.70383,ＨＯＬＩＤＡＹ ＳＨＩＮＪＵＫＵ,03-5292-0591,http://live-ban.com/shinjuku_h/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-25-6,35.69534,139.70372,Club SIENCE,03-6233-9006,http://club-science.com/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-28-16,35.69632,139.70328,新宿ＯＲＥＢＡＫＯ,03-6278-9332,http://orebako.com/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-36-3,35.69589,139.70253,ライブハウス新宿ACB HALL,03-3205-0901,http://www.acb-hall.jp,150,250,オープン形式,アリーナ・平土間形式,オールスタンディング,"ポップス, ダンス・パフォーマンス, 講演会, 展示会, ロック","ポップス, ダンス・パフォーマンス, 講演会, 展示会, ロック",一般に貸出している,,9:00～4:00,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-42-16,35.69785,139.70135,新宿SAMURAI,03-5287-3390,http://live-samurai.jp/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-44-1,35.69669,139.70126,ハイジアＶ－１,03-6273-8901,http://vitus.main.jp/hygeiaV1.htm,70,70,プロセニアム形式,シューボックス形式,固定席,"演劇, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,11:00～21:50,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-1,35.69677,139.70052,新宿ＭＡＲＺ,03-3202-8248,http://www.marz.jp/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-2,35.69677,139.70052,新宿シアター・ミラクル,03-5155-0788,http://www.t-miracle.jp/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-2,35.69677,139.70052,新宿Ｍａｒｂｌｅ,03-5272-3558,http://marble-web.jp/top.html,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-2,35.69677,139.70052,新宿Ｍｏｔｉｏｎ,03-3202-8308,http://motion-web.jp/,,,,,,,,,,,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-4,35.69677,139.70052,バティオス,03-6273-8901,http://vitus.maim.jp/vatios.htm,100,110,プロセニアム形式,シューボックス形式,固定席,"演劇, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,8:00～29:00,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-5,35.69677,139.70052,新宿永谷ホール(Fu-),03-3232-1251,http://ntgp.co.jp/engei/sinjuku/index.html,70,70,オープン形式,シューボックス形式,,"演歌・歌謡曲, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）","お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:00,ホール・劇場
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-8,35.69677,139.70052,新宿STAR CRANE,,https://star-crane.com/,,,,,,,,,,,ホール・劇場
新宿区,喜久井町,-,東京都新宿区喜久井町2,35.70468,139.72151,ＬＩＶＥ ＨＯＵＳＥ ＺＯＮＥ－Ｂ,03-3203-6022,http://zone-b.jp/,,,,,,,,,,,ホール・劇場
新宿区,戸塚町１丁目,-,東京都新宿区戸塚町1,35.70984,139.72215,早稲田小劇場どらま館,03-3202-0706,http://www.waseda.jp/culture/dramakan/,72,72,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"演劇, ミュージカル, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会","演劇, ミュージカル, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会",一般に貸出している,,10:00～22:00,ホール・劇場
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場2-18-6,35.71379,139.70497,高田馬場LiveCafe mono,03-5389-9191,http://live-mono.com/takadanobaba/,,,,,,,,,,,ホール・劇場
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-3-8,35.71384,139.70215,高田馬場ＡＲＥＡ,03-3361-1069,http://www.xxxrecords.jp/area/,,,,,,,,,,,ホール・劇場
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-38-3,35.71172,139.69505,プロト・シアター,03-3360-6463,http://prototheater.la.coocan.jp/,,,,,,,,,,,ホール・劇場
新宿区,山吹町,-,東京都新宿区山吹町361-6,35.70897,139.73019,Performing Gallery & Cafe 絵空箱,03-6265-0825,http://esorabako.com/,,,,,,,,,,,ホール・劇場
新宿区,四谷２丁目,-,東京都新宿区四谷2-10,35.6875,139.72537,四谷ＯＵＴＢＲＥＡＫ！,03-5368-0852,http://www.hor-outbreak.com/,,,,,,,,,,,ホール・劇場
新宿区,四谷３丁目,-,東京都新宿区四谷3-4-3,35.68783816,139.721747,四谷ＬＯＴＵＳ,03-5315-4781,http://yotsuyalotus.com/,,,,,,,,,,,ホール・劇場
新宿区,四谷４丁目,-,東京都新宿区四谷4-4-10,35.68699,139.71765,韓国文化院 ハンマダンホール,03-3357-5970,http://www.koreanculture.jp/intro_facility_hanmadang.php,300,,プロセニアム形式,シューボックス形式,固定席,,,,,,ホール・劇場
新宿区,市谷加賀町２丁目,-,東京都新宿区市谷加賀町2-5-26,35.69772,139.72815,加賀町ホール,03-6280-7010,kaga2526.com,126,126,オープン形式,"シューボックス形式, アリーナ・平土間形式",可動席（スタッキングチェア）,"クラシック, ジャズ, 合唱, 講演会","クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, 合唱",一般に貸出している,,,ホール・劇場
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1-1,35.69409,139.73599,ルーテル市ヶ谷ホール,03-3260-8621,http://www.l-i-c.com/hallindex.html,230,,エンドステージ形式,シューボックス形式,固定席,"ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, 合唱, 講演会","ポップス, クラシック, 世界の民族音楽, 合唱",一般に貸出している,,9:00～21:30,ホール・劇場
新宿区,市谷本村町,-,東京都新宿区市谷本村町3-19,35.69086,139.73083,四谷Honey Burst,03-5261-8312,http://pafrocks.com/index.html,,,,,,,,,,,ホール・劇場
新宿区,若葉１丁目,-,東京都新宿区若葉1-22-16,35.68226,139.72675,シアターウィング〔シアターウィング〕,03-6380-1061,https://studio-wing.com,60,,"プロセニアム形式, オープン形式",アリーナ・平土間形式,"固定席, 可動席（スタッキングチェア）","クラシック, ジャズ, 演劇, ミュージカル, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","クラシック, 演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会, 朗読会, アイドルイベント",一般に貸出している,,9:00～22:00,ホール・劇場
新宿区,住吉町,-,東京都新宿区住吉町3-2,35.69205,139.71983,ＢＡＣＫ ＩＮ ＴＯＷＮ,03-3353-4655,http://www.backintown.jp/index.php?z=191302,,,,,,,,,,,ホール・劇場
新宿区,上落合１丁目,-,東京都新宿区上落合1-17-9,35.71613,139.69398,ＴＡＣＣＳ １１７９,03-3950-5718,http://haikyo.co.jp/free_space/charge.html,,,オープン形式,,ロールバックチェア,"演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス","演劇, お笑い・寄席・演芸",一般に貸出している,,10:00～22:00,ホール・劇場
新宿区,新宿１丁目,-,東京都新宿区新宿1-19-10,35.68966,139.71266,サンモールスタジオ,03-5367-5622,http://www.sun-mallstudio.com/,100,100,オープン形式,シューボックス形式,可動席（スタッキングチェア）,演劇,演劇,一般に貸出している,,10:00～22:00,ホール・劇場
新宿区,新宿１丁目,-,東京都新宿区新宿1-19-10,35.68966,139.71266,シアターサンモール,03-3352-5577,http://theatersunmall.server-shared.com/,294,294,プロセニアム形式,"アリーナ・平土間形式, 扇型形式",ロールバックチェア,"ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）","演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス",一般に貸出している,,,ホール・劇場
新宿区,新宿１丁目,-,東京都新宿区新宿1-19-8,35.68966,139.71266,Gyoen ROSSO 198,03-5925-8333,http://bar-rosso.com/,,,,,,,,,,,ホール・劇場
新宿区,新宿１丁目,-,東京都新宿区新宿1-34-13,35.69125,139.71074,Ｗｉｌｄ Ｓｉｄｅ Ｔｏｋｙｏ,03-5919-8847,http://ws-tokyo.com/,,,,,,,,,,,ホール・劇場
新宿区,新宿１丁目,-,東京都新宿区新宿1-34-16,35.69125,139.71074,シアターブラッツ,03-3353-1868,http://www.theater-brats.com/,90,120,オープン形式,アリーナ・平土間形式,可動席（スタッキングチェア）,"演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 撮影場所","演劇, お笑い・寄席・演芸, ダンス・パフォーマンス",一般に貸出している,,10:00～22:00,ホール・劇場
新宿区,新宿１丁目,-,東京都新宿区新宿1-34-8,35.69125,139.71074,ＳＯＭＥＤＡＹ,03-3359-6777,http://someday.net/index2.html,,,,,,,,,,,ホール・劇場
新宿区,新宿２丁目,-,東京都新宿区新宿2-12-4,35.69072,139.70731,新宿ＰＩＴ ＩＮＮ,03-3354-2024,http://www.pit-inn.com,,,,,,,,,,,ホール・劇場
新宿区,新宿２丁目,-,東京都新宿区新宿2-12-4,35.69072,139.70731,新宿Ｌｉｖｅ Ｆｒｅａｋ,03-3351-7542,http://www.live-freak.com/,,,,,,,,,,,ホール・劇場
新宿区,新宿２丁目,-,東京都新宿区新宿2-3-12,35.68924,139.70792,御苑サウンド,03-3355-7877,http://gyoen-sound.com/,45,120,,,,"ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,,ホール・劇場
新宿区,新宿３丁目,-,東京都新宿区新宿3-17-7,35.6921,139.70312,紀伊國屋ホール,03-3354-0141,https://www.kinokuniya.co.jp/c/store/hall.html,427,427,プロセニアム形式,シューボックス形式,固定席,"演劇, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会","演劇, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:00,ホール・劇場
新宿区,新宿３丁目,-,東京都新宿区新宿3-18-4,35.6923,139.70245,新宿ケントス,03-3355-6477,http://www.shinjuku-kentos.co.jp/index.html,,,,,,,,,,,ホール・劇場
新宿区,新宿３丁目,-,東京都新宿区新宿3-33-10,35.69019,139.70349,新宿シアターモリエール,03-3354-6568,http://www.moliere.co.jp/theatre/,186,186,,,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, -, -, -","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, -, -, -",一般に貸出している,,,ホール・劇場
