指標名,観光地,,,,,,,,,,
出典,Tripadvisor,,,,,,,,,,
年次,2023/1/16 取得,,,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件、2022年度：1922件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁目,エリア,住所,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9,東京都千代田区丸の内1-9,35.681561,139.765472,東京駅丸の内駅前広場,名所・有名スポット ? 眺めのよい散策エリア,4.5,57,https://www.tripadvisor.jp/Attraction_Review-g14129528-d13417227-Reviews-Tokyo_Station_Marunouchi_Ekimae_Hiroba-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefectu.html
千代田区,西神田一丁目,-,東京都千代田区西神田1-1-12,東京都千代田区西神田1-1-12,35.699467,139.757477,カトリック神田教会,建築物 ? 神社/寺院/教会など ? 大聖堂,4,35,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8364049-Reviews-Catholic_Kanda_Church-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1東京駅一番街,東京都千代田区丸の内1-9-1東京駅一番街,35.680073,139.767212,東京キャラクターストリート,名所・有名スポット,4,210,https://www.tripadvisor.jp/Attraction_Review-g14129528-d9842127-Reviews-Tokyo_Character_Street-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,麹町六丁目,-,東京都千代田区麹町6-5-1,東京都千代田区麹町6-5-1,35.685001,139.731033,聖イグナチオ教会,大聖堂,4,29,https://www.tripadvisor.jp/Attraction_Review-g14129721-d12969454-Reviews-St_Ignatius_Church-Kojimachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,霞が関二丁目,虎ノ門広域,東京都千代田区霞ケ関皇居外苑,東京都千代田区霞ケ関皇居外苑,35.677917,139.753342,外桜田門,旧跡 ? 名所・有名スポット,4,131,https://www.tripadvisor.jp/Attraction_Review-g14129569-d1373709-Reviews-Soto_Sakuradamon_Gate-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-2-1,東京都千代田区大手町1-2-1,35.687286,139.762512,平将門の首塚,名所・有名スポット,4,133,https://www.tripadvisor.jp/Attraction_Review-g14129477-d3247489-Reviews-Masakado_Kubizuka-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,三番町,-,東京都千代田区三番町2,東京都千代田区三番町2,35.69006,139.746628,千鳥ケ淵戦没者墓苑,旧跡 ? 墓地,4,49,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2235492-Reviews-Chidorigafuchi_National_Cemetery-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,東京都千代田区紀尾井町1-2,35.679508,139.737473,東京ガーデンテラス紀尾井町,名所・有名スポット ? 建築物,4,75,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10791486-Reviews-Tokyo_Garden_Terrace_Kioicho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-10-1東京交通会館B1F,東京都千代田区有楽町2-10-1東京交通会館B1F,35.674988,139.764374,おおいたアンテナショップ温泉座,名所・有名スポット,4.5,30,https://www.tripadvisor.jp/Attraction_Review-g14129536-d13816536-Reviews-Oita_Antena_Shop_Onsenza-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,皇居外苑,-,東京都千代田区皇居外苑1-1,東京都千代田区皇居外苑1-1,35.677967,139.758408,楠木正成像,記念碑＆像,4,148,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8066135-Reviews-Kusunoki_Masashige_Statue-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-2-2,東京都千代田区有楽町1-2-2,35.673126,139.759933,日比谷シャンテ,名所・有名スポット ? 建築物 ? ショッピングモール,3.5,150,https://www.tripadvisor.jp/Attraction_Review-g14129536-d1373703-Reviews-Hibiya_Chanter-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-1-1,東京都千代田区丸の内2-1-1,35.679035,139.76181,明治生命館,旧跡 ? 名所・有名スポット ? 建築物,4,43,https://www.tripadvisor.jp/Attraction_Review-g14129528-d10781857-Reviews-Meiji_Seimeikan-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,霞が関一丁目,虎ノ門広域,東京都千代田区霞ケ関1-1-1法務省赤れんが棟,東京都千代田区霞ケ関1-1-1法務省赤れんが棟,35.676399,139.753433,法務省旧本館,建築物,4,36,https://www.tripadvisor.jp/Attraction_Review-g14129569-d7348704-Reviews-Ministry_of_Justice_Old_Main_Building-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefectu.html
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1,東京都千代田区神田駿河台1,35.69989,139.765686,聖橋,橋,3.5,159,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1994504-Reviews-Hijiribashi_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-5-1,東京都千代田区有楽町2-5-1,35.673615,139.762695,有楽町マリオン,名所・有名スポット,3.5,102,https://www.tripadvisor.jp/Attraction_Review-g14129536-d1373704-Reviews-Yurakucho_Marion-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,千代田,-,東京都千代田区千代田1-1,東京都千代田区千代田1-1,35.686085,139.760254,皇居大手門,旧跡,4,60,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8400906-Reviews-Kokyo_Otemon_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,皇居外苑,-,東京都千代田区皇居外苑1-1,東京都千代田区皇居外苑1-1,35.677868,139.755524,千鳥ヶ淵さんぽみち,眺めのよい散策エリア,4,13,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13993845-Reviews-Chidorigafuchi_Promenade-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,麹町六丁目,-,東京都千代田区紀尾井町7-1,東京都千代田区紀尾井町7-1,35.685089,139.730881,上智大学,大学・学校,4,22,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12236163-Reviews-Sophia_University-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-2-1,東京都千代田区丸の内3-2-1,35.677677,139.761337,東京會舘,名所・有名スポット,4,12,https://www.tripadvisor.jp/Attraction_Review-g14129528-d15745859-Reviews-Tokyo_Kaikan-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,皇居外苑,-,東京都千代田区丸の内1,東京都千代田区丸の内1,35.682228,139.762024,行幸通り,名所・有名スポット,4,33,https://www.tripadvisor.jp/Attraction_Review-g14129528-d12976305-Reviews-Gyokodori-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田錦町三丁目,-,東京都千代田区神田錦町3-28,東京都千代田区神田錦町3-28,35.693512,139.758774,学士会館,名所・有名スポット ? 建築物,4,48,https://www.tripadvisor.jp/Attraction_Review-g1066443-d9563969-Reviews-Gakushi_Kaikan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,千代田,-,東京都千代田区千代田1,東京都千代田区千代田1,35.688858,139.752106,乾門,旧跡 ? 建築物,4,10,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15059818-Reviews-Inui_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-1-1憲政記念館前,東京都千代田区永田町1-1-1憲政記念館前,35.677601,139.747467,国会前庭 北庭,旧跡 ? 公園,4,27,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8368966-Reviews-North_Garden_of_the_Diet_Front_Park-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-25-1,東京都千代田区神田須田町2-25-1,35.696751,139.773514,柳森神社,神社/寺院/教会など,3.5,55,https://www.tripadvisor.jp/Attraction_Review-g1066443-d7371465-Reviews-Yanagimori_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,北の丸公園,-,東京都千代田区北の丸公園1-1,東京都千代田区北の丸公園1-1,35.692841,139.752716,清水門,旧跡 ? 名所・有名スポット ? 建築物,4,14,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15147183-Reviews-Kiyomizu_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,北の丸公園,-,東京都千代田区北の丸公園,東京都千代田区北の丸公園,35.694077,139.749313,田安門,旧跡,4,25,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13993781-Reviews-Tayasu_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,一番町,-,東京都千代田区一ッ橋2-1-1,東京都千代田区一ッ橋2-1-1,35.688633,139.744507,如水会館,名所・有名スポット ? 建築物,4,18,https://www.tripadvisor.jp/Attraction_Review-g1066443-d9563962-Reviews-Josui_Kaikan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段北一丁目,-,東京都千代田区九段北１丁目１３?２１,東京都千代田区九段北1丁目13-21,35.696152,139.750168,築土神社,旧跡 ? 神社/寺院/教会など,3.5,29,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2268850-Reviews-Tsukudo_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,東京都千代田区紀尾井町1-2,35.679287,139.737396,旧北白川宮邸洋館,旧跡,4.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d19174961-Reviews-Former_Western_style_Residence_for_Prince_Kitashirakawa-Chiyoda_Tokyo_Tokyo_Pre.html
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1東京駅八重洲口B1F,東京都千代田区丸の内1-9-1東京駅八重洲口B1F,35.681168,139.767334,銀の鈴,名所・有名スポット,3.5,103,https://www.tripadvisor.jp/Attraction_Review-g14129528-d8486658-Reviews-Silver_Ring-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町3丁目,東京都千代田区有楽町3丁目,35.673702,139.7603,ゴジラ像,記念碑＆像,3.5,81,https://www.tripadvisor.jp/Attraction_Review-g14129536-d10729226-Reviews-Godzilla_Statue-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-1-2東京ミッドタウン日比谷6F,東京都千代田区有楽町1-1-2東京ミッドタウン日比谷6F,35.673584,139.759186,パークビューガーデン,展望台・タワー ? 庭園,4,9,https://www.tripadvisor.jp/Attraction_Review-g14129536-d14901794-Reviews-Park_View_Garden-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,皇居外苑,-,東京都千代田区皇居外苑3,東京都千代田区皇居外苑3,35.683353,139.761948,和田倉門,旧跡,4,29,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10815894-Reviews-Wadakuramon-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段南二丁目,-,東京都千代田区九段南2-2,東京都千代田区九段南2-2,35.693386,139.745331,高燈篭,旧跡,4,12,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15147126-Reviews-Takadoro-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,一ツ橋一丁目,-,東京都千代田区一ッ橋1-1-1,東京都千代田区一ッ橋1-1-1,35.691826,139.757492,パレスサイドビルディング,名所・有名スポット ? 建築物,3.5,17,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10005597-Reviews-Palace_Side_Building-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,麹町二丁目,-,東京都千代田区麹町2-8麹町二丁目公共施設内,東京都千代田区麹町2-8麹町二丁目公共施設内,35.685524,139.73967,麹町小学校,イベントスペース,4,13,https://www.tripadvisor.jp/Attraction_Review-g14129721-d9720112-Reviews-Kojimachi_Elementary_School-Kojimachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-4-6,東京都千代田区丸の内1-4-6,35.683392,139.764694,日本工業倶楽部会館,名所・有名スポット ? 図書館,3.5,19,https://www.tripadvisor.jp/Attraction_Review-g14129528-d8612080-Reviews-The_Industry_Club_of_Japan_Hall-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2丁目19-7,東京都千代田区神田須田町2丁目19-7,35.696617,139.771469,秋葉原 自販機コーナー,名所・有名スポット,4,4,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17754695-Reviews-Akihabara_Vending_Machine_Corner-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,霞が関二丁目,虎ノ門広域,東京都千代田区霞ケ関2-1-1,東京都千代田区霞ケ関2-1-1,35.676987,139.752258,警視庁本部,名所・有名スポット,3.5,46,https://www.tripadvisor.jp/Attraction_Review-g14129569-d4301775-Reviews-Metropolitan_Police_Deparment_Headquarters-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Pre.html
千代田区,隼町,-,東京都千代田区隼町4-2,東京都千代田区隼町4-2,35.680496,139.743591,最高裁判所,名所・有名スポット ? 建築物 ? 政府庁舎,4.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d19764535-Reviews-Supreme_Court_of_Japan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-2-3,東京都千代田区丸の内3-2-3,35.677727,139.761475,二重橋スクエア,名所・有名スポット,4,12,https://www.tripadvisor.jp/Attraction_Review-g14129528-d15612375-Reviews-Nijubashi_Square-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田三崎町二丁目,-,東京都千代田区三崎町2-9-12,東京都千代田区三崎町2-9-12,35.701653,139.754562,三崎稲荷神社,旧跡 ? 神社/寺院/教会など,3.5,25,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8148323-Reviews-Misaki_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段南二丁目,-,東京都千代田区九段南2-1-30,東京都千代田区九段南2-1-30,35.692135,139.746445,イタリア文化会館,名所・有名スポット,4,13,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10712058-Reviews-Istituto_Italiano_di_Cultura-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,平河町一丁目,-,東京都千代田区平河町1-7-5,東京都千代田区平河町1-7-5,35.682468,139.741074,平河天満宮,神社/寺院/教会など,3.5,38,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2015842-Reviews-Hirakawa_Tenmangu_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-6-2JOBHUBSQUARE13階,東京都千代田区大手町2-6-2JOBHUBSQUARE13階,35.684875,139.769394,大手町牧場,牧場,3.5,17,https://www.tripadvisor.jp/Attraction_Review-g14129477-d14004439-Reviews-Otemachi_Bokujyo-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-7-1,東京都千代田区永田町1-7-1,35.675892,139.744873,参議院,政府庁舎,4,9,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13123385-Reviews-House_of_Councillors-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-2-3,東京都千代田区神田駿河台1-2-3,35.696434,139.763092,太田姫稲荷神社,旧跡 ? 神社/寺院/教会など,3.5,32,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8130953-Reviews-Otahime_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町,東京都千代田区神田神保町,35.695313,139.758484,神田すずらん通り商店街,名所・有名スポット,3.5,19,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10396572-Reviews-Kanda_Suzuran_Shopping_Street-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段北二丁目,-,東京都千代田区九段北3-1-1靖国神社,東京都千代田区九段北3-1-1靖国神社,35.694813,139.746384,大村益次郎 銅像,名所・有名スポット ? 記念碑＆像,3.5,53,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10606536-Reviews-Omura_Masajiro_Statute-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田須田町一丁目,-,東京都千代田区神田須田町1-25-4,東京都千代田区神田須田町1-25-4,35.697189,139.770279,旧万世橋駅,旧跡 ? 名所・有名スポット,3.5,15,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13239344-Reviews-Old_Manseibashi_Station-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段北一丁目,-,東京都千代田区九段北1-15-1,東京都千代田区九段北1-15-1,35.695961,139.748611,豪北方面戦歿者慰霊碑,記念碑＆像,3.5,10,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12964668-Reviews-Memorial_for_Victims_of_Battle_in_Australia_Area-Chiyoda_Tokyo_Tokyo_Prefecture.html
千代田区,千代田,-,東京都千代田区千代田1-1,東京都千代田区千代田1-1,35.688839,139.753967,北桔橋門,旧跡 ? 建築物 ? 城,4,5,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17427863-Reviews-Kita_Hanebashi_mon_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段南一丁目,-,東京都千代田区九段1丁目～2丁目,東京都千代田区九段1丁目～2丁目,35.695011,139.748993,九段坂,主要エリア ? 名所・有名スポット ? 眺めのよい散策エリア,4,8,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17329410-Reviews-Kudanzaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,東神田二丁目,-,東京都千代田区東神田2-3,東京都千代田区東神田2-3,35.696495,139.780029,美倉橋公衆トイレ,建築物,3.5,29,https://www.tripadvisor.jp/Attraction_Review-g1066443-d3584960-Reviews-Mikurabashi_Public_Bathroom-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町,東京都千代田区紀尾井町,35.680496,139.735535,紀尾井坂,名所・有名スポット,3.5,23,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8762645-Reviews-Kioizaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-10日枝神社境内,東京都千代田区永田町2-10日枝神社境内,35.675148,139.73967,山王稲荷神社,神社/寺院/教会など,3.5,13,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13149807-Reviews-Sanno_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1,東京都千代田区紀尾井町1,35.678806,139.738068,赤坂見附跡,旧跡,3.5,18,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11710268-Reviews-Akasakamitsuke_Mark-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
