指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2023/2/12取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：6,158件、2021年度：6,304件、2022年度：6,543件）",,,,,,,
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目24-2 トーシンフェニックス笹塚参番館104,35.671847,139.668564,N.S.デンタルクリニック,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/267919
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目24-6,35.671908,139.668597,笹塚オレンジ歯科,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/178165
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-48-14 ショッピングモール21 2階,35.673642,139.668604,鈴木歯科クリニック,歯科,https://byoinnavi.jp/clinic/11671
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目21-12 肥沼ビル3F,35.673269,139.668625,医療法人社団哲生会 白川デンタルクリニック,歯科、矯正歯科,https://byoinnavi.jp/clinic/145033
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目16-3 笹塚百瀬ビル1F,35.672098,139.668928,医療法人社団幸成会 笹塚歯科クリニック,歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/10052
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目15-4 AIKIビル1F,35.671703,139.668996,笹塚井上クリニック,内科、糖尿病代謝内科,https://byoinnavi.jp/clinic/5797
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-48-14 笹塚ショッピングモール21-2F,35.67375,139.669047,しまクリニック 皮膚科,皮膚科,https://byoinnavi.jp/clinic/10100
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-48-14 笹塚ショッピングモール21 2F,35.67375,139.669092,笹塚21内科ペインクリニック,ペインクリニック内科、漢方内科、内科、リハビリテーション科、麻酔科,https://byoinnavi.jp/clinic/258806
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目48-14 笹塚ショッピングモール21 2F,35.67375,139.669092,笹塚平本クリニック,外科、胃腸科、整形外科、泌尿器科、肛門科,https://byoinnavi.jp/clinic/4190
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚一丁目48-14 ショッピングモール21 2階,35.67375,139.669092,医療法人社団万利愛会 ささづか加藤眼科,眼科,https://byoinnavi.jp/clinic/5808
渋谷区,笹塚三丁目,-,東京都渋谷区笹塚3丁目9-3 ケイオービル1F,35.67734,139.669378,笹塚歯科,歯科,https://byoinnavi.jp/clinic/11644
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ケ谷3丁目81-7,35.680813,139.669867,かずえキッズクリニック,小児科,https://byoinnavi.jp/clinic/11706
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ケ谷3丁目78-6,35.680023,139.670194,医療法人社団勝和会 土田整形外科,整形外科,https://byoinnavi.jp/clinic/5667
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ケ谷3丁目74-10 チェリーミズノエ1F,35.680081,139.670592,吉田産婦人科クリニック,婦人科,https://byoinnavi.jp/clinic/135
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚二丁目1-12,35.675691,139.67065,AZデンタルクリニック笹塚,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/270888
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目52-6 千葉ビル2F,35.675249,139.671127,笹塚クリニック,内科,https://byoinnavi.jp/clinic/5644
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ケ谷3丁目48-10,35.680903,139.672932,橋本医院,内科、皮膚科,https://byoinnavi.jp/clinic/11696
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目21-2 ルート幡ケ谷1F,35.676388,139.672936,ふくだ歯科・矯正歯科,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/251087
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目20-10 キュアーレYMD8・9・10階,35.676508,139.673383,医療法人社団健美会 山田歯科医院,歯科、矯正歯科、小児歯科,https://byoinnavi.jp/clinic/5711
渋谷区,幡ケ谷一丁目,-,東京都渋谷区幡ヶ谷1-24-8,35.675141,139.673675,笹幡クリニック,漢方内科、ペインクリニック・整形外科,https://byoinnavi.jp/clinic/281735
渋谷区,大山町,-,東京都渋谷区大山町9-9,35.666582,139.673908,飯野歯科医院,歯科,https://byoinnavi.jp/clinic/10090
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目20-4,35.676838,139.673967,武藤歯科医院,歯科、矯正歯科,https://byoinnavi.jp/clinic/168434
渋谷区,上原三丁目,-,東京都渋谷区上原3丁目31-19 トムズグランデ1F,35.665592,139.674111,iスマイル歯科クリニック 東京,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/277014
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2-18-16,35.677624,139.674733,みなみ耳鼻咽喉科医院,耳鼻いんこう科、気管食道科,https://byoinnavi.jp/clinic/117097
新宿区,西落合二丁目,-,東京都新宿区西落合2丁目20-1,35.720467,139.674876,医療法人社団新裕会 オリエンタル診療所,内科、消化器科、小児科,https://byoinnavi.jp/clinic/5175
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷二丁目18-20,35.677216,139.674885,クロス病院,内科、外科、整形外科、泌尿器科、リハビリテーション科,https://byoinnavi.jp/clinic/5663
渋谷区,本町五丁目,-,東京都渋谷区本町5丁目40-5 パークサイドオー1階,35.682113,139.674907,医療法人社団TMT会 ティーエムティーデンタルクリニック,歯科、歯科口腔外科,https://byoinnavi.jp/clinic/11646
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-18-1 京旺ビル5F,35.677042,139.675049,すずな皮ふ科クリニック,皮膚科、小児皮膚科、美容皮膚科、アレルギー科,https://byoinnavi.jp/clinic/179671
渋谷区,本町五丁目,-,東京都渋谷区本町5丁目39-4,35.681894,139.675275,医療法人社団京隆会 おくはた歯科クリニック,歯科、小児歯科,https://byoinnavi.jp/clinic/11640
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目16-8,35.677939,139.675295,幡ケ谷内科クリニック,内科、消化器科、循環器科,https://byoinnavi.jp/clinic/5639
渋谷区,上原三丁目,-,東京都渋谷区上原3丁目33-16,35.666441,139.67541,市古歯科医院,歯科,https://byoinnavi.jp/clinic/10086
新宿区,西落合三丁目,-,東京都新宿区西落合3丁目30-8 ウメダビル2階,35.724103,139.675472,西川デンタルクリニック,歯科,https://byoinnavi.jp/clinic/5136
渋谷区,大山町,-,東京都渋谷区大山町36番地13号,35.668581,139.675505,越川医院,内科、糖尿病内科,https://byoinnavi.jp/clinic/5789
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ケ谷三丁目9-11 プラッツ幡ケ谷1階,35.681109,139.675562,医療法人社団はたがや協立会 はたがや協立診療所,内科、循環器科,https://byoinnavi.jp/clinic/5638
新宿区,西落合二丁目,-,東京都新宿区西落合2-16-4,35.722417,139.675906,はまやホームケアクリニック,内科、消化器内科、外科,https://byoinnavi.jp/clinic/5227
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目14-12,35.677621,139.675917,医療法人社団回心会 回心堂病院,内科、リハビリテーション科、老年内科,https://byoinnavi.jp/clinic/11701
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目14-9 ヤナギヤビル2F,35.677324,139.676015,後藤歯科医院,歯科,https://byoinnavi.jp/clinic/145187
新宿区,西落合四丁目,-,東京都新宿区西落合4丁目16-10,35.726047,139.676075,哲学堂松本クリニック,内科、小児科、整形外科,https://byoinnavi.jp/clinic/5065
新宿区,西落合三丁目,-,東京都新宿区西落合3丁目30-1 1F,35.723827,139.676078,哲学堂デンタルクリニック,歯科、矯正歯科、小児歯科,https://byoinnavi.jp/clinic/4906
渋谷区,幡ケ谷一丁目,-,東京都渋谷区幡ケ谷1丁目31-6,35.675791,139.676083,小泉クリニック,外科、循環器内科、血管外科,https://byoinnavi.jp/clinic/273695
新宿区,西落合四丁目,-,東京都新宿区西落合4丁目16-11,35.726144,139.676095,板谷歯科医院,歯科,https://byoinnavi.jp/clinic/5132
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ケ谷三丁目2-5,35.680449,139.676219,幡ケ谷わく島歯科,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/256453
新宿区,西落合三丁目,-,東京都新宿区西落合3丁目29-12 第5新栄ビル101号,35.724633,139.676253,平山歯科クリニック,歯科、矯正歯科、小児歯科,https://byoinnavi.jp/clinic/5007
渋谷区,本町五丁目,-,東京都渋谷区本町五丁目27-11,35.683613,139.676355,宮本医院,内科,https://byoinnavi.jp/clinic/5768
渋谷区,西原二丁目,-,東京都渋谷区西原2丁目34-9,35.675147,139.676369,ほしなこどもクリニック,小児科,https://byoinnavi.jp/clinic/5780
渋谷区,本町五丁目,-,東京都渋谷区本町5丁目13-8 エンドウ歯科ビル1F,35.685057,139.676538,エンドウ歯科医院,歯科、矯正歯科、歯科口腔外科,https://byoinnavi.jp/clinic/12394
渋谷区,西原二丁目,-,東京都渋谷区西原2丁目31-1,35.675846,139.676707,坪田歯科医院,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/145044
渋谷区,幡ケ谷一丁目,-,東京都渋谷区幡ケ谷1丁目3-16 2階,35.676805,139.676747,幡ケ谷はる歯科,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/283930
渋谷区,西原二丁目,-,東京都渋谷区西原二丁目31-3 山本ビル2F,35.675925,139.676875,三原デンタルクリニック,歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/256413
渋谷区,幡ケ谷一丁目,-,東京都渋谷区幡ヶ谷1丁目32-19 ドルチェ京王Ⅱ2階,35.676305,139.676924,はたがや南口心療内科,心療内科、精神科,https://byoinnavi.jp/clinic/265113
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目8-10 104,35.677696,139.677141,幡ケ谷駅前クリニック,心療内科、精神科,https://byoinnavi.jp/clinic/5795
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目9-19 金鈴ビル1F,35.678398,139.67743,はたがやおかだ眼科,眼科,https://byoinnavi.jp/clinic/5804
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目7-2 幡ケ谷ニューセンタービル3階,35.677808,139.677477,幡ヶ谷眼科,眼科,https://byoinnavi.jp/clinic/5802
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-7-2 幡ヶ谷ニューセンタービル2F,35.677808,139.677477,幡ケ谷さかえ整形外科クリニック,整形外科、リウマチ科、リハビリテーション科,https://byoinnavi.jp/clinic/277811
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目5-7,35.67891,139.67751,医療法人社団健宝会 小川医院,内科、消化器科、小児科,https://byoinnavi.jp/clinic/1217
渋谷区,大山町,-,東京都渋谷区大山町46-17,35.668484,139.677513,医療法人社団恵明会 スーパースマイル国際矯正歯科 代々木上原オフィス,矯正歯科、小児歯科,https://byoinnavi.jp/clinic/10061
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目7-9 酒井ビル3F,35.677974,139.677519,渋谷医療生活協同組合 六号通り診療所,内科、消化器科、循環器科、小児科,https://byoinnavi.jp/clinic/5573
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷二丁目3-7 岡田ビル1F,35.679124,139.677558,井上歯科,歯科、小児歯科,https://byoinnavi.jp/clinic/122848
渋谷区,大山町,-,東京都渋谷区大山町45-12,35.668679,139.677602,三浦デンタルオフィス,歯科,https://byoinnavi.jp/clinic/10084
渋谷区,西原一丁目,-,東京都渋谷区西原1丁目21-15,35.676136,139.677694,医療法人社団隆津会 辻整形外科,整形外科、リハビリテーション科,https://byoinnavi.jp/clinic/5665
渋谷区,西原二丁目,-,東京都渋谷区西原2丁目28-1 ガーデン第2ビル1F,35.6756,139.677906,医療法人社団碧心堂 やすふみ歯科クリニック,歯科、矯正歯科,https://byoinnavi.jp/clinic/10072
渋谷区,大山町,-,東京都渋谷区大山町46-10 J'Sビル代々木大山2階,35.668612,139.678014,医療法人社団裕仁会 代々木上原耳鼻咽喉科,耳鼻いんこう科,https://byoinnavi.jp/clinic/267416
渋谷区,大山町,-,東京都渋谷区大山町42-19,35.669845,139.678083,代々木上原おおつか歯科,歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/257806
渋谷区,西原二丁目,-,東京都渋谷区西原2丁目28-3 クロバービル1階,35.675354,139.678174,幡ケ谷皮フ科クリニック,皮膚科,https://byoinnavi.jp/clinic/10101
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2丁目6-5 梅村ビル2F,35.677902,139.678275,永野医院,内科、皮膚科,https://byoinnavi.jp/clinic/5727
渋谷区,上原三丁目,-,東京都渋谷区上原3丁目44-10 田口ビル1階,35.668101,139.67853,たぐち歯科医院,歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/10080
渋谷区,本町六丁目,-,東京都渋谷区本町六丁目25-5,35.681321,139.678563,帝京整形外科クリニック,リウマチ科、整形外科、リハビリテーション科,https://byoinnavi.jp/clinic/3803
渋谷区,本町六丁目,-,東京都渋谷区本町6丁目7-6 第3メゾンクボタ1F,35.682446,139.678695,本町デンタルクリニック,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/174102
新宿区,西落合二丁目,-,東京都新宿区西落合2丁目7-17 ISビル1F,35.720373,139.67873,伊藤歯科クリニック,歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/4892
渋谷区,本町六丁目,-,東京都渋谷区本町六丁目9-9,35.683174,139.678879,金田歯科医院,歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/5598
新宿区,西落合三丁目,-,東京都新宿区西落合3-22-1,35.723442,139.679272,医療法人社団誠美会 木村歯科医院,歯科、小児歯科、歯科口腔外科、矯正歯科,https://byoinnavi.jp/clinic/5024
渋谷区,本町四丁目,-,東京都渋谷区本町4丁目16-9 コヅカビル1階,35.687835,139.679451,ニキ・ハートクリニック,内科、循環器内科,https://byoinnavi.jp/clinic/273816
渋谷区,上原二丁目,-,東京都渋谷区上原二丁目38-10 フレグラントハイツ1階,35.665779,139.679461,三協医院,内科、消化器科、胃腸科、皮膚科、泌尿器科、肛門科、リハビリテーション科,https://byoinnavi.jp/clinic/3833
渋谷区,本町一丁目,-,東京都渋谷区本町1丁目21-1 SH小林ビル2F,35.678308,139.679631,武田歯科医院,歯科,https://byoinnavi.jp/clinic/12404
渋谷区,上原一丁目,-,東京都渋谷区上原1-29-9 ロイヤルホームズ代々木上原,35.668412,139.679775,デンタルオフィス代々木上原,歯科、歯科口腔外科、小児歯科、矯正歯科,https://byoinnavi.jp/clinic/182773
渋谷区,西原三丁目,-,東京都渋谷区西原3丁目13-15 フラット代々木上原A-101,35.669614,139.679872,K*DENTAL OFFICE,矯正歯科,https://byoinnavi.jp/clinic/10070
渋谷区,西原三丁目,-,東京都渋谷区西原3-13-16 パリス代々木上原2F,35.669709,139.679891,千絵レディースクリニック代々木上原,産婦人科、婦人科,https://byoinnavi.jp/clinic/272074
渋谷区,西原三丁目,-,東京都渋谷区西原3丁目13-16 パリス代々木上原1F,35.669754,139.679893,代々木上原眼科,眼科,https://byoinnavi.jp/clinic/5812
渋谷区,西原三丁目,-,東京都渋谷区西原3丁目17-11 IRビル3F,35.669994,139.680095,代々木上原メンタルクリニック,心療内科、精神科,https://byoinnavi.jp/clinic/5567
渋谷区,西原三丁目,-,東京都渋谷区西原三丁目8-5 アコルデ代々木上原A001,35.669222,139.68017,医療法人社団修命会 アコルデ代々木上原デンタルクリニック,歯科、小児歯科,https://byoinnavi.jp/clinic/270913
渋谷区,西原三丁目,-,東京都渋谷区西原三丁目11-6 杉本ビル2F,35.669589,139.680323,代々木上原駅前矯正歯科,矯正歯科,https://byoinnavi.jp/clinic/10068
渋谷区,上原一丁目,-,東京都渋谷区上原一丁目32-18 YYビル代々木上原第2 2F,35.669003,139.680324,みやけ歯科医院,歯科、矯正歯科、小児歯科,https://byoinnavi.jp/clinic/10058
渋谷区,西原三丁目,-,東京都渋谷区渋谷区西原3-7-8 フィールド代々木上原3F,35.669678,139.680371,代々木上原こどもクリニック,小児科、新生児内科,https://byoinnavi.jp/clinic/251280
渋谷区,西原三丁目,-,東京都渋谷区西原3-7-8 フィールド代々木上原2階,35.669675,139.680374,代々木上原駅前内科クリニック,内科、消化器内科、胃腸内科、内視鏡内科、肝臓内科、糖尿病内科、アレルギー科、リウマチ科,https://byoinnavi.jp/clinic/266210
渋谷区,西原三丁目,-,東京都渋谷区西原三丁目7-8 フィールド代々木上原地下1階,35.669675,139.680374,代々木上原整形外科,整形外科、リウマチ科、リハビリテーション科,https://byoinnavi.jp/clinic/265249
渋谷区,本町二丁目,-,東京都渋谷区本町2丁目19-1 ディスカス若杉1F,35.683266,139.680493,初台デンタルオフィス,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/267674
渋谷区,西原三丁目,-,東京都渋谷区西原3丁目8-5 アコルデ代々木上原,35.66959,139.680765,あおい内科,内科、消化器内科、泌尿器科、皮膚科、外科,https://byoinnavi.jp/clinic/176331
新宿区,西落合四丁目,-,東京都新宿区西落合4丁目3-9 パロ西落合101,35.727452,139.680769,医療法人社団慈梁会 やない胃腸科クリニック,内科、外科、胃腸科、肛門科、リハビリテーション科,https://byoinnavi.jp/clinic/5080
渋谷区,上原一丁目,-,東京都渋谷区上原1丁目33-11 TOPCOURT4 2階,35.669154,139.680849,医療法人慶聰会 矢澤クリニック渋谷,内科、神経内科、小児科、泌尿器科、呼吸器内科、循環器内科、緩和ケア内科、消化器内科,https://byoinnavi.jp/clinic/269975
渋谷区,上原一丁目,-,東京都渋谷区上原1丁目33-10,35.669064,139.680852,医療法人社団スマイルベア キッズデンタル代々木上原,矯正歯科、小児歯科,https://byoinnavi.jp/clinic/279982
渋谷区,本町二丁目,-,東京都渋谷区本町2丁目18-8,35.682357,139.680869,医療法人社団旭洋会 鈴木医院,内科,https://byoinnavi.jp/clinic/12410
渋谷区,西原三丁目,-,東京都渋谷区西原3-20-7 2階,35.670442,139.681113,ふくだ代々木上原クリニック,消化器・肛門外科、内視鏡内科、胃腸内科,https://byoinnavi.jp/clinic/274810
渋谷区,西原三丁目,-,東京都渋谷区西原3丁目20-7 3F,35.670423,139.681149,ホープクリニック,心療内科、精神科,https://byoinnavi.jp/clinic/276705
新宿区,西落合一丁目,-,東京都新宿区西落合1丁目18-14 VIP西落合106,35.72189,139.681157,医療法人社団曙光会 落合内科クリニック,内科,https://byoinnavi.jp/clinic/5234
