指標名,コワーキング施設,,,,,,
出典,コワーキングスペース検索,,,,,,
年次,2023/3/20取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,2020：346件、2021：369件、2022：406件,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,鍛冶町二丁目,-,東京都千代田区鍛治町2-12-12　2階,35.69291,139.77156,KANDA LOUNGE,https://coworking-search.jp/space/1084/
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町2-1 大手町建物市ヶ谷ビル3階,35.69233,139.73489,海外ビジネス特化型コワーキングスペース「Digima ?出島?BASE」市ヶ谷,https://coworking-search.jp/space/1605/
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2-7-1,35.69227,139.77177,ビジョンオフィス神田ＡＮＮＥＸ,https://coworking-search.jp/space/332/
千代田区,内神田一丁目,-,東京都千代田区内神田1-15-10,35.69218,139.76563,the C,https://coworking-search.jp/space/711/
新宿区,新宿三丁目,-,東京都新宿区新宿3-26-14 新宿ミニムビルⅠ 4階,35.69179,139.70235,TSUTAYA BOOK APARTMENT,https://coworking-search.jp/space/1608/
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-25-1 新宿センタービル49階,35.69175,139.69542,+OURS 新宿,https://coworking-search.jp/space/1534/
千代田区,岩本町一丁目,-,東京都千代田区岩本町1-2-13 渡東ビルディング3F,35.69171,139.77635,シェアル岩本町,https://coworking-search.jp/space/2000/
千代田区,岩本町一丁目,-,東京都千代田区岩本町1-3-1　神田ビジネスセンター,35.69160,139.77520,神田ビジネスセンター,https://coworking-search.jp/space/173/
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町２－２－２,35.69134,139.77154,ビジョンオフィス神田,https://coworking-search.jp/space/331/
千代田区,内神田三丁目,-,東京都千代田区内神田3-12-4　第一岸ビル 4-5F,35.69125,139.77003,THE HUB 神田西口,https://coworking-search.jp/space/2312/
千代田区,神田錦町一丁目,-,東京都千代田区神田錦町1-17-1 神田髙木ビル7階,35.69110,139.76379,BIRTH 神田,https://coworking-search.jp/space/1946/
中央区,日本橋大伝馬町,-,"東京都中央区日本橋大伝馬町13-7　日本橋大富ビル2,3F",35.69092,139.78104,日本橋BC　ノースポイント,https://coworking-search.jp/space/176/
新宿区,新宿一丁目,-,東京都新宿区新宿1-36-12　サンカテリーナビル 6F,35.69083,139.71057,新宿ビジネスセンター,https://coworking-search.jp/space/195/
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-1 Creative Hub 131  6階,35.69048,139.78053,コワーキングスペース「Community Dimension」,https://coworking-search.jp/space/1609/
新宿区,新宿二丁目,-,東京都新宿区新宿2-11-7-5F,35.69042,139.70733,CO-Work&...新宿,https://coworking-search.jp/space/2059/
新宿区,新宿三丁目,-,東京都新宿区新宿3丁目1-24　京王新宿三丁目ビル 1F,35.69020,139.70538,HAKADORU 新宿三丁目店,https://coworking-search.jp/space/2237/
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-12-11　山銀ビル4F,35.68999,139.69714,新宿VIPラウンジ,https://coworking-search.jp/space/1817/
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-17-1　日本生命新宿西口ビル 9F,35.68930,139.69840,NewWork 新宿,https://coworking-search.jp/space/1360/
新宿区,舟町,-,"東京都新宿区舟町7　舟町ビル1F,3F",35.68916,139.72034,ワイムポート新宿舟町,https://coworking-search.jp/space/1881/
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-18-2晴花ビル６F,35.68881,139.69859,ビジョンオフィス新宿,https://coworking-search.jp/space/1551/
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-1-6,35.68857,139.69970,12 SHINJUKU,https://coworking-search.jp/space/1981/
新宿区,新宿四丁目,-,東京都新宿区新宿4-3-15　レイフラット新宿B棟 3F,35.68854,139.70363,THE HUB 新宿,https://coworking-search.jp/space/1135/
新宿区,四谷三栄町,-,東京都新宿区四谷本塩町4-15,35.68854,139.72693,Froh Coworking 四ツ谷,https://coworking-search.jp/space/1096/
江東区,大島五丁目,-,東京都江東区大島5丁目12-3,35.68852,139.83419,ivyCafe  NEIGHBOR&WORK 大島,https://coworking-search.jp/space/2252/
千代田区,六番町,-,東京都千代田区六番町6-4　LH番町スクエア4～6階（総合受付は5階）,35.68809,139.73254,四ツ谷ビジネスラウンジ,https://coworking-search.jp/space/1303/
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町4-10　京成日本橋富沢町ビル3階,35.68802,139.78306,BIZcomfort 日本橋人形町,https://coworking-search.jp/space/1903/
千代田区,一番町,-,東京都千代田区一番町6　相模屋本社ビル7F,35.68759,139.74185,一番町インキュベーションセンター,https://coworking-search.jp/space/1527/
渋谷区,代々木二丁目,-,東京都渋谷区代々木2-5-1　羽田ビル905号室,35.68714,139.69762,おとな自習室 新宿,https://coworking-search.jp/space/1964/
千代田区,二番町,-,東京都千代田区二番町2番　平田ビル1階,35.68692,139.73747,社会起業家コワーキングスペース,https://coworking-search.jp/space/1610/
中央区,日本橋人形町三丁目,-,東京都中央区日本橋人形町3-6-8,35.68690,139.78148,グリーンオフィス人形町,https://coworking-search.jp/space/665/
渋谷区,代々木二丁目,-,東京都渋谷区代々木2-14-1 新宿松本ビル6F,35.68686,139.69674,勉強カフェ　新宿スタジオ,https://coworking-search.jp/space/1584/
千代田区,一番町,-,東京都千代田区一番町10-8　一番町ウェストビル5階,35.68684,139.74002,パズル一番町,https://coworking-search.jp/space/452/
千代田区,六番町,-,東京都千代田区六番町5-5 飯田ビル,35.68659,139.73371,シェアオフィス六番町,https://coworking-search.jp/space/1239/
新宿区,四谷一丁目,-,東京都新宿区四谷1-9 天龍ビル 6階,35.68601,139.72826,フレンドリンクメンバーズオフィス,https://coworking-search.jp/space/1611/
中央区,日本橋室町一丁目,日八京,東京都中央区日本橋室町1丁目5-3  福島ビル5F,35.68579,139.77449,Cross Transit 日本橋,https://coworking-search.jp/space/1846/
中央区,日本橋本町一丁目,日八京,東京都中央区日本橋本町1-8-13　日本橋滄浪閣ビル 2階Rフロア,35.68519,139.77801,立志オフィス日本橋,https://coworking-search.jp/space/2587/
千代田区,麹町二丁目,-,東京都千代田区麹町2丁目10-3　エキスパートオフィス麹町,35.68507,139.74044,EXPERT OFFICE 麹町,https://coworking-search.jp/space/591/
中央区,日本橋人形町一丁目,-,東京都中央区日本橋人形町1-2-12　WARMLIGHTビル3階,35.68505,139.78080,ShareOffice assets 日本橋,https://coworking-search.jp/space/1171/
新宿区,四谷一丁目,-,東京都新宿区四谷1-13-15　URBANE BUILDING SAKAS8 C棟,35.68498,139.72802,lifework space KANPAI H・te,https://coworking-search.jp/space/2040/
中央区,日本橋室町一丁目,日八京,東京都中央区日本橋室町1-2-6　日本橋大栄ビル7階,35.68457,139.77397,サーブコープ 日本橋大栄ビル,https://coworking-search.jp/space/2629/
千代田区,麹町二丁目,-,東京都千代田区麹町2-2-4 麹町セントラルビル4F,35.68451,139.74094,CーWORK 半蔵門,https://coworking-search.jp/space/1451/
千代田区,麹町四丁目,-,東京都千代田区麹町4-8　高善ビル5F,35.68426,139.73640,未来ファクトリー,https://coworking-search.jp/space/494/
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-6-2 新丸の内センタービル 21階,35.68418,139.76641,エグゼクティブセンター 新丸の内センタービル,https://coworking-search.jp/space/105/
中央区,日本橋蛎殻町一丁目,-,東京都中央区日本橋蛎殻町1-13-1　ユニゾ蛎殻町北島ビル B1F-A,35.68374,139.78200,THE HUB 日本橋人形町,https://coworking-search.jp/space/182/
渋谷区,代々木二丁目,-,東京都渋谷区代々木2-30-4,35.68370,139.69855,YCS 代々木,https://coworking-search.jp/space/833/
千代田区,平河町一丁目,-,"東京都千代田区平河町一丁目3番6号　BIZMARKS 麹町 2,3,5,6F",35.68286,139.73975,BIZMARKS 麹町,https://coworking-search.jp/space/1864/
中央区,日本橋蛎殻町一丁目,-,"東京都中央区日本橋蛎殻町1-28-4　 岩崎ビル2F,4F,5F",35.68285,139.78299,いいオフィス 日本橋 by FUKUMITOYA,https://coworking-search.jp/space/1878/
中央区,日本橋小網町,-,東京都中央区日本橋小網町11-5　リードシー日本橋小網町ビル8F,35.68277,139.78128,BIZcomfort 日本橋小網町,https://coworking-search.jp/space/1899/
中央区,日本橋一丁目,日八京,東京都中央区日本橋1-6-7 日本橋関谷ビル6F,35.68265,139.77537,シェアル,https://coworking-search.jp/space/784/
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-1-3　アーバンネット日本橋二丁目ビル,35.68260,139.77260,EXPERT OFFICE 東京,https://coworking-search.jp/space/590/
中央区,日本橋一丁目,日八京,東京都中央区日本橋1-4-1  日本橋一丁目三井ビルディング5階（COREDO日本橋）,35.68260,139.77457,WASEDA NEO,https://coworking-search.jp/space/1622/
中央区,日本橋小網町,-,東京都 中央区日本橋小網町11-9　ザ・パークレックス小網町第2ビル5階,35.68260,139.78112,flat5,https://coworking-search.jp/space/1780/
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-43-11,35.68253,139.69913,BIZcomfort 代々木,https://coworking-search.jp/space/2203/
千代田区,丸の内一丁目,大丸有,東京千代田区丸の内1-8-3　丸の内トラストタワー本館20F,35.68238,139.76944,サーブコープ 丸の内トラストタワー,https://coworking-search.jp/space/2631/
中央区,八重洲一丁目,日八京,東京都中央区八重洲1-4-16　東京建物八重洲ビル3階,35.68237,139.77120,+OURS 八重洲,https://coworking-search.jp/space/909/
渋谷区,代々木三丁目,-,東京都渋谷区代々木3-1-11　パシフィックスクエア代々木 2F,35.68226,139.69574,Creators Mall 代々木,https://coworking-search.jp/space/198/
渋谷区,代々木三丁目,-,東京都渋谷区代々木3-1-11　パシフィックスクエア代々木 3F,35.68226,139.69574,Business Lounge 代々木,https://coworking-search.jp/space/197/
渋谷区,代々木三丁目,-,東京都渋谷区代々木3-1-11　パシフィックスクエア代々木 4F,35.68226,139.69574,Business Mall 代々木,https://coworking-search.jp/space/196/
中央区,日本橋小網町,-,東京都中央区日本橋小網町8-2　BIZMARKS 日本橋茅場町,35.68211,139.78049,BIZMARKS 日本橋茅場町,https://coworking-search.jp/space/818/
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-13-4 代々木ブラウンビル4F,35.68203,139.69989,コワーキングスペース「spAce4510」,https://coworking-search.jp/space/1606/
中央区,八重洲一丁目,日八京,東京都中央区八重洲1-5-9　八重洲アメレックスビル 2F・3F,35.68176,139.77135,東京VIPラウンジ,https://coworking-search.jp/space/1816/
中央区,八重洲一丁目,日八京,東京都中央区八重洲1-5-9 八重洲アメレックスビル 3階,35.68176,139.77134,HUB cafe,https://coworking-search.jp/space/1624/
中央区,日本橋蛎殻町一丁目,-,東京都中央区日本橋蛎殻町1-24-4 井川ビル2F,35.68158,139.78406,ソーシャルビジネスラボ,https://coworking-search.jp/space/1098/
