指標名,世界トップ企業,,,,,,,,,,,,,
出典,Forbes,,,,,,,,,,,,,
年次,2022年,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,
中央区,日本橋二丁目,日八京,東京都中央区日本橋二丁目７番１号　東京日本橋タワー,35.68188,139.77440,Marubeni,丸紅株式会社,Forbes Global 2022,313,408,$72.32 B,$3.51 B,$63.99 B,$19.7 B
千代田区,大手町二丁目,大丸有,東京都千代田区大手町２丁目３－２,35.68718,139.76809,Sumitomo,株式会社三井住友銀行,Forbes Global 2022,321,342,$48.22 B,$2.69 B,$77.8 B,$20.28 B
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内２丁目６－１,35.67857,139.76253,Nippon Steel,日本製鉄株式会社,Forbes Global 2022,332,350,$57.54 B,$5.45 B,$74.59 B,$14.92 B
中央区,新川二丁目,-,東京都中央区新川２丁目２７番２号　東京住友ツインビルディング西館,35.67427,139.78430,MS&AD Insurance,MS&ADインシュアランス グループ ホールディングス株式会社,Forbes Global 2022,344,258,$41.89 B,$1.81 B,$216.84 B,$16.51 B
港区,浜松町二丁目,-,東京都港区浜松町２丁目４番１号　世界貿易センタービル,35.65617,139.75644,Orix,オリックス株式会社,Forbes Global 2022,345,-71,$22.73 B,$2.38 B,$122.37 B,$21.71 B
港区,虎ノ門二丁目,虎ノ門,東京都港区虎ノ門２丁目２－１,35.66947,139.74584,Japan Tobacco,日本たばこ産業株式会社,Forbes Global 2022,365,-98,$21.16 B,$3.08 B,$50.14 B,$30.53 B
千代田区,大手町二丁目,大丸有,東京都千代田区大手町２丁目６番１号,35.68441,139.76907,Shin-Etsu Chemical,信越化学工業株式会社,Forbes Global 2022,382,-53,$17.2 B,$3.95 B,$32.64 B,$57.46 B
千代田区,大手町一丁目,大丸有,東京都千代田区大手町１丁目１－２　,35.68606,139.76199,ENEOS Holdings,ENEOSホールディングス株式会社,Forbes Global 2022,385,301,$90.31 B,$3.45 B,$79.99 B,$11.38 B
新宿区,西新宿一丁目,-,東京都新宿区西新宿１丁目２６－１,35.69270,139.69611,Sompo,ＳＯＭＰＯホールディングス株式会社,Forbes Global 2022,387,13,$35.67 B,$2.19 B,$119.93 B,$13.91 B
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内２丁目７－３　,35.67861,139.76494,Mitsubishi Electric,三菱電機株式会社,Forbes Global 2022,407,-126,$40.34 B,$2.13 B,$41.12 B,$22.76 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１－９－２,35.67864,139.76738,Recruit Holdings,株式会社リクルートホールディングス,Forbes Global 2022,455,-47,$24.8 B,$2.39 B,$20.94 B,$62.03 B
港区,港南二丁目,-,東京都港区港南二丁目３番１３号,35.62903,139.74422,Toyota Tsusho,豊田通商株式会社,Forbes Global 2022,460,-31,$69.53 B,$2.05 B,$50.05 B,$13.04 B
中央区,京橋三丁目,日八京,東京都中央区京橋３丁目１番１号　,35.67610,139.76838,Bridgestone,株式会社ブリヂストン,Forbes Global 2022,465,220,$29.54 B,$1.47 B,$39.73 B,$25.7 B
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋１丁目５－２　,35.66562,139.76080,Fujitsu,富士通株式会社,Forbes Global 2022,474,-111,$32.83 B,$1.93 B,$27.06 B,$29.14 B
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町２丁目１番１号,35.68680,139.77298,Mitsui Fudosan,三井不動産株式会社,Forbes Global 2022,494,-167,$18.26 B,$1.4 B,$71.09 B,$20.04 B
港区,赤坂二丁目,赤坂,東京都港区赤坂２丁目３番６号,35.67087,139.74211,Komatsu,株式会社 小松製作所,Forbes Global 2022,496,-25,$24.51 B,$1.78 B,$34.97 B,$22.06 B
港区,赤坂九丁目,六本木,東京都港区赤坂９丁目７番３号,35.66555,139.73040,Fujifilm Holdings,富士フイルムホールディングス株式会社,Forbes Global 2022,504,-60,$22.57 B,$1.93 B,$32.36 B,$22.93 B
港区,芝浦一丁目,-,東京都港区芝浦１丁目１－１　,35.65164,139.75798,Toshiba,株式会社 東芝,Forbes Global 2022,537,8,$30.13 B,$1.69 B,$30.76 B,$18.19 B
港区,赤坂五丁目,赤坂,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー,35.67318,139.73636,Tokyo Electron,東京エレクトロン株式会社,Forbes Global 2022,545,38,$17.09 B,$3.6 B,$14.97 B,$67.25 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１丁目４－１,35.68436,139.76493,Sumitomo Mitsui Trust,三井住友トラスト・ホールディングス株式会社,Forbes Global 2022,602,-148,$10.67 B,$1.43 B,$553.78 B,$11.81 B
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内２丁目３番２号　郵船ビル,35.68152,139.76292,Nippon Yusen,日本郵船株式会社,Forbes Global 2022,609,484,$19.46 B,$7.09 B,$23.65 B,$12.82 B
港区,赤坂五丁目,赤坂,東京都港区赤坂五丁目３番１号　赤坂Ｂｉｚタワー,35.67318,139.73636,Inpex,国際石油開発帝石株式会社,Forbes Global 2022,635,717,$11.32 B,$2.03 B,$44.79 B,$17.11 B
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内三丁目１番１号,35.67676,139.76111,Idemitsu Kosan,出光興産株式会社,Forbes Global 2022,639,421,$54.54 B,$2.21 B,$38.99 B,$7.97 B
千代田区,大手町一丁目,大丸有,東京都千代田区大手町１－１－１　大手町パークビル,35.68661,139.76282,Mitsubishi Estate,三菱地所株式会社,Forbes Global 2022,649,-209,$12.14 B,$1.22 B,$55.32 B,$19.04 B
千代田区,内幸町二丁目,-,東京都千代田区内幸町２丁目２番３号,35.67033,139.75431,JFE Holdings,ＪＦＥ（ジェイ エフ イー）ホールディングス株式会社,Forbes Global 2022,654,403,$36.46 B,$2.47 B,$45.34 B,$7.25 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１－１－１,35.68450,139.76122,Mitsubishi Chemical,三菱ケミカル株式会社,Forbes Global 2022,665,214,$34.61 B,$1.48 B,$47.4 B,$8.74 B
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内三丁目２番３号,35.67770,139.76174,Mitsubishi Heavy Industries,三菱重工業株式会社,Forbes Global 2022,721,174,$34.06 B,$795.1 M,$44.43 B,$11.58 B
江東区,木場一丁目,-,東京都江東区木場１丁目５番６５号　深川ギャザリア　Ｗ２棟,35.66733,139.80327,Resona Holdings,株式会社りそなホールディングス,Forbes Global 2022,730,-88,$7.46 B,$1.4 B,$662.22 B,$10.54 B
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町一丁目１番２号,35.67358,139.75918,Asahi Kasei,旭化成株式会社,Forbes Global 2022,740,-115,$21.79 B,$1.28 B,$28.14 B,$11.72 B
港区,芝五丁目,-,東京都港区芝五丁目７番１号,35.64943,139.74794,NEC,日本電気株式会社,Forbes Global 2022,741,-213,$27.72 B,$1.09 B,$30.64 B,$10.9 B
渋谷区,代々木二丁目,-,東京都渋谷区代々木２丁目２番２号,35.68732,139.70006,East Japan Railway,東日本旅客鉄道株式会社,Forbes Global 2022,762,-114,$17.67 B,$-3.34 B,$78.23 B,$20.31 B
中央区,日本橋本町二丁目,日八京,東京都中央区日本橋本町２－５－１,35.68726,139.77611,Astellas Pharma,アステラス製薬株式会社,Forbes Global 2022,781,-196,$11.84 B,$1.09 B,$20.46 B,$29.26 B
千代田区,神田司町二丁目,-,東京都千代田区神田司町２－９,35.69351,139.76695,Otsuka Holding,大塚ホールディングス株式会社,Forbes Global 2022,782,-220,$13.64 B,$1.14 B,$24.5 B,$17.87 B
中央区,新川二丁目,-,東京都中央区新川２丁目２７番１号　東京住友ツインビル（東館）,35.67359,139.78445,Sumitomo Chemical,住友化学株式会社,Forbes Global 2022,792,324,$24.41 B,$1.44 B,$36.73 B,$7.08 B
中央区,日本橋二丁目,日八京,東京都中央区日本橋２－７－１,35.68191,139.77428,T&D Holdings,株式会社T&Dホールディングス,Forbes Global 2022,807,-268,$20.27 B,$687.7 M,$158.47 B,$7.85 B
新宿区,西新宿二丁目,-,東京都新宿区西新宿二丁目４番１号,35.68804,139.69351,Sumitomo Realty,住友不動産株式会社,Forbes Global 2022,810,-232,$8.42 B,$1.29 B,$49.53 B,$12.58 B
中央区,日本橋二丁目,日八京,東京都中央区日本橋二丁目５番１号,35.68147,139.77383,TDK,TDK株式会社,Forbes Global 2022,839,-40,$16.26 B,$1.12 B,$24.42 B,$12.01 B
中央区,日本橋一丁目,日八京,東京都中央区日本橋１丁目９－１,35.68378,139.77615,Nomura,野村證券株式会社,Forbes Global 2022,840,-552,$12.89 B,$-394.8 M,$392.65 B,$12.09 B
千代田区,内幸町一丁目,-,東京都千代田区内幸町１丁目１番３号,35.67011,139.75843,Tokyo Electric Power,東京電力ホールディングス株式会社,Forbes Global 2022,842,4,$47.93 B,$548.1 M,$109.05 B,$5.79 B
中央区,日本橋本町三丁目,日八京,東京都中央区日本橋本町三丁目５番１号,35.68832,139.77507,Daiichi Sankyo,第一三共株式会社,Forbes Global 2022,864,-164,$9.42 B,$859.8 M,$18.79 B,$43.87 B
港区,虎ノ門二丁目,虎ノ門,東京都港区虎ノ門２丁目１番１号,35.66985,139.74687,Mitsui OSK Lines,株式会社 商船三井,Forbes Global 2022,868,521,$10.81 B,$4.67 B,$22.2 B,$8.9 B
品川区,南大井六丁目,-,東京都品川区南大井６－２６－１　大森ベルポートＡ館,35.58817,139.73207,Isuzu Motors,いすゞ自動車株式会社,Forbes Global 2022,888,307,$21.7 B,$1.08 B,$23.6 B,$9.3 B
江東区,豊洲三丁目,-,東京都江東区豊洲３丁目２番２４号,35.65759,139.79497,Renesas Electronics,ルネサス エレクトロニクス株式会社,Forbes Global 2022,888,325,$9.05 B,$1.16 B,$20.9 B,$20.81 B
港区,六本木一丁目,虎ノ門,東京都港区六本木１丁目６番１号,35.66456,139.73950,SBI Holdings,SBIホールディングス株式会社,Forbes Global 2022,892,409,$5.58 B,$3.55 B,$152.48 B,$5.49 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１－５－１,35.68254,139.76429,Mitsubishi UFJ Lease,三菱ＵＦＪリース株式会社,Forbes Global 2022,911,101,$14.05 B,$824 M,$86.11 B,$6.49 B
港区,新橋五丁目,虎ノ門広域,東京都港区新橋５丁目１１番３号,35.66326,139.75618,Sumitomo Metal Mining,住友金属鉱山株式会社,Forbes Global 2022,913,281,$10.71 B,$2 B,$17.89 B,$13.03 B
渋谷区,恵比寿一丁目,-,東京都渋谷区恵比寿１丁目２０－８　,35.64679,139.71339,Subaru,株式会社SUBARU,Forbes Global 2022,934,-399,$25.15 B,$593.2 M,$29.47 B,$11.61 B
千代田区,外神田四丁目,-,東京都千代田区外神田４－１４－１,35.70057,139.77272,SMC,SMC 株式会社,Forbes Global 2022,972,-16,$6.4 B,$1.67 B,$14.77 B,$33.91 B
中央区,日本橋茅場町一丁目,-,東京都中央区日本橋茅場町一丁目１４番１０号,35.68043,139.78116,Kao,花王株式会社,Forbes Global 2022,982,-352,$12.91 B,$997.8 M,$14.8 B,$19.19 B
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋１丁目８－１,35.66498,139.76237,Dentsu,株式会社 電通,Forbes Global 2022,998,480,$9.88 B,$986.5 M,$32.31 B,$10.34 B
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町２－１－１,35.68680,139.77298,Toray Industries,東レ株式会社,Forbes Global 2022,1001,156,$19.72 B,$975.7 M,$25.73 B,$7.77 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内一丁目５番１号,35.68254,139.76429,AGC,AGC株式会社,Forbes Global 2022,1018,209,$15.45 B,$1.13 B,$23.15 B,$8.47 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内一丁目９番１号,35.68173,139.76619,Daiwa Securities,大和証券株式会社,Forbes Global 2022,1029,-66,$5.82 B,$1.16 B,$229.39 B,$7.59 B
港区,芝浦一丁目,-,東京都港区芝浦一丁目１番１号,35.65164,139.75798,Cosmo Energy Holdings,コスモエネルギーホールディングス株式会社,Forbes Global 2022,1060,460,$21.95 B,$1.36 B,$16.9 B,$2.11 B
新宿区,西新宿六丁目,-,東京都新宿区西新宿６－１０－１　日土地西新宿ビル　２０Ｆ,35.69460,139.69075,Hoya,HOYA株式会社,Forbes Global 2022,1084,-126,$5.86 B,$1.42 B,$8.36 B,$36.8 B
港区,元赤坂一丁目,赤坂,東京都港区元赤坂１－３－１,35.67731,139.73438,Kajima,鹿島建設株式会社,Forbes Global 2022,1170,-295,$18.21 B,$941.5 M,$19.62 B,$5.64 B
渋谷区,神宮前一丁目,-,東京都渋谷区神宮前１丁目５番１号,35.67133,139.70712,Secom,セコム株式会社,Forbes Global 2022,1180,-330,$9.55 B,$854.8 M,$16.25 B,$15.21 B
新宿区,西新宿二丁目,-,東京都新宿区西新宿２－３－１　新宿モノリス,35.68862,139.69457,Olympus,オリンパス株式会社,Forbes Global 2022,1198,147,$7.71 B,$901.9 M,$11.23 B,$23.96 B
品川区,南品川四丁目,-,東京都品川区南品川４丁目７－１６,35.61327,139.73623,Nippon Paint,日本ペイント株式会社,Forbes Global 2022,1243,-207,$9.23 B,$615 M,$16.98 B,$19.29 B
品川区,北品川五丁目,-,東京都品川区北品川５丁目９－１２,35.61906,139.73482,Kobe Steel,株式会社　神戸製鋼所,Forbes Global 2022,1244,156,$18.01 B,$669.1 M,$23.19 B,$1.76 B
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋１丁目５番２号,35.66562,139.76080,Mitsui Chemicals,三井化学株式会社,Forbes Global 2022,1263,293,$13.83 B,$1.14 B,$16.12 B,$4.41 B
千代田区,内幸町二丁目,-,東京都千代田区内幸町２－１－１,35.67087,139.75254,Sojitz,双日株式会社,Forbes Global 2022,1285,-29,$18.13 B,$658.1 M,$21.79 B,$3.62 B
港区,海岸一丁目,-,東京都港区海岸１－５－２０,35.65345,139.75855,Tokyo Gas,東京ガス株式会社,Forbes Global 2022,1337,-404,$17.47 B,$345.5 M,$27.3 B,$7.93 B
千代田区,神田練塀町,-,東京都千代田区神田練塀町３,35.70036,139.77401,Tokyo Century,東京センチュリー株式会社,Forbes Global 2022,1358,-436,$11.32 B,$477.5 M,$49.19 B,$3.88 B
中央区,日本橋兜町,-,東京都中央区日本橋兜町２－１,35.68254,139.77887,Japan Exchange Group,株式会社日本取引所グループ,Forbes Global 2022,1359,-459,$1.25 B,$473.6 M,$539.07 B,$8.62 B
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷２－４４－１,35.67902,139.67535,Terumo,テルモ株式会社,Forbes Global 2022,1360,-257,$6.27 B,$822.4 M,$12.17 B,$22.93 B
中央区,京橋一丁目,日八京,東京都中央区京橋１丁目１５番１号,35.67700,139.77335,Ajinomoto,味の素株式会社,Forbes Global 2022,1365,-90,$10.29 B,$712.6 M,$12.13 B,$13.89 B
港区,六本木一丁目,虎ノ門,東京都港区六本木１丁目４番５号,35.66569,139.73945,NEXON,株式会社ネクソン,Forbes Global 2022,1376,-2,$2.5 B,$1.05 B,$8.57 B,$20.32 B
港区,港南二丁目,-,東京都港区港南２丁目１５番２号　,35.62615,139.74206,Obayashi,株式会社大林組,Forbes Global 2022,1391,-487,$16.98 B,$600.6 M,$20.83 B,$5.09 B
中央区,銀座四丁目,-,東京都中央区銀座４丁目７番５号,35.67130,139.76652,Oji Holdings,王子ホールディングス株式会社,Forbes Global 2022,1392,71,$13.11 B,$820.3 M,$17.84 B,$4.8 B
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内３丁目２番３号,35.67770,139.76174,Mitsubishi Materials,三菱マテリアル株式会社,Forbes Global 2022,1403,176,$15.65 B,$681.4 M,$18.33 B,$2.09 B
千代田区,内幸町二丁目,-,東京都千代田区内幸町2丁目1番1号 飯野ビルディング,35.67078,139.75233,Kawasaki Kisen Kaisha,川崎汽船株式会社,Forbes Global 2022,1425,新,$6.49 B,$4.27 B,$11.72 B,$5.3 B
港区,三田三丁目,-,"東京都港区三田３－５－２７
住友不動産三田ツインビル西館",35.64390,139.74237,Unicharm,ユニ・チャーム株式会社,Forbes Global 2022,1457,-262,$7.12 B,$662.1 M,$8.58 B,$20.27 B
中央区,銀座七丁目,-,東京都中央区銀座７－５－５,35.66986,139.76134,Shiseido,株式会社　資生堂,Forbes Global 2022,1540,-175,$9.42 B,$386.3 M,$10.24 B,$19.14 B
中央区,八重洲二丁目,日八京,東京都中央区八重洲２丁目７番２号,35.67746,139.76771,Mebuki Financial Group,株式会社めぶきフィナンシャルグループ,Forbes Global 2022,1542,-15,$2.04 B,$413.6 M,$207.85 B,$2.03 B
中央区,日本橋二丁目,日八京,東京都中央区日本橋２丁目７番１号,35.68191,139.77428,Concordia Financial Group,株式会社　コンコルディア・フィナンシャルグループ,Forbes Global 2022,1544,-213,$2.66 B,$360.8 M,$203.71 B,$4.54 B
中央区,八重洲二丁目,日八京,東京都中央区八重洲２丁目７番１５号,35.67720,139.76822,Medipal Holdings,株式会社メディパルホールディングス,Forbes Global 2022,1548,-120,$29.85 B,$331.4 M,$15.44 B,$3.35 B
千代田区,神田和泉町,-,東京都千代田区神田和泉町2番地,35.69952,139.77758,NIPPON EXPRESS HOLDINGS,NIPPON EXPRESSホールディングス株式会社,Forbes Global 2022,1553,新,$20.64 B,$591.9 M,$14.24 B,$5.39 B
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋１－５－２　汐留シティセンター,35.66550,139.76088,All Nippon Airways,全日本空輸株式会社,Forbes Global 2022,1558,-189,$8.55 B,$-1.8 B,$28.13 B,$9.13 B
千代田区,大手町一丁目,大丸有,東京都千代田区大手町一丁目3番2号（経団連会館）,35.68862,139.76353,"Sumitomo Forestry Co.,",住友林業株式会社,Forbes Global 2022,1617,203,$12.61 B,$793.4 M,$11.41 B,$3.21 B
中央区,日本橋茅場町一丁目,-,東京都中央区日本橋茅場町１丁目２－１０,35.68118,139.77965,Japan Securities,日本証券金融株式会社,Forbes Global 2022,1630,63,$274 M,$43.2 M,$116.82 B,$655 M
新宿区,市谷加賀町一丁目,-,東京都新宿区市谷加賀町１丁目１番１号,35.69562,139.73102,Dai Nippon Printing,大日本印刷株式会社,Forbes Global 2022,1636,123,$12.28 B,$641.9 M,$16.55 B,$5.63 B
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町２－４－３　日本橋室町野村ビル,35.68733,139.77391,Shinsei Bank,株式会社新生銀行,Forbes Global 2022,1644,42,$2.64 B,$512.9 M,$91.69 B,$3.83 B
港区,赤坂二丁目,赤坂,東京都港区赤坂２丁目１１番４４号,35.67008,139.74109,M3,エムスリー株式会社,Forbes Global 2022,1709,-130,$1.82 B,$612.4 M,$2.82 B,$22.54 B
港区,芝浦三丁目,-,東京都港区芝浦三丁目１番２１号,35.64507,139.74921,Mitsubishi Motors,三菱自動車工業株式会社,Forbes Global 2022,1732,-124,$17.46 B,$-214.9 M,$16.17 B,$3.69 B
港区,港南二丁目,-,東京都港区港南二丁目１６番１号,35.62779,139.74075,Daito Trust Construction,大東建託株式会社,Forbes Global 2022,1744,-530,$14.15 B,$631.3 M,$8.13 B,$6.6 B
千代田区,大手町一丁目,大丸有,東京都千代田区大手町１丁目１番３号,35.68597,139.76274,Alfresa Holdings,アルフレッサ ホールディングス株式会社,Forbes Global 2022,1752,-191,$23.51 B,$220 M,$12.09 B,$2.77 B
港区,芝五丁目,-,東京都港区芝５丁目３７－８　バンダイナムコ未来研究所,35.64464,139.74453,Bandai Namco Holdings,株式会社バンダイナムコホールディングス,Forbes Global 2022,1752,-441,$7.52 B,$545.7 M,$6.85 B,$15.24 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１丁目６番２号,35.68412,139.76642,Advantest,株式会社アドバンテスト,Forbes Global 2022,1781,-170,$3.56 B,$857 M,$4.01 B,$12.75 B
港区,芝三丁目,-,東京都港区芝三丁目8番2号,35.65236,139.74744,Tosoh,東ソー株式会社,Forbes Global 2022,1800,新,$8.06 B,$966.6 M,$9.29 B,$4.4 B
港区,芝大門一丁目,-,東京都港区芝大門１丁目１３－９,35.65723,139.75321,Showa Denko,昭和電工株式会社,Forbes Global 2022,1803,-28,$12.92 B,$-110.1 M,$18.6 B,$3.43 B
港区,海岸一丁目,-,東京都港区海岸１丁目１４丁目５,35.65436,139.76166,Kawasaki Heavy Industries,川崎重工業株式会社,Forbes Global 2022,1805,-283,$13.6 B,$17.6 M,$17.77 B,$3.08 B
中央区,銀座六丁目,-,東京都中央区銀座６丁目１５番１号,35.66819,139.76625,Electric Power Development,電源開発株式会社,Forbes Global 2022,1813,-595,$9.21 B,$60.3 M,$25.16 B,$2.54 B
中央区,築地一丁目,-,東京都中央区築地１丁目１３－１　銀座松竹スクエア,35.66815,139.76949,Hanwa,阪和興業株式会社,Forbes Global 2022,1866,11,$18.58 B,$368.8 M,$9.63 B,$995 M
中央区,京橋二丁目,日八京,東京都中央区京橋二丁目１６番１号,35.67646,139.77303,Shimizu,清水建設株式会社,Forbes Global 2022,1866,-805,$13.01 B,$414 M,$17.17 B,$4.2 B
新宿区,新宿五丁目,-,東京都新宿区新宿５丁目９番２号,35.69201,139.70881,Tokyo Kiraboshi Financial Group,株式会社東京きらぼしフィナンシャルグループ,Forbes Global 2022,1881,14,$830 M,$87.2 M,$56.78 B,$418 M
千代田区,麹町六丁目,-,東京都千代田区麹町６丁目１－１,35.68464,139.73260,Aozora Bank,株式会社あおぞら銀行,Forbes Global 2022,1897,14,$1.24 B,$323.6 M,$55.38 B,$2.36 B
港区,赤坂八丁目,赤坂,東京都港区赤坂８丁目５番２７号,35.67143,139.72724,Nippon Steel Trading,日鉄物産株式会社,Forbes Global 2022,1906,-119,$17.62 B,$284.7 M,$9.58 B,$1.33 B
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂１丁目２１－１　渋谷ソラスタ,35.65639,139.69658,Tokyu Fudosan,東急不動産ホールディングス株式会社,Forbes Global 2022,1940,-297,$8.64 B,$357 M,$23.04 B,$3.79 B
中央区,銀座二丁目,-,東京都中央区銀座２丁目１６－１０,35.67069,139.77054,Yamato Holdings,ヤマトホールディングス株式会社,Forbes Global 2022,1970,-663,$16.13 B,$433.3 M,$10.38 B,$6.93 B
