指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2023/2/12取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件）",,,,,,
渋谷区,西原三丁目,-,東京都渋谷区西原3-7-8,35.66967,139.68039,フラワー薬局代々木上原店,https://byoinnavi.jp/pharm/201253
渋谷区,上原一丁目,-,東京都渋谷区上原1-33-14,35.66928,139.68086,代々木上原駅前薬局,https://byoinnavi.jp/pharm/201139
渋谷区,本町二丁目,-,東京都渋谷区本町2-12-1,35.68311,139.68123,天山堂薬局,https://byoinnavi.jp/pharm/201165
渋谷区,本町二丁目,-,東京都渋谷区本町2-27-1,35.68339,139.68144,(株)一二三薬局,https://byoinnavi.jp/pharm/201166
渋谷区,上原二丁目,-,東京都渋谷区上原2-43-7,35.66730,139.68154,どらっぐぱぱす上原店,https://byoinnavi.jp/pharm/201142
渋谷区,西原三丁目,-,東京都渋谷区西原3-8-5 アコルデ代々木上原2F,35.66990,139.68156,トモズ アコルデ代々木上原店,https://byoinnavi.jp/pharm/254882
渋谷区,西原三丁目,-,東京都渋谷区西原3-21-1,35.67071,139.68182,代々木にしはら薬局,https://byoinnavi.jp/pharm/201252
渋谷区,上原一丁目,-,東京都渋谷区上原1-35-3,35.66955,139.68208,(有)上原堂薬局,https://byoinnavi.jp/pharm/201141
渋谷区,上原一丁目,-,東京都渋谷区上原1-34-1,35.66943,139.68214,慶応堂薬局,https://byoinnavi.jp/pharm/201140
渋谷区,初台一丁目,-,東京都渋谷区初台1-29-2,35.67859,139.68219,百草堂大薬房,https://byoinnavi.jp/pharm/201159
渋谷区,西原三丁目,-,東京都渋谷区西原3-1-4,35.67024,139.68232,三松ストアー薬品部上原店,https://byoinnavi.jp/pharm/201250
渋谷区,本町二丁目,-,東京都渋谷区本町2-33-5,35.68375,139.68240,荻原薬局,https://byoinnavi.jp/pharm/201167
渋谷区,上原一丁目,-,東京都渋谷区上原1-17-7,35.66899,139.68248,セイジョー薬局代々木上原南店,https://byoinnavi.jp/pharm/201138
新宿区,西落合一丁目,-,東京都新宿区西落合1-11-26,35.72133,139.68290,プラス薬局,https://byoinnavi.jp/pharm/205686
渋谷区,西原三丁目,-,東京都渋谷区西原3-1-8,35.67032,139.68301,くすりセイジョー代々木上原店,https://byoinnavi.jp/pharm/201251
渋谷区,本町二丁目,-,東京都渋谷区本町2-39-19,35.68419,139.68326,(有)佐野薬局,https://byoinnavi.jp/pharm/201168
新宿区,西落合三丁目,-,東京都新宿区西落合3-1-2,35.72285,139.68337,クスリの保健堂西落合店,https://byoinnavi.jp/pharm/205690
新宿区,上落合三丁目,-,東京都新宿区上落合3-10-1,35.71038,139.68362,ユニバーサルドラッグ落合店,https://byoinnavi.jp/pharm/205610
渋谷区,本町二丁目,-,東京都渋谷区本町2-43-1,35.68447,139.68429,ドラッグユニオン,https://byoinnavi.jp/pharm/201170
新宿区,西新宿五丁目,-,東京都新宿区西新宿5-25-11 和光堂西新宿ビル1階,35.68998,139.68434,トモズ 西新宿五丁目店,https://byoinnavi.jp/pharm/254876
渋谷区,本町一丁目,-,東京都渋谷区本町1-4-15,35.68154,139.68541,金輪堂山崎薬局,https://byoinnavi.jp/pharm/201164
新宿区,西新宿五丁目,-,東京都新宿区西新宿5-16-3,35.69323,139.68562,(株)やまわ長生堂,https://byoinnavi.jp/pharm/205716
渋谷区,初台一丁目,-,東京都渋谷区初台1-14-8,35.67916,139.68606,宮田薬局,https://byoinnavi.jp/pharm/201158
新宿区,西新宿五丁目,-,東京都新宿区西新宿5-9-3 ライオネスコーポ1F,35.69155,139.68645,西新宿5丁目薬局,https://byoinnavi.jp/pharm/205719
新宿区,西新宿五丁目,-,東京都新宿区西新宿5-10-8,35.69091,139.68649,ハラダ薬局 西新宿店,https://byoinnavi.jp/pharm/205715
渋谷区,初台一丁目,-,東京都渋谷区初台1-37-2,35.68021,139.68649,クオール薬局初台店,https://byoinnavi.jp/pharm/201160
渋谷区,初台二丁目,-,東京都渋谷区初台2-20-1,35.67784,139.68677,北原薬品,https://byoinnavi.jp/pharm/201162
新宿区,西新宿三丁目,-,東京都新宿区西新宿3-20-2,35.68295,139.68685,トモズエクスプレス東京オペラシティ店,https://byoinnavi.jp/pharm/205711
新宿区,西新宿五丁目,-,東京都新宿区西新宿5-5-3,35.69345,139.68687,伊賀薬局,https://byoinnavi.jp/pharm/205718
新宿区,上落合二丁目,-,東京都新宿区上落合2-25-3 伊藤ビル 1階,35.71102,139.68690,株式会社日本メディケートプラン 上落合2丁目薬局,https://byoinnavi.jp/pharm/252983
新宿区,西新宿五丁目,-,東京都新宿区西新宿5-5-2,35.69362,139.68692,鶴薬局,https://byoinnavi.jp/pharm/205717
渋谷区,初台一丁目,-,東京都渋谷区初台1-39-12,35.68023,139.68712,ドラッグストア・スマイル初台店,https://byoinnavi.jp/pharm/201161
新宿区,西新宿四丁目,-,東京都新宿区西新宿4-1-10,35.69073,139.68715,どらっぐぱぱす 西新宿店,https://byoinnavi.jp/pharm/205713
新宿区,上落合二丁目,-,東京都新宿区上落合2-18-9,35.71452,139.68718,株式会社ファーマみらい 共創未来 中井駅前薬局,https://byoinnavi.jp/pharm/255591
新宿区,北新宿二丁目,-,東京都新宿区北新宿2-21-1-3F,35.69633,139.68718,アガペ新宿薬局,https://byoinnavi.jp/pharm/205627
新宿区,西新宿四丁目,-,東京都新宿区西新宿4-18-6,35.68856,139.68734,(株)サエキ薬品,https://byoinnavi.jp/pharm/205714
新宿区,上落合二丁目,-,東京都新宿区上落合2-18-12,35.71456,139.68735,ミキ薬局中井店,https://byoinnavi.jp/pharm/205608
新宿区,西新宿六丁目,-,東京都新宿区西新宿6-16-6,35.69169,139.68776,ドラッグセイムス西新宿6丁目薬局,https://byoinnavi.jp/pharm/205720
新宿区,中落合一丁目,-,東京都新宿区中落合1-20-16,35.71494,139.68790,薬ヒグチ中井駅前店,https://byoinnavi.jp/pharm/205639
渋谷区,富ケ谷一丁目,-,東京都渋谷区富ヶ谷1-53-15,35.66894,139.68836,代々木八幡プラザ薬品,https://byoinnavi.jp/pharm/201272
新宿区,中落合一丁目,-,東京都新宿区中落合1-17-8,35.71580,139.68843,薬王堂薬局,https://byoinnavi.jp/pharm/205638
新宿区,西新宿三丁目,-,東京都新宿区西新宿3-11-16,35.68546,139.68857,西新宿調剤薬局,https://byoinnavi.jp/pharm/205710
渋谷区,富ケ谷一丁目,-,東京都渋谷区富ヶ谷1-52-1,35.66903,139.68888,まつや薬局,https://byoinnavi.jp/pharm/201271
新宿区,北新宿四丁目,-,東京都新宿区北新宿4-32-10,35.70676,139.68919,丸美屋薬局北新宿店,https://byoinnavi.jp/pharm/205629
渋谷区,富ケ谷一丁目,-,東京都渋谷区富ヶ谷1-51-8,35.66867,139.68942,くすりセイジョー代々木八幡店,https://byoinnavi.jp/pharm/201270
新宿区,上落合一丁目,-,東京都新宿区上落合1-24-8,35.71402,139.69043,昭和薬品,https://byoinnavi.jp/pharm/205606
渋谷区,富ケ谷一丁目,-,東京都渋谷区富ヶ谷1-9-5,35.66819,139.69064,フィールド薬局代々木公園店,https://byoinnavi.jp/pharm/201273
新宿区,西新宿三丁目,-,東京都新宿区西新宿3-7-1,35.68537,139.69097,薬ヒグチパークタワー店,https://byoinnavi.jp/pharm/205712
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-7-1,35.69165,139.69104,田辺薬局 新宿西口店,https://byoinnavi.jp/pharm/255580
新宿区,西新宿六丁目,-,東京都新宿区西新宿6-6-2,35.69255,139.69107,子安ドラッグストアー東京ヒルトンホテル店,https://byoinnavi.jp/pharm/205723
渋谷区,松涛二丁目,-,東京都渋谷区松濤2-15-5 秀和松濤レジデンス106号,35.65830,139.69156,松濤薬局,https://byoinnavi.jp/pharm/271537
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-8-1,35.68919,139.69165,ウエルシア薬局都庁第一庁舎店,https://byoinnavi.jp/pharm/205708
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-8-2,35.68955,139.69181,ウエルシア薬局都庁第二庁舎店,https://byoinnavi.jp/pharm/205709
新宿区,上落合一丁目,-,東京都新宿区上落合1丁目13-5,35.71478,139.69206,エムエム株式会社 こぐま薬局,https://byoinnavi.jp/pharm/205605
渋谷区,富ケ谷一丁目,-,東京都渋谷区富ヶ谷1-19-4,35.66595,139.69207,ハロー薬局,https://byoinnavi.jp/pharm/201269
渋谷区,代々木四丁目,-,東京都渋谷区代々木4-6-3,35.67838,139.69304,くすりセイジョー参宮橋店,https://byoinnavi.jp/pharm/201284
新宿区,西新宿八丁目,-,東京都新宿区西新宿8-5-1,35.69468,139.69304,スギ薬局西新宿医大前店,https://byoinnavi.jp/pharm/205734
渋谷区,代々木三丁目,-,東京都渋谷区代々木3-32-6,35.68349,139.69311,(株)富山堂薬品,https://byoinnavi.jp/pharm/201283
新宿区,西新宿六丁目,-,東京都新宿区西新宿6-5-1,35.69313,139.69314,アイン薬局西新宿店,https://byoinnavi.jp/pharm/205722
新宿区,上落合一丁目,-,東京都新宿区上落合1-1-4,35.71462,139.69323,ケイワ薬局 落合店(株)エスシーグループ,https://byoinnavi.jp/pharm/259861
新宿区,西新宿六丁目,-,東京都新宿区西新宿6-4-1,35.69394,139.69331,龍生堂薬局アイランド店,https://byoinnavi.jp/pharm/205721
新宿区,北新宿四丁目,-,東京都新宿区北新宿4-8-16,35.70937,139.69344,ウェルパーク調剤薬局新宿小滝橋店,https://byoinnavi.jp/pharm/205630
新宿区,西新宿八丁目,-,東京都新宿区西新宿8-4-1,35.69443,139.69347,COS-MEDI・Station西新宿メトロピア店,https://byoinnavi.jp/pharm/205733
渋谷区,神山町,-,東京都渋谷区神山町7-13,35.66447,139.69350,石田薬局,https://byoinnavi.jp/pharm/201205
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-4-1,35.68819,139.69376,ミキ調剤薬局,https://byoinnavi.jp/pharm/205707
新宿区,北新宿四丁目,-,東京都新宿区北新宿4-8-18,35.70931,139.69385,セガミ薬局北新宿店,https://byoinnavi.jp/pharm/205631
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-1-1,35.69190,139.69391,かちどき薬局三井店,https://byoinnavi.jp/pharm/205706
渋谷区,円山町,-,東京都渋谷区円山町26-8,35.65600,139.69395,ドラッグヨシダ,https://byoinnavi.jp/pharm/201263
新宿区,北新宿三丁目,-,東京都新宿区北新宿3-4-1,35.70212,139.69402,スギ薬局北新宿3丁目店,https://byoinnavi.jp/pharm/205628
渋谷区,松涛一丁目,-,東京都渋谷区松濤1-28-8,35.65944,139.69413,平田薬局,https://byoinnavi.jp/pharm/201247
新宿区,中落合二丁目,-,東京都新宿区中落合2-1-15,35.72214,139.69421,中央薬局,https://byoinnavi.jp/pharm/205640
新宿区,中落合二丁目,-,東京都新宿区中落合2-4-28中西屋ビル1F,35.72090,139.69436,株式会社ファーマみらい 共創未来 中落合薬局,https://byoinnavi.jp/pharm/205642
新宿区,中落合二丁目,-,東京都新宿区中落合2-4-1,35.72075,139.69439,かちどき薬局落合新店,https://byoinnavi.jp/pharm/205641
新宿区,下落合一丁目,-,東京都新宿区下落合1-16-3,35.71600,139.69467,落合薬店,https://byoinnavi.jp/pharm/205612
新宿区,下落合四丁目,-,東京都新宿区下落合4-6-14,35.71960,139.69489,グラム薬局下落合店,https://byoinnavi.jp/pharm/205621
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-20-3,35.69398,139.69515,ナチュラルローソンクオール薬局西新宿七丁目店,https://byoinnavi.jp/pharm/205729
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-26-2,35.69300,139.69534,ナチュール調剤薬局,https://byoinnavi.jp/pharm/205701
新宿区,百人町二丁目,-,東京都新宿区百人町2-27-2,35.70315,139.69535,セイジョー 大久保駅前店,https://byoinnavi.jp/pharm/205676
新宿区,下落合四丁目,-,東京都新宿区下落合4-26-10,35.72210,139.69550,さくら薬局目白店,https://byoinnavi.jp/pharm/205619
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-25-1,35.69184,139.69554,かちどき薬局センター店,https://byoinnavi.jp/pharm/205700
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-24-1,35.69039,139.69583,ユーアイ薬局,https://byoinnavi.jp/pharm/205699
渋谷区,宇田川町,-,東京都渋谷区宇田川町7-13,35.66347,139.69591,けやき薬局,https://byoinnavi.jp/pharm/201268
新宿区,下落合四丁目,-,東京都新宿区下落合4-26-7,35.72209,139.69594,どらっぐぱぱす 目白店,https://byoinnavi.jp/pharm/205620
渋谷区,代々木二丁目,-,東京都渋谷区代々木2-16-9,35.68677,139.69598,栄ファーマシー,https://byoinnavi.jp/pharm/201281
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-25-6,35.66025,139.69661,旭薬局,https://byoinnavi.jp/pharm/201197
渋谷区,代々木二丁目,-,東京都渋谷区代々木2-11-14,35.68739,139.69669,南山堂薬局 新宿南口店,https://byoinnavi.jp/pharm/269745
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-8-1,35.69092,139.69674,オーエス薬局,https://byoinnavi.jp/pharm/205705
新宿区,北新宿一丁目,-,東京都新宿区北新宿1-1-20,35.69842,139.69703,GOOD AID株式会社 おだいじに薬局 大久保店,https://byoinnavi.jp/pharm/283454
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-12-11,35.68999,139.69712,ダイコクドラッグ西新宿薬店,https://byoinnavi.jp/pharm/205696
新宿区,西新宿七丁目,-,東京都新宿区新宿7-11-1,35.69380,139.69729,(有)ナガノ薬局,https://byoinnavi.jp/pharm/205769
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-7-2,35.69154,139.69734,龍生堂薬局新宿西口店,https://byoinnavi.jp/pharm/205704
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-15-13,35.68930,139.69735,新井薬師の漢方薬新宿西口店,https://byoinnavi.jp/pharm/205697
新宿区,百人町三丁目,-,東京都新宿区百人町3-6-17,35.70750,139.69749,サノ薬局,https://byoinnavi.jp/pharm/205685
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-11-12,35.69000,139.69764,プラザ薬局,https://byoinnavi.jp/pharm/205695
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-18-7,35.68858,139.69815,(有)博愛堂薬局,https://byoinnavi.jp/pharm/205698
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-10-5,35.68201,139.69816,遼寧漢方薬局,https://byoinnavi.jp/pharm/201274
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-10-5,35.69392,139.69831,龍生堂薬局西新宿店,https://byoinnavi.jp/pharm/205725
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-3-15,35.69336,139.69844,レジーナ薬局新宿西口店,https://byoinnavi.jp/pharm/205702
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-2-7,35.69552,139.69858,薬日本堂(株)新宿店,https://byoinnavi.jp/pharm/205728
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-7-4,35.65857,139.69862,健美堂薬局,https://byoinnavi.jp/pharm/201201
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-5-1 ビックカメラ新宿西口店3階,35.69259,139.69869,共創未来 新宿西口薬局,https://byoinnavi.jp/pharm/259354
新宿区,百人町一丁目,-,東京都新宿区百人町1-15-18,35.70135,139.69875,(株)龍生堂 本店,https://byoinnavi.jp/pharm/205674
品川区,小山六丁目,-,東京都品川区小山6-6-15,35.61427,139.69879,友薬局,https://byoinnavi.jp/pharm/206285
品川区,小山六丁目,-,東京都品川区小山6-5-6,35.61465,139.69881,ヒノミドラッグ 西小山店,https://byoinnavi.jp/pharm/206284
品川区,旗の台五丁目,-,東京都品川区旗の台5-17-19,35.60379,139.69889,リブラ薬局 旗の台店,https://byoinnavi.jp/pharm/267703
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-4-2,35.69286,139.69891,雨宮商事(株),https://byoinnavi.jp/pharm/205703
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-2-4,35.69508,139.69892,セイジョー西新宿7丁目店,https://byoinnavi.jp/pharm/205727
渋谷区,代々木二丁目,-,東京都渋谷区代々木2-9-5,35.68828,139.69893,日本調剤 新宿南口薬局,https://byoinnavi.jp/pharm/201282
品川区,小山六丁目,-,東京都品川区小山6-3-9,35.61559,139.69893,あけぼの薬局西小山店,https://byoinnavi.jp/pharm/206282
渋谷区,代々木二丁目,-,東京都渋谷区代々木2丁目6-7 セイチビル 8階,35.68801,139.69900,新宿薬局,https://byoinnavi.jp/pharm/273019
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-6-2,35.65791,139.69912,(有)松岡薬局,https://byoinnavi.jp/pharm/201196
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-1-4,35.69013,139.69914,ニホンドウ漢方ブティック京王新宿店,https://byoinnavi.jp/pharm/205692
新宿区,百人町二丁目,-,東京都新宿区百人町2-12-10,35.70419,139.69917,ユーアイ薬局新大久保店,https://byoinnavi.jp/pharm/205675
品川区,小山六丁目,-,東京都品川区小山6-4-14,35.61547,139.69928,オレンジファーマシー・調剤薬局,https://byoinnavi.jp/pharm/206283
新宿区,高田馬場三丁目,-,東京都新宿区高田馬場3-22-1,35.71239,139.69930,薬ヒグチ新戸塚店,https://byoinnavi.jp/pharm/205784
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-1,35.69037,139.69938,エース薬局,https://byoinnavi.jp/pharm/205691
渋谷区,宇田川町,-,東京都渋谷区宇田川町23-4,35.65982,139.69940,マツモトキヨシ 渋谷Part2店,https://byoinnavi.jp/pharm/201266
品川区,小山六丁目,-,東京都品川区小山六丁目6番2号,35.61459,139.69942,藤本薬局,https://byoinnavi.jp/pharm/266183
品川区,小山六丁目,-,東京都品川区小山6-6-2,35.61459,139.69942,藤本薬局,https://byoinnavi.jp/pharm/206286
新宿区,下落合三丁目,-,東京都新宿区下落合3-12-28,35.72189,139.69942,(株)一本堂 目白店,https://byoinnavi.jp/pharm/205614
渋谷区,宇田川町,-,東京都渋谷区宇田川町24-10,35.66054,139.69949,(有)ヨコタ薬局,https://byoinnavi.jp/pharm/201267
新宿区,百人町二丁目,-,東京都新宿区百人町2-7-9,35.70416,139.69950,ワタキュー薬局新大久保店,https://byoinnavi.jp/pharm/205681
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-5-10,35.65929,139.69956,OSドラッグ渋谷店,https://byoinnavi.jp/pharm/201199
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-1-6,35.68852,139.69968,ダイコクドラッグ新宿南口薬店,https://byoinnavi.jp/pharm/205694
新宿区,百人町二丁目,-,東京都新宿区百人町2-8-15,35.70305,139.69969,ひろ薬局,https://byoinnavi.jp/pharm/205682
渋谷区,宇田川町,-,東京都渋谷区宇田川町22-3,35.65976,139.69978,マツモトキヨシ 渋谷Part1店,https://byoinnavi.jp/pharm/201265
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-3-1,35.65933,139.69989,サンドラッグ渋谷店,https://byoinnavi.jp/pharm/201198
新宿区,百人町二丁目,-,東京都新宿区百人町2-4-2,35.70173,139.69992,マツモトキヨシ 新大久保駅前店,https://byoinnavi.jp/pharm/205677
新宿区,高田馬場四丁目,-,東京都新宿区高田馬場4-20-11,35.71118,139.69996,(有)小木仁寿堂,https://byoinnavi.jp/pharm/205787
渋谷区,宇田川町,-,東京都渋谷区宇田川町22-1,35.65978,139.69997,三千里薬品 宇田川店,https://byoinnavi.jp/pharm/201264
品川区,小山六丁目,-,東京都品川区小山6-7-6,35.61455,139.69998,西小山薬局,https://byoinnavi.jp/pharm/206287
新宿区,百人町二丁目,-,東京都新宿区百人町2-5-4,35.70306,139.70003,龍生堂薬局新大久保店,https://byoinnavi.jp/pharm/205678
渋谷区,猿楽町,-,東京都渋谷区猿楽町29-9,35.64822,139.70005,漢方蘭山,https://byoinnavi.jp/pharm/201183
渋谷区,桜丘町,-,東京都渋谷区桜丘町23-21渋谷区文化総合センター大和田L,35.65514,139.70006,さくらが丘薬局,https://byoinnavi.jp/pharm/201202
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-2-2,35.65778,139.70011,薬局コスモス渋谷店,https://byoinnavi.jp/pharm/201195
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-2-13,35.65789,139.70011,薬ヒグチ 渋谷南口店,https://byoinnavi.jp/pharm/201194
新宿区,百人町二丁目,-,東京都新宿区百人町2-6-7,35.70393,139.70016,ひな薬局,https://byoinnavi.jp/pharm/205680
新宿区,百人町二丁目,-,東京都新宿区百人町2-5-8,35.70303,139.70018,ブロードウェイ薬局大久保店,https://byoinnavi.jp/pharm/205679
新宿区,歌舞伎町二丁目,-,東京都新宿区歌舞伎町2-45-6,35.69687,139.70047,薬王堂,https://byoinnavi.jp/pharm/205654
新宿区,新宿三丁目,-,東京都新宿区新宿3-23-4,35.69302,139.70064,あかひげ薬局新宿店,https://byoinnavi.jp/pharm/205758
新宿区,下落合一丁目,-,東京都新宿区下落合1-7-11,35.71555,139.70067,オリーブ薬局,https://byoinnavi.jp/pharm/205613
品川区,旗の台五丁目,-,東京都品川区旗の台5-3-6-102,35.60476,139.70079,加藤薬局 旗の台店,https://byoinnavi.jp/pharm/274656
渋谷区,神南一丁目,-,東京都渋谷区神南1-23-8,35.66001,139.70088,三千里薬品 神南店,https://byoinnavi.jp/pharm/201204
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-3-5,35.68061,139.70114,望星代々木薬局,https://byoinnavi.jp/pharm/201275
新宿区,新宿三丁目,-,東京都新宿区新宿3-23-12,35.69339,139.70116,ミネ薬品新宿東口店,https://byoinnavi.jp/pharm/205757
新宿区,新宿三丁目,-,東京都新宿区新宿3-22-6,35.69312,139.70128,マツモトキヨシ 新宿東口店,https://byoinnavi.jp/pharm/205756
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-38-2,35.68324,139.70136,薬ヒグチ第3代々木店,https://byoinnavi.jp/pharm/201278
品川区,荏原七丁目,-,東京都品川区荏原7-11-14,35.61096,139.70137,康樹堂薬局旗ノ台店,https://byoinnavi.jp/pharm/206357
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-36-6,35.68365,139.70139,ミツヤ代々木調剤薬局,https://byoinnavi.jp/pharm/201277
新宿区,歌舞伎町二丁目,-,東京都新宿区歌舞伎町2-44-1,35.69690,139.70148,健康プラザ薬局,https://byoinnavi.jp/pharm/205653
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-38-5,35.68293,139.70151,(有)斉藤薬局,https://byoinnavi.jp/pharm/201279
渋谷区,猿楽町,-,東京都渋谷区猿楽町24-7,35.64822,139.70160,レジーナ薬局代官山店,https://byoinnavi.jp/pharm/201182
新宿区,新宿三丁目,-,東京都新宿区新宿3-22-11,35.69310,139.70170,龍生堂薬局新宿中央店,https://byoinnavi.jp/pharm/205755
