指標名,文化財,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
年次,2023/2/8取得,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
備考,（2019年：482件。2020年：516件、2021年：548件、2022年：553件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
中央区,日本橋一丁目,日八京,東京都中央区日本橋一丁目･日本橋室町一丁目間,35.68405,139.7744,日本橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,明治,19990513,-,-,国（国土交通省）,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1,35.686695,139.772979,拾遺抄,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,鎌倉,20160817,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1 三井本館7階,35.68641,139.7735,旧金剛宗家伝来能面,-,国宝・重要文化財（美術工芸品）,重要文化財,彫刻,-,室町、桃山、江戸,20080710,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階,35.68641,139.7735,紙本著色東福門院入内図〈／四曲屏風〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,江戸,20060609,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,刀〈銘国広／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,桃山,19390527,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.686417,139.773527,唐物肩衝茶入（北野）,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,南宋時代,20030529,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,熊野御幸記〈藤原定家筆／建仁元年十月〉,-,国宝・重要文化財（美術工芸品）,国宝,古文書,日本,鎌倉,<NULL>,19670615,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,古林清茂墨蹟〈与無夢一清偈／泰定四年至節後三日〉,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,元,19890612,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.686417,139.773527,黒楽茶碗（俊寛）〈長次郎作／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,桃山,19960627,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68669,139.7729,粉引茶碗（三好）,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,朝鮮,20160817,-,三井記念美術館,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,志野茶碗〈銘卯花墻／〉,-,国宝・重要文化財（美術工芸品）,国宝,工芸品,日本,桃山,19550202,19590627,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,清拙正澄墨蹟〈霊致別称偈／延元元年仲夏〉,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国・日本,元～南北朝,19531114,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,太刀〈銘国信／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,南北朝,19550622,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,太刀〈銘助真／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,鎌倉,19570219,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,太刀〈銘則宗／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,鎌倉,19410703,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,太刀〈銘備州長船住兼光／暦応二年正月日〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,南北朝,19520329,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,太刀〈銘備州長鉛基光／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,南北朝,19530331,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,短刀〈無銘貞宗（名物徳善院貞宗）／〉,-,国宝・重要文化財（美術工芸品）,国宝,工芸品,日本,鎌倉,19370525,19521122,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,短刀〈無銘正宗（名物日向正宗）／〉,-,国宝・重要文化財（美術工芸品）,国宝,工芸品,日本,鎌倉,19410703,19521122,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,手鑑「たかまつ」（百八十六葉）,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,奈良～江戸,19890612,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,銅製船氏王後墓誌,-,国宝・重要文化財（美術工芸品）,国宝,考古資料,日本,奈良,19530331,19610427,三井記念美術館　,-,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,薙刀〈銘一／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,鎌倉,19520719,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,日本航海図〈（羊皮紙著色）／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,歴史資料,日本,江戸,19950615,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,楽焼黒茶碗（雨雲）〈光悦作／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19550622,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,鸞天目茶碗,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,南宋時代,20000627,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,紙本淡彩雪松図〈円山応挙筆／六曲屏風〉,-,国宝・重要文化財（美術工芸品）,国宝,絵画,日本,江戸,<NULL>,19520329,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階 三井記念美術館 ,35.68641,139.7735,紙本金地著色日月松鶴図〈／六曲屏風〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,室町,19930610,-,三井記念美術館　,公益財団法人三井文庫,-
中央区,日本橋室町一丁目,日八京,東京都中央区日本橋室町一丁目7番地,35.68559,139.7733,三越日本橋本店,-,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,昭和,20160725,-,-,株式会社三越伊勢丹,-
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町二丁目1番1号,35.68631,139.7731,三井本館,-,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,昭和,19981225,-,-,三井不動産株式会社,-
中央区,日本橋小網町,-,東京都中央区日本橋小網町10-5,35.68268,139.7808,喜代川店舗,-,登録有形文化財(建造物),産業3次,建築物,-,昭和前,20180510,-,-,-,-
中央区,日本橋人形町一丁目,-,東京都中央区日本橋人形町1-5-2,35.6851,139.7818,よし梅芳町亭,-,登録有形文化財(建造物),住宅,建築物,-,昭和前,20020821,-,-,-,-
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町1-5,35.6891,139.7782,江戸屋店舗兼住宅,-,登録有形文化財(建造物),産業3次,建築物,-,大正,20140425,-,-,-,-
中央区,日本橋中洲,-,東京都中央区日本橋中洲､江東区清澄,35.68242,139.7918,清洲橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,昭和,20070618,-,-,東京都,-
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町9-3,35.68887,139.7819,ハリオグラスビル,-,登録有形文化財(建造物),産業3次,建築物,-,昭和前,20030701,-,-,ハリオテック株式会社,-
中央区,日本橋本石町二丁目,日八京,東京都中央区日本橋本石町二丁目1番1号,35.68656,139.7715,日本銀行本店本館,-,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,明治,19740205,-,-,日本銀行,-
千代田区,千代田,-,東京都千代田区,35.68825,139.7544,江戸城跡,-,史跡名勝天然記念物,特別史跡,-,-,-,19600520,-,-,-,-
千代田区,九段北四丁目,-,東京都千代田区･新宿区･港区,35.693191,139.737525,江戸城外堀跡,-,史跡名勝天然記念物,史跡,-,-,-,19560326,-,-,-,-
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-1,35.69771,139.7617,神奈川県夏島貝塚出土品,-,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,縄文,19980630,-,明治大学,明治大学,-
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-1,35.69771,139.7617,埼玉県砂川遺跡出土品,-,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,旧石器,19930120,-,明治大学,明治大学,-
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-1,35.69771,139.7617,下野出流原遺跡出土品,-,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,弥生,19820605,-,明治大学,明治大学,-
千代田区,大手町二丁目,大丸有,東京都千代田区大手町二丁目中央区日本橋本石町二丁目,35.68602,139.7701,常盤橋門跡,-,史跡名勝天然記念物,史跡,-,-,-,19280324,-,-,-,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.69067,139.7485,江戸城跡のヒカリゴケ生育地,-,史跡名勝天然記念物,天然記念物,-,-,-,19720614,-,-,-,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,エロシェンコ像〈中村　彜筆　一九二〇年／油絵　麻布〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,大正,19770611,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,絹本著色賢首菩薩図〈菱田春草筆／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,明治,19790606,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,絹本著色日高河清姫図〈村上華岳筆／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,大正,19990607,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,絹本著色湯女図〈土田麦僊筆／二曲屏風〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,大正,19990607,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,絹本墨画生々流転図〈横山大観筆／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,大正,19670615,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,裸体美人〈萬鐵五郎筆／油絵　麻布〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,明治,20001204,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,三遊亭円朝像（鏑木清方筆／絹本著色）,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,昭和,20030529,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,切通しの写生〈岸田劉生筆　一九一五年／油絵　麻布〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,大正,19710622,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,紙本著色行く春図〈川合玉堂筆／六曲屏風〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,大正,19710622,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1 東京国立近代美術館 ,35.69056,139.7547,ゆあみ〈新海竹太郎作　一九〇七年／石膏原型〉,-,国宝・重要文化財（美術工芸品）,重要文化財,彫刻,日本,近代,20000627,-,東京国立近代美術館,独立行政法人国立美術館,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1,35.67859,139.7443,小野蘭山関係資料,-,国宝・重要文化財（美術工芸品）,重要文化財,歴史資料,日本,江戸時代,20150904,-,国立国会図書館,国,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1,35.67859,139.7443,弘安礼節,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,鎌倉,20140821,-,国立国会図書館,国（国会図書館保管）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1,35.67859,139.7443,釈氏往来,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,鎌倉,20120906,-,国立国会図書館,国立国会図書館,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1 国立国会図書館 ,35.67842,139.7442,宋版姓解,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,南宋,19560628,-,国立国会図書館,国（国立国会図書館）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1 国立国会図書館 ,35.67842,139.7442,対馬宗家倭館関係資料,-,国宝・重要文化財（美術工芸品）,重要文化財,歴史資料,日本,江戸,20070608,-,国立国会図書館,国（国立国会図書館）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1 国立国会図書館 ,35.67842,139.7442,天台山記,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,平安,19550622,-,国立国会図書館,国（国立国会図書館）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1 国立国会図書館 ,35.67842,139.7442,満済准后日記〈自筆本／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,古文書,日本,室町,19560628,-,国立国会図書館,国（国立国会図書館）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1 国立国会図書館 ,35.67842,139.7442,銘尽〈（観智院本）／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,室町,19680425,-,国立国会図書館,国（国立国会図書館）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1 国立国会図書館 ,35.67842,139.7442,師守記〈自筆本／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,古文書,日本,南北朝,20040608,-,国立国会図書館,国（国立国会図書館）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1丁目10?1,35.678471,139.742031,新修浄土往生伝巻上、下,-,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,平安,20130619,-,国（国立国会図書館保管）,国（国立国会図書館保管）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町一丁目1番地2号,35.677866,139.747577,水準原点,原点,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,明治,20191227,-,-,国（国土交通省）,-
千代田区,永田町一丁目,赤坂,東京都千代田区永田町一丁目1番地2号,35.677866,139.747577,水準原点,掩蓋,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,明治,20191227,-,-,国（国土交通省）,-
千代田区,霞が関三丁目,虎ノ門広域,東京都千代田区霞が関3-2-2,35.671326,139.747265,乾漆伎楽面,-,国宝・重要文化財（美術工芸品）,重要文化財,彫刻,-,奈良時代,20150904,-,文化庁,国（文化庁）,-
千代田区,霞が関三丁目,虎ノ門広域,東京都千代田区霞が関3-2-2,35.6713,139.7493,旧文部省庁舎,-,登録有形文化財(建造物),官公庁舎,建築物,-,昭和前,20071002,-,-,文部科学省,-
千代田区,霞が関三丁目,虎ノ門広域,東京都千代田区霞が関3丁目2?2,35.671828,139.747587,木造雲中供養菩薩像,-,国宝・重要文化財（美術工芸品）,重要文化財,彫刻,日本,平安時代,20181031,-,-,国（文化庁）,-
千代田区,霞が関一丁目,虎ノ門広域,東京都千代田区霞が関一丁目1番1号,35.6764,139.7533,法務省旧本館,-,国宝・重要文化財(建造物),重要文化財,近代／官公庁舎,-,明治,19941227,-,-,国（法務省）,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.70198,139.7681,神田神社神饌所,-,登録有形文化財(建造物),宗教,建築物,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.7021,139.7677,神田神社西門,-,登録有形文化財(建造物),宗教,その他工作,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.70191,139.7678,神田神社拝殿,-,登録有形文化財(建造物),宗教,建築物,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.70188,139.768,神田神社東門,-,登録有形文化財(建造物),宗教,その他工作,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.70201,139.7679,神田神社幣殿,-,登録有形文化財(建造物),宗教,建築物,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.70217,139.7677,神田神社宝庫,-,登録有形文化財(建造物),宗教,建築物,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.70211,139.7679,神田神社本殿,-,登録有形文化財(建造物),宗教,建築物,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,35.7022,139.768,神田神社瑞垣,-,登録有形文化財(建造物),宗教,その他工作,-,昭和前,20030919,-,-,宗教法人神田神社,-
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-4-6,35.68334,139.7648,日本工業倶楽部会館,-,登録有形文化財(建造物),文化福祉,建築物,-,大正,19990823,-,-,社団法人日本工業倶楽部,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,色絵花鳥文八角大壺〈伊万里／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸時代,20000627,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,色絵罌粟文茶壺〈仁清作／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19600609,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,色絵鳳凰文壺〈仁清作／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19310119,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,絵唐津芦文壺,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,桃山,20080710,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,絵唐津柿文三耳壺,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,20050609,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,金銀藍絵松樹文蓋物〈尾形乾山作／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19870606,-,財団法人出光美術館,財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,絹本著色漁釣図〈徐祚筆／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,中国,南宋,19370525,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,絹本著色更衣美人図〈喜多川歌麿筆／〉,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,江戸,19990607,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,絹本著色十王図,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,南北朝,19680425,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,絹本著色真言八祖行状図,-,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,平安,20020626,-,公益財団法人出光美術館,公益財団法人出光美術館,-
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1,35.67659,139.7607,虎関師錬筆消息〈六月十八日／檀溪心涼宛〉,-,国宝・重要文化財（美術工芸品）,重要文化財,古文書,日本,鎌倉,19490530,-,財団法人出光美術館,財団法人出光美術館,-
