指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2023/3/21,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件、2022年度：344件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
新宿区,百人町一丁目,-,東京都新宿区百人町1-23-3 亀井ビル2F,35.69875,139.697175,Rock Inn DICE[Okubo],バー,Rock ･ Punk ･ Metal ･ Acoustic ･ Live,03-5937-2043,19:00-05:00,不定休,30名,2000円前後～,http://rock-inn-dice.tokyo/
千代田区,神田佐久間町二丁目,-,東京都千代田区神田佐久間町2-11 アオイビル2F,35.697977,139.776576,あるけみすと[Akihabara],DJバー,A-POP ･ Game Music,03-3863-4766,19:00-05:00土･日･祝: カフェ営業 14:00～,無休,20名,3000円,http://alchemi.jp/
新宿区,百人町一丁目,-,東京都新宿区百人町1-17-7 大久保ビルA館B1F,35.701587,139.69761,HOTSHOT[Okubo],ライブハウス,Blues ･ Folk ･ POPs ･ Jazz ･ HeavyMetal ･ Rock ･ Others,03-5338-8280,※公演開始はそれぞれ異なる貸切受付時間昼 10:00-15:00夜 17:00-22:00,無し ※不定休,立 120人 / 座 ～50人,-,-
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-31-12 日綜代々木ビルB1F,35.681402,139.702328,LIVE labo YOYOGI[Yoyogi],ライブハウス,Rock ･ POPs ･ Folk ･ Live ･ Others,03-5354-3120,※ライブごとに変動貸切 昼10:00-14:00 / 夜14:30-22:30,-,200～250名,-,http://www.yoyogi-labo.com/
渋谷区,神宮前三丁目,-,東京都渋谷区神宮前3-29-5,35.671782,139.70966,Deus Ex Machina[Harajuku],カフェ,House ･ Others,03-5413-3949,バー営業: 金19:00-23:00カフェ: 09:00-20:00,無し,40名ほど,"1,500円～",-
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町15-2 B1F,35.691523,139.781391,CITAN[Nihonbashi],ラウンジ ･ バー,Funk ･ Soul ･ Disco ･ Jazz ･ Ska ･ Live ･ House･ etc.,03-6661-7559,イベント営業 / 金･土バー 18:00～ / DJタイム 20:00～ (※日により変動)要事前確認,-,-,ドリンク600円から,https://backpackersjapan.co.jp/citan/
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-30-1 代々木パークビルB1F,35.682249,139.70177,Zher the ZOO[Yoyogi],ライブハウス,Rock ･ Acoustic ･ POPs ･ Others,03-5358-4491,日により変動,-,280人,-,-
千代田区,神田紺屋町,-,東京都千代田区神田紺屋町20-1 神保ビルB1F,35.692012,139.773308,ISOLDE[Kanda],バー,Rock ･ Blues ･ Folk ･ POPs,03-5294-6282,18:00-24:00 / 土･日･祝は、日により変動,不定休,35席未満,3800円,http://isolde.jp/
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-45-3 セントオフィスビル2F,35.682243,139.698361,shirokuma[Yoyogi],バー ･ イベントスペース,House ･ HipHop ･ Funk ･ Jazz ･ Others,03-3375-8275,20:00-24:00,不定休,-,1500円,http://sake-shirokuma.com/
中央区,日本橋本石町四丁目,日八京,東京都中央区日本橋本石町4-4-15 朝日ビル本館 B1F,35.688801,139.77128,Extrawelt[Nihonbashi],カフェ ･ バー,HipHop ･ R&B ･ All Genre ･ House ･ Techno,03-3527-9494,カフェ11:00～ / バー18:00～,無休,-,2000円,https://www.facebook.com/CafeBarExtrawelt
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-7-3 東京ビルTOKIA 2F,35.678543,139.764911,COTTON CLUB[Marunouchi],ライブレストラン,Others ･ Live ･ Jazz,03-3215-1555,月-金 17:00-23:00 / 土･日･祝 16:00-22:30,不定休,着席180名,5000円～,http://www.cottonclubjapan.co.jp/
港区,海岸二丁目,-,東京都港区海岸2-7-104,35.650688,139.760473,JICOO[Tokyo Bay],船上バーラウンジ,Allmix ･ Techno ･ Others ･ Electronic ･ Jazz,0120-049-490,木･金･土 20:00-23:00,-,130人,5000円,http://www.jicoofloatingbar.com/
渋谷区,神宮前二丁目,-,東京都渋谷区神宮前2-23-4,35.674526,139.711049,bar bonobo[Jingumae],DJバー,House ･ Electronic ･ Lounge ･ All Genre,03-6804-5542,-,不定休,50名前後,2500円,http://bonobo.jp/
新宿区,西新宿三丁目,-,東京都新宿区西新宿3-15-8 西新宿パールビルB1F,35.683866,139.689726,WALL[Hatsudai],ライブハウス,Live ･ Others ･ POPs ･ Rock ･ All Genre,03-5351-6241,ライブスケジュールにより異なる,-,約180人,-,http://wall-moonstep.com/wall/
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-8-15 幡ヶ谷K3ビルB1F,35.677991,139.677008,FORESTLIMIT[Hatagaya],イベントスペース ･ カフェ,Live ･ Others ･ Electronic ･ Jazz ･ All Genre,03-6276-2886,イベントスケジュールにより変動,不定休,100人,-,http://forestlimit.com/
新宿区,四谷二丁目,-,東京都新宿区四谷2-10 第2太郎ビルB1F,35.687708,139.725111,OUTBREAK[Yotsuya],ライブハウス,POPs ･ Live ･ Rock ･ Others,03-5368-0852,※イベントスケジュールにより異なる,-,230人,2500円,http://www.hor-outbreak.com/
渋谷区,西原二丁目,-,東京都渋谷区西原2-27-4 B1,35.675222,139.678302,CLUB HEAVY SICK[Hatagaya],CLUB ･ ライブハウス,HipHop ･ Rock ･ Reggae ･ Live,03-3466-1445,※スケジュールにより異なる,不定休,100人,1500円～2000円,http://www.heavysick.co.jp/club/
港区,芝五丁目,-,東京都港区芝5-36-7 三田ベルジュビルB1F,35.644807,139.744919,GUARDIAN DININGBAR & SOUL[Mita],ダイニングバー,Soul ･ Jazz ･ Lounge ･ Live ･ Others,03-5419-6718,ランチ 平日11:00-14:30ディナー 月-木 18:00-23:30 / 金 18:00-03:00,土 ･ 日 ･ 祝 (貸切は営業),120人,4000円,http://www.bulls-eye.jp/guardian/
渋谷区,幡ケ谷一丁目,-,東京都渋谷区幡ヶ谷1-1-5 第一岩田ビルB1F,35.677625,139.678896,SCUBA[Hatagaya],ダイニングバー,Allmix ･ Disco ･ R&B ･ 70s ･ 80s,03-3376-2684,月-土 21:00-04:00,日 (祝日の場合営業),-,3500円,http://www.bar-scuba.com/
渋谷区,代々木一丁目,-,東京都渋谷区代々木1-28-9 代々木VILLAGE,35.681705,139.701119,Village Music Bar[Yoyogi],ミュージックバー,Techno ･ Electronic ･ R&B ･ Jazz ･ Disco ･ etc.,03-6276-8440,18:00-03:00 / 日･祝18:00-24:00,不定休,-,3000円～,http://www.yoyogi-village.jp/bar/
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-7-3 東京ビルTOKIA1F,35.678543,139.764911,P.C.M. PUB CARDINAL MARUNOUCHI[Marunouchi],バー ･ ラウンジ,Lounge ･ Allmix ･ etc.,03-5222-1251,月-土11:00-04:00 / 日･祝11:00-23:00,無休,着席50人 / スタンディング100人,3500円,http://www.cardinal-japan.com/restaurant/pcm/
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-4-3 YUITO/日本橋室町野村ビル4F,35.687381,139.77392,XEX Nihonbashi[Nihonbashi],バー ･ ラウンジ,Lounge ･ House ･ Jazz ･ Disco ･ Live,03-3548-0065,ランチ 11:00-15:00カフェ 15:00-17:00ディナー17:30-26:00 (月～木･祝前)17:30-29:00 (17:30-29:00)17:30-23:30 (17:30-23:30)※最新の情報とは異なる可能性がございます。事前にご確認下さい,無休,300人,5000円,http://www.xexgroup.jp/nihonbashi
港区,海岸一丁目,-,東京都港区海岸1-10-45 アトレ竹芝(シアター棟) 1F,35.656915,139.761915,BANK30[Takeshiba],ラウンジ,Others,03-5422-1094,11:00-24:00,アトレ竹芝の営業に準ずる,当面はカウンター席・テラス席のみ利用可,未定,-
渋谷区,円山町,-,東京都渋谷区円山町2-16 スタジオアリアス1F-4F,35.658327,139.695015,WOMB[House Techno Electro Minimal Drum&Bass ],CLUB,House ･ Techno ･ Minimal ･ Drum&Bass ･ Electro ･ HipHop ･ TRAP ･ Allmix ･ Trance ･ DUBSTEP ･ etc.,03-5459-0039,22:00-04:30 ※イベントにより変動の為、要確認,不定休,全フロア計1000人,"平日 3,000円 / 週末 5,000円",https://www.womb.co.jp/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-10-12 新大宗ビル4号館B2F,35.658685,139.697745,Contact[House Techno Electronic Dub ],CLUB,House ･ Techno ･ Electronic ･ DUB ･ etc.,03-6427-8107,22:00～ ※イベントにより異なる,(木曜が休みとなる場合がある ※要確認),600名,"3,500円",https://www.contacttokyo.com/
渋谷区,渋谷三丁目,-,東京都渋谷区渋谷3-26-16,35.654169,139.705578,CIRCUS TOKYO[House Techno ],イベントスペース,House ･ Techno ･ Electro ･ etc.,03-6419-7520,※イベントによって異なる,クラブ営業は主に週末,約100m2 / 200名以上,"2,500円～",http://circus-tokyo.jp/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル9F,35.659599,139.701512,WREP[HipHop ],DJバー,HipHop,03-3409-6580,20:00-05:00 (月～土),(日曜日は休みとなる場合がある),-,"2,000円～ドリンク 700円～1,000円ソフトドリンク 500円～",http://djbar.wrep.jp/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-25-6 パークサイド共同ビル10F,35.659599,139.701512,DJ BAR Bridge[HipHop House Reggae Jazz Disco DUBSTEP ],バー,House ･ Disco ･ Reggae ･ DUBSTEP ･ HipHop ･ Jazz,03-6427-6568,月-土 20:00-05:00,不定 (祝前でない日曜は休みとなる場合が多い),100名未満 目算,"2,500円",https://djbar-bridge.com/shibuya/
渋谷区,渋谷三丁目,-,東京都渋谷区渋谷3-21-3 4F,35.657319,139.703023,Bar&Dining TORRENT[HipHop House Techno R&B Disco Lounge BassMusic ],バー＆ダイニング,Lounge ･ HipHop ･ House ･ Techno ･ R&B ･ BassMusic ･ Disco ･ etc.,03-6427-1358,バー営業: 17:00-24:00(DJ: 20:30-23:30 ※変動の為、要確認),無し,100名 (全91席),"1,500円",https://www.tokyuhotels.co.jp/stream-e/bar_dining/index.html
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-14-8 TSUTAYA O-EAST内2F,35.658683,139.695573,東間屋[House Techno Disco Soul Electro ],バー,Techno ･ House ･ Disco ･ Soul ･ Electro,03-6416-4184,21:00-04:30,日 (祝前日の場合を除く),(35名～ ※目算),"2,500円～ドリンク 800円前後～",https://azumaya.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-16 コクサイビルA館B1F,35.661416,139.698345,JUMANJI 33[HipHop House Allmix ],CLUB,Allmix ･ House ･ HipHop ･ etc.,03-6452-5833,20:00-04:30 ※変動の可能性あり(ハッピーアワー 20:00-24:00),無し,200人未満,"3,000円前後",http://jumanji33.com/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-6-5 東静ビルB1F,35.657758,139.699234,OATH[House Techno ],バー,House ･ Techno,03-3461-1225,20:00-05:00,不定,-,"2,500円",https://www.djbar-oath.com/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-17-9 SKプラザビルB1F,35.657036,139.697073,LAUREL TOKYO[HipHop Reggae R&B ],CLUB,HipHop ･ R&B･ Reggae ･ etc.,03-6277-5503,21:00-05:00※イベントにより変動の可能性あり,日曜,300名,"3,500円",https://laureltokyo.jp/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビル2F,35.659996,139.695934,Studio Freedom[HipHop House Techno Live Others Dance Electro ],イベントスペース,Dance ･ Live ･ Electro ･ Techno ･ House ･ HipHop ･ Others,03-5784-5496,スケジュールにより変動(レンタル: 日中 12:00-22:00 / 夜 23:00-05:00),不定,350人 / 面積:約207平米コインロッカー: 150,"3,000円前後 ※クラブイベントの場合(会場使用: 日中 18万円～ / 夜 10万円～)",http://studiofreedom.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町12-3 ニュー渋谷コーポラス1F,35.661746,139.698037,CLUB VIZEL[HipHop House Allmix Reggae R&B EDM BlackMusic ],CLUB,Allmix ･ HipHop ･ House ･ R&B ･ EDM ･ BlackMusic ･ Reggae ･ etc.,03-6455-3131,20:00-04:30 ※イベントにより変動,無し,約400人,"3,000円～",https://www.vizel.tokyo/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-10-7 新大宗ビルB1F,35.658158,139.697176,SOUND MUSEUM VISION[HipHop House Techno Allmix Live Reggae EDM Electro ],CLUB,House ･ HipHop ･ Allmix ･ Techno ･ EDM ･ Live ･ Reggae ･ Electro ･ etc.,03-5728-2824,22:00-05:00 ※イベントにより変動,クラブ営業は金曜・土曜・祝前日を軸に開催,1000人 / 面積: 300坪GAIA: 500DEEP SPACE: 200D-LOUNGE: 80WHITE: 80D-BAR: 50,"5,000円",http://www.vision-tokyo.com/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-22-12 長島第一ビルB1F,35.656566,139.695715,翠月[House Techno Disco Soul ],CLUB,House ･ Techno ･ Disco ･ Soul ･ Ambient ･ etc.,03-6455-0140,21:00-05:00 ※変動の可能性あり,日,100名,"3,000円～ 目安",http://mitsuki-tokyo.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町33-1 グランド東京渋谷ビルB1F-B2F,35.660744,139.697398,Veats Shibuya[POPs All Genre ],ライブハウス,POPs ･ All Genre,03-5467-6390,スケジュールによる,不定,700名,ライブごとに変動,https://veats.jp/
渋谷区,神宮前六丁目,-,東京都渋谷区神宮前6-19-17 GEMS神宮前 8F-9F,35.66366,139.702373,BLACK BOX[All Genre ],サウンド＆シーシャバー,All Genre,03-6712-6955,20:00-29:00,無し,100人,"5,000円",https://www.blackbox-shibuya.com/
渋谷区,東二丁目,-,東京都渋谷区東2-24-1,35.652125,139.708759,頭バー[HipHop House Techno Allmix Jazz Disco Lounge Latin ],DJバー,HipHop ･ House ･ Techno ･ Allmix ･ Jazz ･ Disco ･ Lounge ･ Latin ･ etc.,03-6712-5050,19:00～,日 ･ 祝,-,"2,500円",http://www.zubar.jp/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-20-9 道玄坂柳光ビル3F,35.659516,139.695904,analog[HipHop POPs R&B 80s 90s ],バー,Popular Song ･ J-POP ･ HipHop ･ R&B ･ 80s ･ 90s,03-6416-1228,20:00-03:00,年末年始,30名未満 / 20坪,"2,900円(チャージ500円 / ドリンク1杯 1,000円前後)",https://analog-recordbar.com/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-13-5 B1F,35.658374,139.695654,beat cafe[POPs Rock 80s All Genre ],ミュージックバー,80s ･ Rock ･ POPs ･ All Genre ･ etc.,-,20:00-05:00,不定休,-,-,https://www.facebook.com/beatcafe
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-8 ちとせ会館B1F,35.661235,139.698537,TK NIGHTCLUB[HipHop House Allmix DUBSTEP ],CLUB,WORLD DANCE MUSIC,03-5456-2400,22:00-04:30,なし,1000人 / 20席,"5,000円",http://tk-nightclub.com/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-2-3 渋谷フクラス(東急プラザ渋谷)17F-18F,35.657725,139.700151,CE LA VI TOKYO[House Electro ],レストラン ･ クラブ,House ･ Electro ･ etc.,0800-111-3065,セラヴィクラブラウンジ (17階)月曜定休火-木 22:00-04:00金･土 22:00-04:30日･祝 15:00-22:00※イベントにより変動,不定※1月1日は休業の可能性あり,200名 / 56席 (CE LA VI CLUB LOUNGE)98席 (BAO by CE LA VI)116席 (CE LA VI RESTAURANT&SKY BAR),"クラブラウンジ 5,000円～ ※目安レストラン ディナー 13,000円 ランチ 4,000円",https://www.celavitokyo.com/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-6-7 SUSAビル5F,35.657719,139.699066,Bar Music[Live Jazz Soul BlackMusic Acoustic Folk ],カフェ ･ バー,Jazz ･ BlackMusic ･ Soul ･ Folk ･ Acoustic ･ Live ･ etc.,03-6416-3307,19:00～日 / 16:00-24:00,不定休,12席 / 立20名～,"2,000円",https://barmusic-coffee.blogspot.com/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-15-16 ソシアルビル4F,35.660526,139.702961,BLOODY ANGLE[Others POPs Disco ],ミュージックバー,Popular Song ･ Rare groove ･ Afro Funk ･ POPs ･ Disco ･ Others,03-6427-5178,21:00～,日 ･ 祝,20席前後,"1,500円～",https://bloodyangle.tokyo/
渋谷区,神南一丁目,-,東京都渋谷区神南1-23-10 マグネット内 7F,35.65975,139.700932,MAG7[House Allmix Others POPs Disco BassMusic ],飲食施設,House ･ Allmix ･ J-POP ･ Disco ･ BassMusic ･ Others,03-3477-5111,飲食店舗営業: 11:00-23:00(金曜: DJパーティ 20:30-22:30) ※要確認,MAGNETの営業日に準ずる,(イベントスペース: 立100名以上 ※目算),"1,000円～",https://magnetbyshibuya109.jp/mag7/
渋谷区,神南一丁目,-,東京都渋谷区神南1-9-11 インタービルⅡB1F,35.664966,139.701538,Bar SUBTERRANEANS[Techno Live Others ],バー,Techno ･ Live ･ Others,03-6416-3967,20:00-05:00,月,30人,3500円,https://www.facebook.com/barsubterraneans/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-5-6 ラ･コリーナ渋谷B1F,35.661034,139.706068,INC COCKTAILS[Jazz Soul Blues ],バー,Jazz ･ Blues ･ Soul ･ etc.,03-6805-1774,19:00-03:00,無し,-,"ドリンク: 1,200円前後",http://www.bar-inc.co.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町32-12 アソルティ渋谷B1F,35.661112,139.697411,TAKE OFF 7[Live POPs Rock Jazz Acoustic Folk Blues ],ライブハウス,POPs ･ Rock ･ Jazz ･ Acoustic ･ Folk ･ Blues ･ Live,03-3770-7755,※開始時間は公演により変動貸切 昼10:00-15:00 / 夜15:00-22:00,-,200人,-,http://www.kox-radio.jp/takeoff7/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-18-3 プレミア道玄坂ビルB1F,35.657394,139.696983,SHIBUYA REX[POPs Rock HeavyMetal ],ライブハウス,V-ROCK ･ HeavyMetal ･ POPs,03-5728-4911,※公演ごとに変動,-,300名未満,-,http://ruido.org/rex/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-13-5 ハーベストビルB1F,35.65837,139.695698,SHIBUYA DESEO[Live Others All Genre ],ライブハウス,Live ･ Others ･ All Genre,03-5457-0303,イベント･スケジュールにより異なる,不定,ステージ: 33平米 / 客席フロア: 51平米 / ラウンジ: 36平米,-,http://www.deseo.co.jp/
渋谷区,円山町,-,東京都渋谷区円山町2-4 ドクタージーカンズビル4F-6F,35.65829,139.695293,ATOM TOKYO[HipHop House Trance Allmix POPs R&B Electro ],CLUB ･ イベントスペース,Allmix ･ Electro ･ R&B ･ HipHop ･ House ･ Trance ･ J-POP,03-3464-0703,22:00-04:30 ※イベントにより変動,無休,1000名以上,"MEN : 3,500円～ / WOMEN : 1,500円～",http://atom-tokyo.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-1 柳光ビル別館1F,35.662631,139.697327,Rhythm Cafe[Techno Others POPs Soul 80s Latin ],バー,Soul ･ POPs ･ Others ･ 80s ･ Latin ･ Techno,03-3770-0244,18:00-02:00,"第1,3火曜",40人前後,3000円,-
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-17-2 トップ美奄B1F,35.658644,139.696592,THE WU[HipHop House Allmix POPs R&B BassMusic ],バー,Allmix ･ House ･ HipHop ･ POPs ･ Bass ･ R&B ･ Trap ･ A-POP ･ etc.,050-1037-1978,23:00-05:00,(火 ･ 水 ※祝前日を除く),20名未満 (18席),"2,000円～",http://thewu.tokyo/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-11-1 COI西青山bldg.B1F,35.661006,139.704523,THE GUINGUETTE by MOJA[HipHop Live Others POPs Electronic Jazz ],バル,Live ･ Others ･ POPs ･ Electronic ･ Jazz ･ HipHop ･ etc.,03-6418-8984,17:00-02:00 / 週末 17:00-03:00 ※変動する場合あり,不定,100人,4000円,https://www.cafecompany.co.jp/brands/moja/guinguette_shibuya/
渋谷区,神南一丁目,-,東京都渋谷区神南1-18-2 神南坂フレームB2/B3,35.662666,139.700059,Club Camelot[HipHop House Allmix R&B EDM ],クラブ,House ･ R&B ･ EDM ･ Allmix ･ HipHop,03-5728-5613,金･土･日･祝前: 21:00-04:30月-木: 22:00-04:30※イベントにより変動※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,無休,地下3階 800名地下2階 計400名以上地下1階 150名,"3,500円",http://www.clubcamelot.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町30-5 JOWビルB1F,35.66093,139.698002,Club Malcolm[Live POPs All Genre A-POP ],DJ＆ライブスペース,All Genre ･ POPs ･ Live ･ A-POP,03-6455-0225,※イベントにより変わる(箱貸: 09:00-15:00 / 15:00-23:00 / 深夜 23:00-05:30)バー / 19:00-02:00 ※要確認,不定休,130人,3000円～,https://club-malcolm.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町33-10 J+Rビル Jside 3F,35.66098,139.696668,MILLIBAR[Reggae POPs Rock Soul ],ミュージックバー,Reggae ･ Soul ･ Rock ･ POPs ･ etc.,03-5458-0989,月-木･土 18:00-02:00金 18:00-04:00,日 ･ 祝,18人前後,-,-
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-14-8 (O-EASTと同じ建物)5F,35.658809,139.695661,TSUTAYA O-Crest[All Genre ],ライブハウス,All Genre,03-3770-1095,18:00前後から ※スケジュールにより変動,不定,200～250名,"2,500円～",https://shibuya-o.com/crest/
渋谷区,円山町,-,"東京都渋谷区円山町2-4 Dr.ジーカンズ2,3F",35.65828,139.695307,HARLEM[HipHop Reggae R&B ],CLUB,HipHop ･ Reggae ･ R&B,03-3461-8806,22:00～ ※イベントにより変動する,不定休,1000人,"3,800円",http://www.harlem.co.jp/
渋谷区,神宮前五丁目,-,東京都渋谷区神宮前5-31 TRUNK HOTEL内1F,35.664308,139.703967,TRUNK (LOUNGE)[HipHop House Chill out Live R&B Disco Acoustic ],バー＆カフェ (ホテル),HipHop ･ House ･ Chill out ･ Live ･ R&B ･ Disco ･ Acoustic,03-5766-3210 (※ホテル),09:00-23:00 / 金･土 09:00-24:00,無し,80席,"1,000円 (ノーチャージ)",https://trunk-hotel.com/lounge/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-14-8 O-EASTビル1F,35.658541,139.695539,duo MUSIC EXCHANGE[Live POPs Rock Jazz ],ライブハウス,Jazz ･ Rock ･ POPs ･ Live ･ etc.,03-5459-8716,スケジュールにより異なる,不定,1000人前後,"3,500円",http://www.duomusicexchange.com/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-19-3 ライオンズマンション道玄坂1F,35.659061,139.696336,Good Wood Terrace[HipHop Reggae R&B ],カリブ料理屋,Reggae ･ HipHop ･ R&B ･ etc.,03-5728-7418,17:00-03:00 / ランチ 12:00-15:00,年始,15～20席,"昼 1,000円 / 夜 2,000円～",http://www.goodwoodterrace.net/
