指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
出典,The Tabelog Award 2023,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件、2022年度：147件）　※前年のThe Tabelog Award 2021では全536店舗受賞のうち、211店舗が対象。今年の2023では、全470店舗受賞のうち、147店舗が対象。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,受賞・選出歴,星数,口コミ数,夜予算,昼予算,URL
中央区,銀座六丁目,-,東京都中央区銀座５丁目１４?１５ サンリット銀座ビル 1F,35.66868,139.76484,井雪,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Silver受賞店 The Tabelog Award 2019 Silver 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Silver受賞店 The Tabelog Award 2017 Silver 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.37,167 件,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1301/A130101/13030881/
港区,西麻布二丁目,-,東京都港区西麻布2-24-14 バルビゾン73 B1F,35.66006,139.72254,USHIGORO S. NISHIAZABU,焼肉・肉料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 焼肉 百名店 2022 選出店 食べログ 焼肉 TOKYO 百名店 2022 選出店 焼肉 百名店 2021 選出店 食べログ 焼肉 TOKYO 百名店 2021 選出店 焼肉 百名店 2020 選出店 食べログ 焼肉 TOKYO 百名店 2020 選出店 焼肉 百名店 2019 選出店 食べログ 焼肉 百名店 2019 選出店 焼肉 百名店 2018 選出店 食べログ 焼肉 百名店 2018 選出店,3.98,391 件,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1307/A130701/13209611/
中央区,銀座七丁目,-,東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F,35.66928,139.76207,USHIGORO S. GINZA,焼肉・肉料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 焼肉 百名店 2022 選出店 食べログ 焼肉 TOKYO 百名店 2022 選出店 焼肉 百名店 2021 選出店 食べログ 焼肉 TOKYO 百名店 2021 選出店 焼肉 百名店 2020 選出店 食べログ 焼肉 TOKYO 百名店 2020 選出店 焼肉 百名店 2019 選出店 食べログ 焼肉 百名店 2019 選出店,4.18,516 件,"￥30,000～￥39,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13222093/
中央区,日本橋三丁目,日八京,東京都中央区日本橋3-8-13 華蓮日本橋ビル 1F,35.67999,139.77338,ウェスタ,焼肉・肉料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Bronze受賞店 The Tabelog Award 2017 Bronze 受賞店 ステーキ・鉄板焼き 百名店 2022 選出店 食べログ ステーキ・鉄板焼き 百名店 2022 選出店 ステーキ 百名店 2021 選出店 食べログ ステーキ 百名店 2021 選出店,4,190 件,"￥50,000～￥59,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1302/A130202/13185496/
港区,南青山三丁目,-,東京都港区南青山3-2-8 三南ビル　１Ｆ,35.66763,139.71790,海味,寿司 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Bronze受賞店 The Tabelog Award 2018 Bronze 受賞店 寿司 百名店 2022 選出店 食べログ 寿司 TOKYO 百名店 2022 選出店 寿司 百名店 2021 選出店 食べログ 寿司 TOKYO 百名店 2021 選出店,4.04,550 件,"￥30,000～￥39,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1306/A130603/13001179/
中央区,銀座五丁目,-,東京都中央区銀座5-4-6 ロイヤルクリスタル銀座 9Ｆ,35.67171,139.76340,エスキス,フレンチ / 東京,SILVER,2023年Silver受賞店 The Tabelog Award 2023 Silver 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店 2020年Silver受賞店 The Tabelog Award 2020 Silver 受賞店 2019年Silver受賞店 The Tabelog Award 2019 Silver 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Gold受賞店 The Tabelog Award 2017 Gold 受賞店 フレンチ 百名店 2021 選出店 食べログ フレンチ TOKYO 百名店 2021 選出店,4.31,815 件,"￥60,000～￥79,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13142530/
渋谷区,西原三丁目,-,東京都渋谷区西原3-23-1,35.67061,139.68347,ete,イノベーティブ・フュージョン / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店,4.35,70 件,"￥100,000～",-,https://tabelog.com/tokyo/A1318/A131811/13249143/
新宿区,神楽坂五丁目,-,東京都新宿区神楽坂5-37 相良ビル 1F,35.70131,139.73921,NK,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店,4.24,120 件,"￥40,000～￥49,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1309/A130905/13249655/
渋谷区,恵比寿一丁目,-,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F,35.64636,139.71181,蕃 YORONIKU,焼肉・肉料理 / 東京,SILVER,2023年Silver受賞店 The Tabelog Award 2023 Silver 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店 2020年Silver受賞店 The Tabelog Award 2020 Silver 受賞店 2019年Silver受賞店 The Tabelog Award 2019 Silver 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 焼肉 百名店 2022 選出店 食べログ 焼肉 TOKYO 百名店 2022 選出店 焼肉 百名店 2021 選出店 食べログ 焼肉 TOKYO 百名店 2021 選出店 焼肉 百名店 2020 選出店 食べログ 焼肉 TOKYO 百名店 2020 選出店 焼肉 百名店 2019 選出店 食べログ 焼肉 百名店 2019 選出店 焼肉 百名店 2018 選出店 食べログ 焼肉 百名店 2018 選出店,4.36,1155 件,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13211927/
新宿区,荒木町,-,東京都新宿区荒木町7-13 森戸ビル 1Ｆ,35.68908,139.72225,オオクサ,焼鳥・鳥料理 / 東京,SILVER,2023年Silver受賞店 The Tabelog Award 2023 Silver 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 焼鳥 百名店 2022 選出店 食べログ 焼鳥 百名店 2022 選出店 焼鳥 百名店 2021 選出店 食べログ 焼鳥 百名店 2021 選出店,4.26,220 件,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1309/A130903/13240980/
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-1-32 ST広尾 2F,35.64912,139.71902,Ode,フレンチ / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 フレンチ 百名店 2021 選出店 食べログ フレンチ TOKYO 百名店 2021 選出店,4.01,454 件,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130703/13213368/
港区,南麻布四丁目,-,東京都港区南麻布4-5-66 2F,35.65118,139.72371,薫 HIROO,イノベーティブ・フュージョン / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店,4.15,109 件,"￥50,000～￥59,999","￥60,000～￥79,999",https://tabelog.com/tokyo/A1307/A130703/13238442/
新宿区,神楽坂三丁目,-,東京都新宿区神楽坂3-6 神楽坂三丁目テラスB1,35.70097,139.74015,神楽坂 鉄板焼 中むら,ステーキ・鉄板焼き / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 ステーキ・鉄板焼き 百名店 2022 選出店 食べログ ステーキ・鉄板焼き 百名店 2022 選出店 ステーキ 百名店 2021 選出店 食べログ ステーキ 百名店 2021 選出店,4.02,286 件,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1309/A130905/13134663/
新宿区,神楽坂五丁目,-,東京都新宿区神楽坂5-37 高村ビル　１Ｆ,35.70125,139.73941,神楽坂 石かわ,日本料理 / 東京,SILVER,2023年Silver受賞店 The Tabelog Award 2023 Silver 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店 2020年Silver受賞店 The Tabelog Award 2020 Silver 受賞店 2019年Silver受賞店 The Tabelog Award 2019 Silver 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Silver受賞店 The Tabelog Award 2017 Silver 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.38,483 件,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1309/A130905/13004079/
港区,西麻布四丁目,-,東京都港区西麻布4-5-8,35.65652,139.72315,K+,イタリアン / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 イタリアン 百名店 2021 選出店 食べログ イタリアン TOKYO 百名店 2021 選出店,3.86,407 件,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1307/A130703/13213748/
千代田区,内幸町一丁目,-,〒104-0061 東京都中央区銀座７丁目３?１６ 東五ビル,35.67098,139.75928,かわむら,焼肉・肉料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Bronze受賞店 The Tabelog Award 2017 Bronze 受賞店 ステーキ・鉄板焼き 百名店 2022 選出店 食べログ ステーキ・鉄板焼き 百名店 2022 選出店 ステーキ 百名店 2021 選出店 食べログ ステーキ 百名店 2021 選出店,4.02,167 件,"￥100,000～",-,https://tabelog.com/tokyo/A1301/A130101/13016506/
品川区,北品川六丁目,-,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F,35.62410,139.73302,カンテサンス,フレンチ / 東京,GOLD,2023年Gold受賞店 The Tabelog Award 2023 Gold 受賞店 2022年Gold受賞店 The Tabelog Award 2022 Gold 受賞店 2021年Gold受賞店 The Tabelog Award 2021 Gold 受賞店 2020年Gold受賞店 The Tabelog Award 2020 Gold 受賞店 2019年Gold受賞店 The Tabelog Award 2019 Gold 受賞店 2018年Gold受賞店 The Tabelog Award 2018 Gold 受賞店 2017年Gold受賞店 The Tabelog Award 2017 Gold 受賞店 フレンチ 百名店 2021 選出店 食べログ フレンチ TOKYO 百名店 2021 選出店,4.52,1116 件,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1314/A131405/13159567/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2 紀尾井テラス 3F,35.67921,139.73798,紀尾井町 三谷,寿司 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Bronze受賞店 The Tabelog Award 2018 Bronze 受賞店 寿司 百名店 2022 選出店 食べログ 寿司 TOKYO 百名店 2022 選出店 寿司 百名店 2021 選出店 食べログ 寿司 TOKYO 百名店 2021 選出店,3.94,483 件,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1308/A130801/13198197/
新宿区,東五軒町,-,東京都新宿区東五軒町5-5,35.70636,139.73974,紀茂登,日本料理 / 東京,SILVER,2023年Silver受賞店 The Tabelog Award 2023 Silver 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店 2020年Silver受賞店 The Tabelog Award 2020 Silver 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.47,286 件,"￥60,000～￥79,999","￥60,000～￥79,999",https://tabelog.com/tokyo/A1309/A130905/13226856/
