指標名,文化財,,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,,
年次,2023/2/8取得,,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,,
備考,（2019年：482件。2020年：516件、2021年：548件、2022年：553件、2023年：559件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者,
中央区,日本橋中洲,-,東京都中央区日本橋中洲､江東区清澄,35.682424,139.791882,清洲橋,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,昭和,20070618,,,東京都,,
港区,三田２丁目,-,東京都港区三田二丁目15番45号,35.648298,139.742283,慶応義塾図書館,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,明治,19690312,,,学校法人慶応義塾,,
港区,三田２丁目,-,東京都港区三田二丁目15番45号,35.648298,139.742283,慶応義塾三田演説館,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,明治,19670615,,,学校法人慶応義塾,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.692766,139.752593,旧近衛師団司令部庁舎,,国宝・重要文化財（建造物）,重要文化財,近代／官公庁舎,,明治,19721002,,,独立行政法人国立美術館,,
新宿区,内藤町,-,東京都新宿区内藤町11,35.686931,139.710978,新宿御苑旧洋館御休所,,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,明治,20011114,,,国（環境省）,,
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目1番地2号,35.677866,139.747577,水準原点,原点,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,明治,20191227,,,国（国土交通省）,,
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目1番地2号,35.677866,139.747577,水準原点,掩蓋,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,明治,20191227,,,国（国土交通省）,,
港区,白金台３丁目,-,東京都港区白金台三丁目,35.637294,139.726933,瑞聖寺大雄宝殿,,国宝・重要文化財（建造物）,重要文化財,近世以前／寺院,,江戸後期,19920810,,,瑞聖寺,,
新宿区,霞ケ丘町,-,東京都新宿区霞ヶ丘町1番1号,35.678772,139.71763,聖徳記念絵画館,,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
港区,芝公園４丁目,-,東京都港区芝公園四丁目7番35号,35.657245,139.750027,増上寺三解脱門,,国宝・重要文化財（建造物）,重要文化財,近世以前／寺院,,江戸前期,19150326,,,増上寺,,
港区,芝公園４丁目,-,東京都港区芝公園四丁目8番2号,35.656134,139.749838,旧台徳院霊廟惣門,,国宝・重要文化財（建造物）,重要文化財,近世以前／神社,,江戸前期,19300523,,,,株式会社西武・プリンスホテルズワールドワイド,
中央区,日本橋２丁目,日八京,東京都中央区日本橋2丁目4番1号,35.680783,139.773478,髙島屋東京店,髙島屋東京店,国宝・重要文化財（建造物）,重要文化財,近代／商業・業務,,昭和,20090630,,,株式会社髙島屋,,
江東区,富岡１丁目,-,東京都江東区富岡一丁目,35.671857,139.800608,旧弾正橋（八幡橋）,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,明治,19770627,,,東京都江東区,,
中央区,築地３丁目,-,東京都中央区築地三丁目一五〇一番,35.666512,139.772272,築地本願寺本堂,,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20141210,,,築地本願寺,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目1番3号,35.681384,139.76601,東京駅丸ノ内本屋,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,大正,20030530,,,東日本旅客鉄道株式会社,,
港区,元赤坂２丁目,-,東京都港区元赤坂二丁目1番1号,35.680217,139.728758,旧東宮御所（迎賓館赤坂離宮）,旧東宮御所（迎賓館赤坂離宮）,国宝・重要文化財（建造物）,国宝,近代／住居,,明治,20091208,,,内閣府,,
中央区,日本橋本石町２丁目,日八京,東京都中央区日本橋本石町二丁目1番1号,35.686562,139.77154,日本銀行本店本館,,国宝・重要文化財（建造物）,重要文化財,近代／商業・業務,,明治,19740205,,,日本銀行,,
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋一丁目･日本橋室町一丁目間,35.684057,139.774493,日本橋,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,明治,19990513,,,国（国土交通省）,,
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台四丁目1番3号,35.697994,139.765545,日本ハリストス正教会教団復活大聖堂（ニコライ堂）,,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,明治,19620621,,,日本ハリストス正教会教団,,
港区,赤坂４丁目,赤坂,東京都港区赤坂四丁目10番36号,35.675128,139.733486,武家屋敷門,,国宝・重要文化財（建造物）,重要文化財,近世以前／住宅,,江戸末期,19470226,,,学校法人山脇学園,,
品川区,西五反田４丁目,-,東京都品川区西五反田4丁目12番地1,35.626408,139.710022,宝篋印塔,-1,国宝・重要文化財（建造物）,重要文化財,近世以前／その他,,鎌倉後期,19530829,,,宗教法人　安養院,,
品川区,西五反田４丁目,-,東京都品川区西五反田4丁目12番地1,35.626408,139.710022,宝篋印塔,-2,国宝・重要文化財（建造物）,重要文化財,近世以前／その他,,鎌倉後期,19530829,,,宗教法人　安養院,,
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関一丁目1番1号,35.676402,139.753389,法務省旧本館,,国宝・重要文化財（建造物）,重要文化財,近代／官公庁舎,,明治,19941227,,,国（法務省）,,
港区,赤坂４丁目,赤坂,東京都中央区日本橋室町二丁目1番1号,35.675128,139.733486,三井本館,,国宝・重要文化財（建造物）,重要文化財,近代／商業・業務,,昭和,19981225,,,三井不動産株式会社,,
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町一丁目7番地,35.685597,139.773352,三越日本橋本店,,国宝・重要文化財（建造物）,重要文化財,近代／商業・業務,,昭和,20160725,,,株式会社三越伊勢丹,,
港区,白金台１丁目,-,東京都港区白金台一丁目2番37号,35.63679,139.731115,明治学院インブリー館,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,明治,19981225,,,学校法人明治学院,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,本殿,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,内拝殿及び祝詞殿,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,内院渡廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,内院渡廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外拝殿,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,宝庫,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,神庫,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,内透塀及び北門,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,神饌所及び渡廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,旧祭器庫,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,北廻廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,北廻廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外透塀,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外透塀,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外透塀,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,北神門,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外院廻廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外院廻廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外院廻廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,外院廻廊,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,昭和,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,東神門,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,西神門,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,南神門,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,宿衛舎,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,玉垣,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,玉垣,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,玉垣,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,玉垣,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,祓舎,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,南手水舎,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,西手水舎,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,東手水舎,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,神橋,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,南制札,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,北制札,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町,35.673008,139.702605,明治神宮,西制札,国宝・重要文化財（建造物）,重要文化財,近代／宗教,,大正,20201223,,,宗教法人明治神宮,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,正門,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西廊（西廊）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西渡廊（西渡廊）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西廊（東廊）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西橋廊（西橋廊）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,中倉,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西倉(西倉）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西橋廊（東橋廊）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西渡廊（東渡廊）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,北廊,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,東西倉(東倉）,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,車寄,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1番1号,35.679583,139.698115,明治神宮宝物殿,事務所,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,大正,20110620,,,,,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内二丁目1番1号,35.678965,139.761632,明治生命保険相互会社本社本館,,国宝・重要文化財（建造物）,重要文化財,近代／商業・業務,,昭和,19970529,,,明治生命保険相互会社,,
江東区,越中島２丁目,-,東京都江東区越中島二丁目1番6号東京海洋大学構内,35.66659,139.79314,明治丸,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,明治,19780531,,,国立大学法人東京海洋大学,,
港区,芝公園３丁目,虎ノ門,東京都港区芝公園三丁目3番,35.659156,139.750362,有章院（徳川家継）霊廟二天門,,国宝・重要文化財（建造物）,重要文化財,近世以前／神社,,江戸中期,19300523,,,,,
渋谷区,神南２丁目,-,東京都渋谷区神南二丁目一番,35.666472,139.698581,代々木競技場,第二体育館,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,昭和,20210802,,,独立行政法人日本スポーツ振興センター,,
渋谷区,神南２丁目,-,東京都渋谷区神南二丁目一番,35.666472,139.698581,代々木競技場,第一体育館,国宝・重要文化財（建造物）,重要文化財,近代／文化施設,,昭和,20210802,,,独立行政法人日本スポーツ振興センター,,
新宿区,戸塚町１丁目,-,東京都新宿区戸塚町一丁目104番地,35.708914,139.721536,早稲田大学大隈記念講堂,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,昭和,20071204,,,学校法人早稲田大学,,
千代田区,丸の内３丁目,大丸有,出光美術館 東京都千代田区丸の内3-1-1,35.676759,139.76111,赤楽兎文香合〈光悦作／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,20120906,,出光美術館,公益財団法人出光美術館,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662251,139.717083,秋野蒔絵手箱,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,鎌倉,19540320,,公益財団法人根津美術館,公益財団法人根津美術館,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662251,139.717083,蘆屋松梅図真形釜,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,室町,19540320,,公益財団法人根津美術館,公益財団法人根津美術館,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662251,139.717083,飛鳥井雅経筆懐紙（詠暁紅葉和歌）,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,鎌倉,19591218,,公益財団法人根津美術館,公益財団法人根津美術館,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690255,139.753869,吾妻鏡（北条本）,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,室町～江戸,19930120,,独立行政法人国立公文書館,独立行政法人国立公文書館,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662251,139.717083,雨漏茶碗,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,李朝,19531114,,公益財団法人根津美術館,公益財団法人根津美術館,,
渋谷区,東４丁目,-,東京都渋谷区東4-10-28,35.655642,139.71204,石枕（立花二箇共）,,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,古墳,19740608,,國學院大学,國學院大学,,
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台2-9,35.696783,139.763212,医心方〈巻第廿ニ／〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,平安,19330123,,一般財団法人石川武美記念図書館,一般財団法人石川武美記念図書館,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662251,139.717083,一山一寧墨蹟（正和丙辰十月下澣）,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,元,19420626,,公益財団法人根津美術館,公益財団法人根津美術館,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662251,139.717083,井戸茶碗（柴田）,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,李朝,19520329,,公益財団法人根津美術館,公益財団法人根津美術館,,
港区,赤坂９丁目,六本木,ｻﾝﾄﾘｰ美術館 東京都港区赤坂9-7-4東京ﾐｯﾄﾞﾀｳﾝｶﾞｰﾃﾞﾝｻｲﾄﾞ,35.66685,139.730714,色絵花鳥文八角大壺〈伊万里／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19960627,,サントリー美術館,公益財団法人サントリー芸術財団,,
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676597,139.760759,色絵花鳥文八角大壺〈伊万里／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸時代,20000627,,財団法人出光美術館,財団法人出光美術館,,
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676597,139.760759,色絵罌粟文茶壺〈仁清作／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19600609,,財団法人出光美術館,財団法人出光美術館,,
港区,赤坂９丁目,六本木,ｻﾝﾄﾘｰ美術館 東京都港区赤坂9-7-4東京ﾐｯﾄﾞﾀｳﾝｶﾞｰﾃﾞﾝｻｲﾄﾞ,35.66685,139.730714,色絵五艘船図大平鉢〈伊万里／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19970630,,サントリー美術館,公益財団法人サントリー芸術財団,,
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.676597,139.760759,色絵鳳凰文壺〈仁清作／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19310119,,財団法人出光美術館,財団法人出光美術館,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662251,139.717083,色絵山寺図茶壺〈仁清作／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19420626,,公益財団法人根津美術館,公益財団法人根津美術館,,
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-1,35.697717,139.761765,岩宿遺跡出土品,,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,旧石器,19750612,,明治大学,明治大学,,
千代田区,富士見２丁目,-,東京都千代田区富士見2-7-1,35.695698,139.742154,謡本〈百二十番／（車屋本）鳥養道晰筆〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,桃山,19600609,,法政大学,法政大学,,
