指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2024/2/5取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：6,158件、2021年度：6,304件、2022年度：6,543件、2023年度：6,702件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町6階,35.69103,139.78109,たかだウロクリニック,泌尿器科,https://takada-uro.com/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-29-6水天宮前東急ビル9F,35.68331,139.78388,日本橋ストレスケアクリニック,"心療内科, 精神科",https://stcare-clinic.jp
中央区,銀座１丁目,-,東京都中央区銀座1-2-4サクセス銀座ファーストビル2F,35.67495,139.76864,メディカルチェックスタジオ 東京銀座クリニック,"心臓血管内科(循環器)循環器心臓血管, 脳神経外科脳神経",https://medicalcheckstudio.jp/
中央区,佃２丁目,-,東京都中央区佃2-1-6リバーシティM-SQUARE1F,35.66959,139.78539,リバーシティこどもクリニック,小児科,http://rc-kodomo.jp
中央区,月島３丁目,-,東京都中央区月島3-30-3ベルウッドビル2～4階,35.66090,139.77943,医療法人社団小坂成育会 こども元気!!クリニック/病児保育室,"小児科, アレルギー科, 内科",-
中央区,月島１丁目,-,東京都中央区月島1丁目13-6ウェルネス月島3階,35.66534,139.78269,医療法人社団惟心会 りんかい月島クリニック,"心療内科, 精神科",https://ishinkai.org/
中央区,銀座１丁目,-,東京都中央区銀座1丁目3-13THE ORB PREMIERE3F,35.67535,139.76618,医療法人社団三幸会 銀座フェミークリニック,美容皮膚科,https://www.ginza-femmy.net/
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-19-8日宝八丁堀ビル1F,35.67597,139.77613,八丁堀いしかわ内科クリニック,"内科, 腎臓内科, 消化器内科消化器, 肝臓内科",https://www.8cho-ishi-cli.com/
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町15-15西鉄日本橋人形町ビル4階,35.68563,139.77966,エナ女性クリニック日本橋,婦人科,https://ena-nihonbashi.com/
中央区,佃２丁目,-,東京都中央区佃2-20-5月島医療ステーション4F,35.66577,139.78572,いけした女性クリニック,婦人科,https://www.ikeshitaikuko.com/
中央区,八丁堀４丁目,-,東京都中央区八丁堀4-9-9八丁堀フロンティアビル4F,35.67425,139.77762,八丁堀メンタルクリニック,"心療内科, 精神科",http://hatchobori-mental.jp/
中央区,晴海１丁目,-,東京都中央区東京都中央区晴海1-8-16晴海トリトンスクエア3F,35.65747,139.78238,医療法人社団 新未来 晴海トリトン 夢未来クリニック,"小児科, 皮膚科, 耳鼻いんこう科, アレルギー科",http://yumemirai-clinic.net/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-27-8アトラス日本橋水天宮101,35.68244,139.78365,日本橋アレイラクリニック,内科,https://arayla.jp/
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-12-8,35.67554,139.77519,Tooth Create Tokyo,"歯科, 小児歯科, 歯科口腔外科, 矯正歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200005868/?SITE_CODE=byoinnav
中央区,銀座３丁目,-,東京都中央区銀座3丁目5-6マツザワ第六ビル7F,35.67273,139.76623,医療法人 しんあい会 銀座中央通り眼科,眼科,https://ginza-chuo-ganka.com/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-3-3八重洲山川ビル6階,35.68029,139.77123,ゲーテメンズクリニック 八重洲院,"泌尿器科, 性感染症内科性感染症",https://goethe.clinic/std/
中央区,築地４丁目,-,東京都中央区築地4丁目3-8登喜和ビル2F,35.66665,139.76855,東銀座メディカルクリニック,"心療内科, 精神科, 神経科, 内科",http://www.higashiginza-med.jp/
中央区,銀座５丁目,-,東京都中央区銀座5-5-18銀座藤小西ビル8階,35.67161,139.76370,銀座なないろクリニック,"内科, 小児科, 皮膚科, 外科, アレルギー科",https://www.nanairo-clinic.tokyo/
中央区,銀座６丁目,-,東京都中央区銀座6-2-3Daiwa銀座アネックス4F,35.67186,139.76109,泰明小前クリニック,"内科, 消化器内科消化器, 心療内科, 外科",https://taimeishomae.resv.jp
中央区,銀座８丁目,-,東京都中央区銀座8-5-4マディソンビル 7F,35.66921,139.76065,医療法人社団 創文会 銀座並木通り心療内科・内科クリニック,"心療内科, 内科",http://www.psim.cc/
中央区,勝どき４丁目,-,東京都中央区勝どき4-6-2パークタワー勝どきミッド 3階クリニックモール内,35.65681,139.77761,勝どきメンタルクリニック,"精神科, 心療内科",https://www.kachidoki-mc.com
中央区,日本橋２丁目,日八京,東京都中央区日本橋2丁目5-1日本橋髙島屋S.C.新館4階,35.68135,139.77382,にしたんARTクリニック日本橋院,婦人科,https://nishitan-art.jp/branch/nihombashi/
中央区,勝どき４丁目,-,東京都中央区勝どき4-8-5アクティ東仲通り1F,35.65674,139.77588,勝どきみなみクリニック,"耳鼻いんこう科, アレルギー科, 小児耳鼻いんこう科",http://kachidoki-clinic.jp/
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-11-8MKT東日本橋ビル3階,35.69237,139.78472,はなももキッズクリニック東日本橋,"小児科, アレルギー科",https://www.hanamomo-kids.com/
中央区,銀座５丁目,-,東京都中央区銀座5丁目12-13銀座伊藤ビル4階,35.66921,139.76578,リリアーナデンタルクリニックGINZA,"歯科口腔外科, 矯正歯科",https://www.lilianadentalclinic.com/
中央区,京橋２丁目,日八京,東京都中央区京橋2丁目8-21昭和ビル別館2F,35.67749,139.77091,後藤皮膚科クリニック,皮膚科,http://gotoh-hifuka.com/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3丁目8番14号日本橋ビル3F,35.68011,139.77329,東京CRクリニック,"内科, 腫瘍内科",https://tokyo-cr-clinic.com/
中央区,八丁堀３丁目,-,東京都中央区八丁堀3丁目2-5八丁堀医療ビル2F,35.67504,139.77329,八丁堀3丁目クリニック,"内科, 小児科",https://www.8cho3cho-cl.com/
中央区,日本橋２丁目,日八京,東京都中央区日本橋2丁目2-8東京風月堂日本橋ビル 9F,35.68193,139.77305,ミヤタメディカルクリニック,漢方内科,https://www.miyata-medicalclinic.com/
中央区,築地２丁目,-,東京都中央区築地2-12-8大広ビル2階,35.66796,139.77202,アンセネクリニック築地,"形成外科, 皮膚科, 美容皮膚科",https://www.ansene-clinic.com
中央区,勝どき３丁目,-,東京都中央区勝どき3丁目5-5AIP勝どき駅前ビル3階,35.65862,139.77611,有明こどもクリニック 勝どき院,"小児科, 内科, アレルギー科, 小児皮膚科",https://kachidoki.child-clinic.or.jp/
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-5-12萬武ビルディング3階,35.68529,139.78237,こころとからだのケアクリニック人形町,"心療内科, 精神科",-
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町4階,35.69110,139.78108,東日本橋レディースクリニック,産婦人科,https://higashinihonbashi-lc.com/
中央区,佃２丁目,-,東京都中央区佃2-2-6リバーシティ21 6号棟201,35.66811,139.78572,リバーシティ歯科クリニック,"歯科, 矯正歯科",https://www.rivercity-implant.com/
中央区,銀座４丁目,-,東京都中央区銀座4-8-4三原ビルディング2階,35.67088,139.76684,LUNA BEAUTY CLINIC,"美容外科, 美容皮膚科",https://luna-dr.com/beauty/ginza/
中央区,銀座２丁目,-,東京都中央区銀座2-4-8GINZA YUKI BLDG 3F,35.67384,139.76621,マキデンタルオフィス銀座,"歯科, 歯科口腔外科, 矯正歯科",http://www.maki-dental-office.jp/
中央区,月島３丁目,-,東京都中央区月島3丁目13-7,35.66178,139.78066,つきしま矯正こども歯科,"矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200006339/?SITE_CODE=byoinnav
中央区,築地２丁目,-,東京都中央区築地2丁目9-7,35.66907,139.77264,別部歯科診療所,"歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285734/?SITE_CODE=byoinnav
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-1-9日本橋Tビル2F,35.68421,139.78476,横山デンタルクリニック,"歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000001970/?SITE_CODE=byoinnav
中央区,銀座３丁目,-,東京都中央区銀座3-10-7銀座京屋ビル2階,35.67108,139.76799,銀座はけた歯科医院,"歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285429/?SITE_CODE=byoinnav
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町4丁目3-12ハンセイ室町ビル2F,35.68957,139.77232,神田デンタルケアクリニック,"歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/TP00265361/?SITE_CODE=byoinnav
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-9-1三勝ビル3F,35.68978,139.77590,TI歯科医院,"歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285387/?SITE_CODE=byoinnav
中央区,銀座１丁目,-,東京都中央区銀座1-3-3G1ビル3,35.67536,139.76642,北山デンタルクリニック銀座,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330286062/?SITE_CODE=byoinnav
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町12-18M&Kビル3F,35.69000,139.78137,小寺歯科医院,"歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330248872/?SITE_CODE=byoinnav
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町25-7中島ビル2F,35.68063,139.78678,あさひ歯科,"歯科, 矯正歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330283036/?SITE_CODE=byoinnav
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町1-2,35.67910,139.78407,デンタル・オフィス遠山ビル歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200000124/?SITE_CODE=byoinnav
中央区,東日本橋１丁目,-,東京都中央区東日本橋1丁目1-9,35.69098,139.78496,須藤デンタルクリニック,"歯科, 矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330280438/?SITE_CODE=byoinnav
中央区,東日本橋２丁目,-,東京都中央区東日本橋2丁目4-1アドバンテージビル1F,35.69173,139.78561,医療法人社団正健会 東日本橋みゆき通り歯科,"歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285148/?SITE_CODE=byoinnav
中央区,銀座３丁目,-,東京都中央区銀座3丁目2-10並木ビル7階,35.67325,139.76491,銀座クリスタルデンタルオフィス,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200001278/?SITE_CODE=byoinnav
中央区,新富２丁目,-,東京都中央区新富2丁目14-6オンズビル3F,35.67049,139.77486,新富歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330280743/?SITE_CODE=byoinnav
中央区,新富１丁目,-,東京都中央区新富1丁目19-2ビリーブ新富1F,35.67328,139.77594,湯谷歯科クリニック,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330282319/?SITE_CODE=byoinnav
中央区,京橋１丁目,日八京,東京都中央区京橋1丁目6-12京橋イーサスビル2F,35.67754,139.77194,京橋川崎歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000007535/?SITE_CODE=byoinnav
中央区,銀座７丁目,-,東京都中央区銀座7丁目10-8第五太陽ビル6F,35.66847,139.76299,パール歯科医院,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330282798/?SITE_CODE=byoinnav
中央区,新川１丁目,-,東京都中央区新川1丁目8-32F,35.67823,139.78282,井澤歯科クリニック,"歯科, 矯正歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330281949/?SITE_CODE=byoinnav
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町4丁目2-9三徳日本橋ビル2F,35.68990,139.77217,KENSデンタルクリニック,"歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200005716/?SITE_CODE=byoinnav
中央区,日本橋兜町,-,東京都中央区日本橋兜町9-15住信兜町ビル1F,35.68181,139.77770,白十字歯科クリニック 日本橋兜町,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200000774/?SITE_CODE=byoinnav
中央区,銀座３丁目,-,東京都中央区銀座三丁目3-13阪急阪神銀座ビル8F,35.67276,139.76502,医療法人社団真波会 銀座並木通り歯科,"歯科, 矯正歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200007081/?SITE_CODE=byoinnav
中央区,新川１丁目,-,東京都中央区新川1丁目11-11,35.67658,139.78180,NANO dental care 茅場町新川,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200006910/?SITE_CODE=byoinnav
中央区,新川２丁目,-,東京都中央区佃2丁目1-6リバーシティMスクエア1F,35.67351,139.78285,医療法人社団敬親会 Mスクエアデンタルクリニック,歯科口腔外科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000006590/?SITE_CODE=byoinnav
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2丁目1-7リビオ日本橋人形町202,35.68435,139.78444,日本橋人形町歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/e130284802/?SITE_CODE=byoinnav
中央区,銀座１丁目,-,東京都中央区銀座1丁目8-21第21中央ビル4階,35.67450,139.76887,医療法人社団あすなろ会 藤見歯科医院,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200000133/?SITE_CODE=byoinnav
中央区,日本橋１丁目,日八京,東京都中央区日本橋1丁目3-8ディアマントビル2F,35.68295,139.77370,日本橋あみ歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000006985/?SITE_CODE=byoinnav
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町20-1アンソレイユオオタ2F,35.67990,139.78640,医療法人社団聖恵会 箱崎デンタルクリニック,"歯科, 矯正歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z000004275/?SITE_CODE=byoinnav
中央区,勝どき１丁目,-,東京都中央区勝どき1丁目3-1ブリリアイストタワー勝どき 3F,35.66075,139.77687,医療法人社団ブライトスマイル ミモデンタルクリニック,"歯科, 矯正歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200000946/?SITE_CODE=byoinnav
中央区,京橋１丁目,日八京,東京都中央区京橋1丁目6-12NS京橋ビル1F,35.67748,139.77202,京橋歯科医院,"歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200006169/?SITE_CODE=byoinnav
中央区,銀座２丁目,-,東京都中央区銀座2丁目8-17ハビウル銀座Ⅱビル7F,35.67303,139.76786,医療法人社団H2B 東京ビアンコデンタルクリニック,"歯科, 矯正歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200006141/?SITE_CODE=byoinnav
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3丁目9-4HONCHO3・9・4ビル2F,35.68971,139.77701,三越前駅小伝馬町歯科ハルデンタルオフィス,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285221/?SITE_CODE=byoinnav
中央区,日本橋１丁目,日八京,東京都中央区日本橋1丁目2-10一東洋ビル2階,35.68327,139.77373,医療法人社団凛菫会 日本橋中央通り歯科室,"歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200005838/?SITE_CODE=byoinnav
中央区,八重洲２丁目,日八京,東京都中央区八重洲2丁目1八重洲地下街中1号,35.67973,139.76937,医療法人有歯会 八重洲歯科診療所,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000002059/?SITE_CODE=byoinnav
中央区,日本橋３丁目,日八京,東京都中央区日本橋三丁目5-11八重洲中央ビル4F,35.67902,139.77302,医療法人社団恩和会 八重洲中央歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330281501/?SITE_CODE=byoinnav
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町20-7ITOビル1F,35.68044,139.78581,グリーンパーク歯科医院,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330283762/?SITE_CODE=byoinnav
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町一丁目12-7KOIビル1F,35.68423,139.78213,上野歯科クリニック,"歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000002064/?SITE_CODE=byoinnav
中央区,日本橋２丁目,日八京,東京都中央区日本橋2丁目1-20DEAR日本橋タワー3F,35.68256,139.77233,仲谷歯科クリニック,"歯科, 矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z000005653/?SITE_CODE=byoinnav
中央区,銀座１丁目,-,東京都中央区銀座一丁目8-17伊勢伊ビル4F,35.67409,139.76832,医療法人社団和愛会 銀座オーラルクリニック,"歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330283820/?SITE_CODE=byoinnav
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町二丁目14-5KDX浜町中ノ橋ビル3階,35.68470,139.78674,水天宮前歯科医院,"歯科, 矯正歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330249458/?SITE_CODE=byoinnav
中央区,新川１丁目,-,東京都中央区新川1丁目28-25東京ダイヤビル3号館1F,35.67502,139.78437,ダイヤビル歯科,"歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330286005/?SITE_CODE=byoinnav
中央区,豊海町,-,東京都中央区豊海町5-1豊海センタービル1F,35.65348,139.76981,医療法人社団スマイルデント とよみマリン歯科,"歯科, 矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285361/?SITE_CODE=byoinnav
中央区,八重洲２丁目,日八京,東京都中央区八重洲二丁目1八重洲地下街中1号,35.67973,139.76937,八重洲南口歯科,"歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000002028/?SITE_CODE=byoinnav
中央区,銀座２丁目,-,東京都中央区銀座2丁目11-13吉野ビル3F,35.67202,139.76862,中央歯科医院銀座,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330282236/?SITE_CODE=byoinnav
中央区,銀座５丁目,-,東京都中央区銀座5丁目15-1南海東京ビルB2F,35.66870,139.76765,南海デンタルクリニック,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330282277/?SITE_CODE=byoinnav
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町一丁目12-11リガーレ日本橋人形町1階A-112,35.68378,139.78341,みなと歯科リガーレ日本橋人形町,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285759/?SITE_CODE=byoinnav
中央区,銀座１丁目,-,東京都中央区銀座一丁目16-7友泉銀座ビル1F,35.67405,139.77042,医療法人社団慧生会 銀座さくら通り歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330283911/?SITE_CODE=byoinnav
中央区,銀座５丁目,-,東京都中央区銀座五丁目8-9BINO銀座2F,35.67033,139.76490,銀座アストラ歯科クリニック,"歯科, 矯正歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200008058/?SITE_CODE=byoinnav
中央区,佃１丁目,-,東京都中央区佃1丁目11-8ピアウエストスクエア1階,35.66975,139.78443,医療法人社団スマイルデント ピアウエストスクエア歯科,"歯科, 矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330284091/?SITE_CODE=byoinnav
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1丁目13-42F,35.68638,139.77477,日本橋室町デンタルクリニック,"歯科, 矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200004397/?SITE_CODE=byoinnav
中央区,勝どき２丁目,-,東京都中央区勝どき2丁目9-14勝どき2丁目富永ビル2階,35.65933,139.77811,ハロー・デンタル・クリニック,"歯科, 矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330282384/?SITE_CODE=byoinnav
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-8-16石河ビル1F,35.68951,139.77471,新日本橋駅前歯科クリニック,"歯科, 歯科口腔外科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z200001137/?SITE_CODE=byoinnav
中央区,新川２丁目,-,東京都中央区新川二丁目15-11宮田ビル3F,35.67466,139.78377,田島デンタルクリニック,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/z000004253/?SITE_CODE=byoinnav
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町2丁目6-13山三ビル1F,35.68736,139.77700,第一歯科,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330284174/?SITE_CODE=byoinnav
中央区,入船２丁目,-,東京都中央区入船2丁目3-6細矢ビル2F,35.67140,139.77711,八丁堀みらい歯科,"歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/TP00285725/?SITE_CODE=byoinnav
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町2-8新小伝馬町ビル2F,35.69033,139.77850,かとう歯科クリニック,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000002058/?SITE_CODE=byoinnav
中央区,月島３丁目,-,東京都中央区月島3丁目20-81F,35.66261,139.77938,医療法人社団星誉会 YUZ DENTAL tsukishima,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285585/?SITE_CODE=byoinnav
中央区,八丁堀２丁目,-,東京都中央区八丁堀2丁目15-5第五三神ビル1F,35.67658,139.77683,三宅歯科医院,歯科,https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000002039/?SITE_CODE=byoinnav
中央区,銀座４丁目,-,東京都中央区銀座四丁目12-15歌舞伎座タワー16F,35.66974,139.76805,医療法人社団FINE DAYS 銀座キッズデンタルパーク,"矯正歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/TP00265432/?SITE_CODE=byoinnav
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2丁目11-2日本橋中央ビル2F,35.68783,139.78512,日本橋中央歯科,"歯科, 小児歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1230134114/?SITE_CODE=byoinnav
中央区,八重洲１丁目,日八京,東京都中央区八重洲1丁目4-20,35.68246,139.77070,医療法人社団昌晃会 千代田歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330281360/?SITE_CODE=byoinnav
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1丁目6-2桂昇茅場町ビル2階,35.68136,139.77900,くどう歯科医院,"歯科, 歯科口腔外科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/g000001978/?SITE_CODE=byoinnav
中央区,明石町,-,東京都中央区明石町11-15ミキジ明石町ビル2階,35.66710,139.77482,築地リウマチ膠原病クリニック,"リウマチ科, 内科, アレルギー科",https://www.tsukiji-irc.jp/
中央区,勝どき４丁目,-,東京都中央区勝どき4-6-2パークタワー勝どきミッド305区画,35.65684,139.77739,やのメディカルクリニック勝どき,"内科, 糖尿病内科",https://ymc-kachidoki.com/
中央区,銀座５丁目,-,東京都中央区5丁目5-16銀座テーラービルディング7F,35.67145,139.76345,デンタルクリニックアレーズ銀座,"歯科, 矯正歯科",https://haisha-yoyaku.jp/bun2sdental/detail/index/id/1330285866/?SITE_CODE=byoinnav
中央区,日本橋人形町１丁目,-,東京都中央区人形町1-6-10ユニコム人形町ビル1F,35.68459,139.78220,内科総合クリニック人形町,"内科, 糖尿病内科, 循環器内科循環器, 脂質代謝内科, 内分泌内科, 感染症内科",https://ningyocho-cl.com/
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1丁目2-13信州会ビル 3階,35.68804,139.77909,信州会クリニック,"内科, 麻酔科, 皮膚科",https://www.nk-clinic.info
中央区,銀座７丁目,-,東京都中央区銀座7-2-4ムサシ7ビル4階,35.67097,139.76069,医療法人社団すずらん せいこレディースクリニック銀座,"産婦人科, 婦人科",https://www.seikoginza.com/
中央区,勝どき３丁目,-,東京都中央区勝どき3-5-5AIP勝どき駅前ビル3階,35.65858,139.77613,勝どき脳神経外科,脳神経外科脳神経,http://www.kachidokineurosurgery.jp/
