指標名,ギャラリー,,,,,,
出典,TokyoArtBeat(Gallery),,,,,,
年次,2024/1/29取得,,,,,,
URL,http://www.tokyoartbeat.com/venues/Gallery,,,,,,
備考,（2020年度：577件、2021年度：766件、2022年度：555件、2023年度：651件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ウェブサイト
中央区,銀座４丁目,-,東京都中央区銀座4-4-5,35.672100,139.765000,ギャラリーアートハウス,https://www.artginza.com/
中央区,銀座１丁目,-,東京都中央区銀座1-2-4 サクセス銀座ファーストビル4F,35.675002,139.768454,富士フォトギャラリー銀座,https://www.prolab-create.jp/gallery/
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ケ谷4-17-2,35.680341,139.707413,Gallery BOBBIN,https://www.instagram.com/gallery_bobbin/
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-2-11 The ParkRex TORANOMON 1F,35.669152,139.748340,SIGNAL,https://signing.co.jp/signal/
港区,六本木６丁目,六本木,東京都港区六本木6-6-9 ピラミデビル4F,35.661840,139.731500,GALLERY – SIGN TOKYO,http://sign-tokyo.net/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1 阪急メンズ東京7階,35.673618,139.762317,プラスダヨネギャラリー,https://dayonegallery.com
品川区,東品川１丁目,-,東京都品川区東品川1-33-10 TERRADA Art Complex Ⅰ 3F,35.619110,139.746600,STANDING PINE 東京,https://standingpine.jp/
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-4 東京ミッドタウン ガレリア地下1階,35.666033,139.730293,とらや 東京ミッドタウン店ギャラリー,https://www.toraya-group.co.jp/shops/shop-13
渋谷区,代官山町,-,東京都渋谷区代官山町2-3 THE ROWS 1F,35.652615,139.705135,Rodin,https://www.instagram.com/rodin_tokyo/
江東区,三好３丁目,-,東京都江東区三好3-1-14,35.679810,139.804700,ギャラリークリューチ,https://gallery-klyuch.my.canva.site/
中央区,銀座４丁目,-,東京都中央区銀座4-3-5 銀座AHビル B2F,35.672419,139.764830,ギャラリーおかりや,http://www.g-okariya.co.jp/index.html
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-18-2 サンビューハイツ新宿1F 103,35.685050,139.687700,GALLERY KTO 新宿,https://www.gallery-kto.com/
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-14-15 松川ボックスA棟,35.708700,139.711782,THE MIRROR,https://coubic.com/themirror
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-2 グラントウキョウ サウスタワー 1F,35.678580,139.767343,BUG,https://bug.art/
千代田区,麹町１丁目,-,東京都千代田区麹町1-6-12,35.684590,139.742700,東條會舘写真研究所,
中央区,銀座５丁目,-,東京都中央区銀座5-7-10 EXITMELSA 7F,35.670661,139.764041,フォルム画廊,
江東区,門前仲町２丁目,-,東京都江東区門前仲町2-9-11,35.672986,139.795862,ギャラリーダイジロ,https://www.gallerydaijiro.tokyo/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-28-18 カトル・バン原宿B1F,35.668832,139.706764,アニコリミックスギャラリー,https://www.anicoremixgallery.com/
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1,35.672456,139.757878,KAIGADO Gallery,http://kaigado.co.jp/
中央区,銀座８丁目,-,東京都中央区銀座8-4-2 高木屋ビル1F,35.669518,139.760449,美の起原,https://xn--xxtyc847fky0a.jp/
中央区,銀座３丁目,-,東京都中央区銀座3-12-7,35.670570,139.769037,FEELSEEN gallery（フィールシーン ギャラリー）,https://feelseen.jp/
中央区,新川１丁目,-,東京都中央区新川1-22-11,35.677304,139.785302,ペーパーボイス東京,https://www.heiwapaper.co.jp/shop/gallery.html
港区,麻布十番３丁目,-,東京都港区麻布十番3-8-6,35.653294,139.734286,Koichi Yamamura gallery,http://koichiyamamuragallery.com/
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町1-7-9 西村ビル1F space2*3,35.686175,139.777636,msb gallery,https://www.msb-gallery.com/
港区,西麻布４丁目,-,東京都港区西麻布4-5-4 しぶやれいきビル3F,35.656341,139.723607,IDEALIDEA gallery（イデアリデア ギャラリー）,https://www.instagram.com/idealideagallery/
渋谷区,上原３丁目,-,東京都渋谷区上原3-3-6-101,35.667610,139.680700,April Shop,https://aprilshop.thebase.in/
中央区,銀座２丁目,-,東京都中央区銀座2-11-14,35.672107,139.768657,パルピトーギャラリー,https://www.palpito.co.jp
渋谷区,代官山町,-,東京都渋谷区代官山町3-13 #103,35.652430,139.704900,ART Is. TOKYO GALLERY,https://www.art-is.net/
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-25-4,35.697401,139.769759,JAPAN ART BRIDGE,https://japanartbridge.com/
港区,西麻布４丁目,-,東京都港区西麻布4-17-10,35.658329,139.720462,ギャラリー イー・エム 西麻布,http://www.takeuchi-studio.jp/gallery_em/index.html
港区,北青山３丁目,-,東京都港区北青山3-15-16,35.664644,139.709294,ギャラリーコンセプト21,https://g-concept21.com/
中央区,銀座４丁目,-,東京都中央区銀座4-4-10 グッチ銀座7F,35.671940,139.764600,グッチ銀座ギャラリー,https://www.gucci.com/jp/ja/
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷1-23-6 サンビューハイツ北参道101,35.679337,139.708405,TERRITORY GALLERY（テリトリー・ギャラリー）,https://territorygallery.com
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-46-1 TWIN PLANET South BLDG. 1F,35.664323,139.708331,pixiv WAEN GALLERY by TWIN PLANET × pixiv,https://pixiv-waengallery.com/
中央区,京橋２丁目,日八京,東京都中央区京橋2-7-12 1F,35.676779,139.771584,ROD GALLERY,http://www.rodgallery.jp
新宿区,横寺町,-,東京都新宿区横寺町31-13 一水寮,35.702120,139.735400,工芸青花,https://www.kogei-seika.jp/gallery/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-3-3,35.664970,139.709300,ギャラリー エスケーパーズ,https://www.instagram.com/gallery_escapers/
中央区,京橋２丁目,日八京,東京都中央区京橋2-6-10 京橋宝照ビル1F,35.676360,139.771474,GALLERY RIN 麟,https://galleryrin.com/
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-2-12 日本橋小楼ビル202,35.688410,139.774170,27 GALLERY TOKYO,https://www.27-gallery-tokyo.com/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1 阪急メンズ東京7F,35.673518,139.763006,B-OWND Gallery,https://hs.b-ownd.com/gallery_yurakucho/
中央区,銀座４丁目,-,東京都中央区銀座4-13-11 太田興産銀座M&amp;Sビル2F,35.668990,139.768300,ヒコヒコギャラリー,https://hikohikogallery.com/
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-7-12,35.670690,139.713000,Galerie Supermarkt,https://www.instagram.com/galerie_supermarkt/
中央区,銀座８丁目,-,東京都中央区銀座8-7-2 月光荘画材店B1F,35.668872,139.761602,月光荘画室1,http://gekkoso.jp/exhibition/gallery-1
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-21-1 渋谷ヒカリエ8F,35.659110,139.703900,Bunkamura Gallery 8/,https://www.bunkamura.co.jp/gallery8/
港区,西麻布１丁目,-,東京都港区西麻布1-14-16 ベルジュール2F,35.661180,139.723400,Miaki Gallery,https://miakigallery.jp/
千代田区,一番町,-,東京都千代田区一番町25 JCIIビル,35.686089,139.742554,JCIIフォトサロン,https://www.jcii-cameramuseum.jp/photosalon/
新宿区,百人町１丁目,-,東京都新宿区百人町1-24-8 #107,35.698660,139.697700,callbox,https://www.instagram.com/callbox__/
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町7-1 ザ・パークレックス人形町1F,35.688181,139.782559,tagboat,https://www.tagboat.com/
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-21-12,35.676200,139.777000,CENTER/EDO,https://www.instagram.com/center_edo/
渋谷区,神南１丁目,-,東京都渋谷区神南1-5-19 ハレ神南別館,35.664882,139.700012,澁谷藝術,https://shibuyageijutsu.com/gallery/
渋谷区,神山町,-,東京都渋谷区神山町40-2 DEAR J1 渋谷 1F,35.664990,139.692700,HECTARE,https://www.hectaregallery.com/
中央区,京橋２丁目,日八京,東京都中央区京橋2-7−11,35.676590,139.771813,ギャラリーくぼた別館,http://gallery-kubota.co.jp/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-12-10 表参道ヒルズ 同潤館3F 302,35.666900,139.709404,Galerie412,http://www.galerie412.com/index.html
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1 帝国ホテルプラザ2F,35.672154,139.759388,MEDEL GALLERY SHU,https://medelgalleryshu.com/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-32-4 2F,35.669540,139.706800,PROJECT LAB.,https://www.instagram.com/projectlab_tokyo/
港区,南青山３丁目,-,東京都港区南青山3-14-3 2F ,35.665685,139.714733,Gallery Blue 3143,https://www.gallery-blue3143.com/
港区,南青山５丁目,-,東京都港区南青山5-14-4 河合ビル1F,35.660542,139.713327,大塚美術,http://www.otsuka-art.com/
港区,北青山２丁目,-,東京都港区北青山 2-10-22 谷・荒井ビル1F,35.671560,139.715600,Nine Gallery,https://ninegallery.com/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-26-28 1F,35.669181,139.707856,studio CIEN,https://www.instagram.com/studio_cien/
渋谷区,代官山町,-,東京都渋谷区代官山町13-5,35.649997,139.704438,EDGEoff代官山,https://twitter.com/EDGEoff135
港区,西麻布３丁目,-,東京都港区西麻布3-24-23 CUBE西麻布 1F,35.659650,139.724100,GALLERY MERROW,https://gallerymerrow.com
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-20-3 石井ビル1F,35.670476,139.708240,SPACE BANKSIA（スペース バンクシア）,https://space-banksia.com
港区,白金６丁目,-,東京都港区白金6-2-19-102,35.644477,139.723342,Art Gallery Shirokane 6c,https://shirokane6c.com
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-4-6 ニューカワイビル1F,35.688910,139.774900,REIJINSHA GALLERY,https://linktr.ee/reijinshagallery
渋谷区,神泉町,-,東京都渋谷区神泉町3-4 ウェルズ渋谷101,35.657950,139.693000,リアムギャラリー,http://liamgallery.com/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-6-7 神宮前ファッションビル 1F,35.672707,139.712115,Gallery 85.4,https://www.instagram.com/gallery85.4/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-9-15 B2F,35.667046,139.707313,HENKYO,https://henkyo.jp/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-31-3 宝栄ビル2F-A,35.673350,139.709200,kit gallery,https://kit-gallery.com/
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-24-1 エステック情報ビル B1F,35.690301,139.695913,OM SYSTEM GALLERY,https://fotopus.com/showroom/index/contents/i/10
中央区,日本橋２丁目,日八京,東京都中央区日本橋本町1-7-12 日本橋太郎平ビル,35.681184,139.774154,太郎平画廊,https://tarohei-gallery.com
千代田区,西神田２丁目,-,東京都千代田区西神田2-5-11 出版輸送ビル3F,35.699145,139.753911,GALLERY 2511,https://gallery.2511.jp/
中央区,日本橋横山町,-,東京都中央区日本橋横山町4-9 birth 5F,35.692037,139.782552,SOM GALLERY,https://www.somgallery.com/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-14-17,35.674401,139.711752,SORTone,https://www.instagram.com/sortone_fort/
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-25-1 神保町会館3F,35.695009,139.760612,Bohemian’s Guild CAGE,https://www.bohemiansguild.com/
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-8-2 3F,35.644540,139.708800,KICHI,https://www.instagram.com/282kichi/
新宿区,四谷１丁目,-,東京都新宿区四谷1-7-12 日本写真会館5F,35.686930,139.728600,ポートレートギャラリー,https://sha-bunkyo.or.jp/gallery/
渋谷区,松涛１丁目,-,東京都渋谷区道玄坂2-24-1,35.660577,139.695087,Bunkamura Wall Gallery,https://www.bunkamura.co.jp/gallery/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-45-5 中澤ビルB1F,35.664392,139.708205,Space Jing,http://spacejing.com/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-12-1 新有楽町ビル 1F,35.675560,139.762000,M5 Gallery,https://www.instagram.com/m5.gallery
港区,西麻布２丁目,-,東京都港区西麻布2-25-11 1F,35.660001,139.721970,KONTACTO EAST GALLERY,http://kontacto.jp
渋谷区,南平台町,-,東京都渋谷区南平台町8-11 Mo-Greenビル2F,35.652590,139.697100,CONTAINER GRAPHIC GALLERY,https://container-web.jp/
中央区,銀座６丁目,-,東京都中央区銀座6-4-8 曽根ビル7F,35.671049,139.761355,ぎゃらりい秋華洞,https://www.syukado.jp/
中央区,銀座７丁目,-,東京都中央区銀座7-4-12 銀座メディカルビル1F,35.669818,139.760717,Shinwa Privé Gallery,https://www.shinwa-prive.com/
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町3-20-4 第2龍名館ビル 1FD,35.696710,139.761400,KOMIYAMA TOKYO G,https://www.komiyamatokyo-g.com
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-15-17 クレストコート神宮前1F,35.665970,139.704757,GALLERY SCENA.,https://gallery-scena.com/
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-14-19,35.696822,139.757170,GALLERY KOGURE,https://gallerykogure.com/
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-42-7 青山太洋ビル3F,35.671239,139.713856,Night Out Gallery,https://nightoutgallery.com/
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-16-6,35.683720,139.689600,SHINBI GALLERY（新宿美術学院）,https://www.art-shinbi.com/gallery/
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-8-7 2F,35.668590,139.690800,WONDER Yoyogi Park,http://www.wonderyoyogipark.com/
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-12-19 東建インターナショナルビル3F,35.658674,139.707492,YUGEN Gallery,https://yugen-gallery.com/ja/
港区,南青山５丁目,-,東京都港区南青山5-10-17,35.662669,139.710787,MA5 GALLERY,https://www.ma5gallery.com/
港区,虎ノ門４丁目,虎ノ門,東京都港区虎ノ門4-1-40 江戸見坂森ビル1F,35.666454,139.745141,VLC Gallery by AKIO NAGASAWA,https://vlcgallery.com/
新宿区,改代町,-,東京都新宿区改代町40,35.706984,139.734790,BOOTLEG Gallery,https://bootleg.co.jp/gallery/
品川区,大崎１丁目,-,東京都品川区大崎1-15-9 光村ビル1F,35.617810,139.733700,光村グラフィック・ギャラリー,https://www.mitsumura.co.jp/csr/mgg/
江東区,三好２丁目,-,東京都江東区三好2-8-5 RF（5F屋上）,35.680097,139.802717,LONGY,https://www.longymagazine.com/
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-11 三橋ビル1F,35.695322,139.756504,art gallery & Legion,https://legion.jp
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-14 第二東ビル216号,35.697840,139.774300,DUB GALLERY AKIHABARA,https://www.dub-gallery.com
中央区,銀座５丁目,-,東京都中央区銀座4-1-2 銀座駅コンコース,35.672189,139.763716,メトロ銀座ギャラリー,https://www.metrocf.or.jp/jigyou/gallery_ginza/
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-1-6 小浦第一ビル1F,35.681340,139.780185,コンテンポラリーヘイズ,https://heis-g.com
千代田区,平河町２丁目,-,東京都千代田区平河町2-4-7 スタンプスタンダードショールーム内,35.682063,139.738667,フラットリバーギャラリー,https://f-r-gallery.tokyo/
中央区,銀座７丁目,-,東京都中央区銀座7-7-4 本店浜作ビルB1F,35.669559,139.762364,SPACE TGC,http://www.spacetgc.com/
中央区,日本橋小網町,-,東京都中央区日本橋小網町4-4 バトラーズ日本橋ビル3F,35.681715,139.782038,隣人ART,http://art-rinjin.com/
中央区,銀座６丁目,-,東京都中央区銀座6-3-16 泰明ビル本館501,35.671617,139.761147,FBIギャラリー,https://www.instagram.com/fbi_ginza/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-26-12 2F,35.668490,139.707200,Gallery W,https://gallery-w.jp/
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-32-2 K's Apartment 103,35.671601,139.710853,HIRO OKAMOTO,https://www.hirookamoto.jp/
千代田区,平河町１丁目,-,東京都千代田区平河町1-8-9 B1F,35.682639,139.741412,A.N.D.gallery,https://www.a-n-d-now.tokyo/
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-28-7 西参道テラス E1,35.682940,139.690900,HELLO GALLERY TOKYO,https://www.hello-gallery.com/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-26-35,35.669656,139.708236,YOD TOKYO,http://yoded.com/
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-22-11,35.670290,139.707200,SOMSOC Gallery,https://somsoc.jp/
港区,六本木７丁目,六本木,東京都港区六本木7-21-24 THE MODULE roppongi 101,35.663750,139.728000,OTA FINE ARTS 7CHOME,https://www.otafinearts.com/ja/
中央区,銀座６丁目,-,東京都中央区銀座6-10-1,35.669595,139.764032,FOAM CONTEMPORARY,https://store.tsite.jp/ginza/event/foam-contemporary/?input_order=event&
港区,南青山６丁目,-,東京都港区南青山6-3-7 3F,35.660680,139.716475,SOOT,https://soot.tokyo/
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町1-8-1 1・2F,35.693550,139.781500,EXHIBIT SPACE TINGLE ANGLE,https://tingleangle.com/
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア 46F,35.658572,139.702240,SKY GALLERY,https://www.shibuya-scramble-square.com/sky/
港区,西新橋２丁目,虎ノ門,東京都港区西新橋2-17-1 八雲ビル 4F,35.666416,139.750767,THE LOOP GALLERY,https://www.theloopgallery.jp/
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町2-2-14 maruka 3F,35.695487,139.783487,NEORT++（ネオルトツー）,https://two.neort.io/
中央区,銀座６丁目,-,東京都中央区銀座6-4-7 いらか銀座ビル1・2F,35.671162,139.761524,至峰堂画廊,https://shihoudou.co.jp/
中央区,銀座６丁目,-,東京都中央区銀座6-4-1 2F,35.671697,139.761817,ライカギャラリー東京,https://leica-camera.com/ja-JP/leica-galleries/overview
港区,六本木７丁目,六本木,東京都港区六本木7-21-24,35.663755,139.728016,クマ財団ギャラリー,https://kuma-foundation.org/gallery/
渋谷区,猿楽町,-,東京都渋谷区猿楽町5-17 第一西尾ビル2F,35.652760,139.703714,のこぎり,https://www.nokogiribytonkachi.jp/
新宿区,揚場町,-,東京都新宿区揚場町2-12 セントラルコーポラス105,35.702468,139.742244,Roll,https://yf-vg.com/roll.html
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-2-10,35.692910,139.785558,Ritsuki Fujisaki Gallery,"	http://ritsukifujisakigallery.com"
品川区,東品川１丁目,-,東京都品川区東品川1-33-10 TERRADA Art Complex Ⅰ 4F,35.619175,139.746603,小山登美夫ギャラリー天王洲,"	http://tomiokoyamagallery.com/"
品川区,東品川１丁目,-,東京都品川区東品川1-32-8 TERRADA ART COMPLEX II 4F,35.619789,139.746318,T&Y Projects,"	http://www.ty-projects.com/"
中央区,銀座７丁目,-,東京都中央区銀座7-7-16,35.669389,139.761904,GALLERY HAYASHI + ART BRIDGE,"	https://g-hayashi-artbridge.com/"
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-19-5,35.673261,139.710424,SCOOTERS FOR PEACE,"	https://scootersforpeace.com/"
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町7-13 東海日本橋ハイツ2F,35.686115,139.778372,galerieH（ガルリアッシュ）,"	https://galerie-h.jp"
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-24-10,35.676107,139.690482,エステルオカダ,"	https://www.zulaarts.com/"
品川区,東品川１丁目,-,東京都品川区東品川1-32-8 TERRADA ART COMPLEXⅡ4F,35.619752,139.746345,タカ・イシイギャラリー ビューイングルーム,"	https://www.takaishiigallery.com/jp/"
港区,六本木６丁目,六本木,東京都港区六本木6-6-9 ピラミデビル3F,35.661997,139.731462,ケンジタキギャラリー / 六本木（期間限定プロジェクト）,"	https://www.kenjitaki.com/"
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-4-2 丸紅ビル3F,35.690625,139.759737,丸紅ギャラリー,"	https://www.marubeni.com/gallery/"
港区,南青山４丁目,-,東京都港区南青山4-8-25,35.666985,139.719189,Feb gallery Tokyo,"	https://febgallerytokyo.com/"
新宿区,矢来町,-,東京都新宿区矢来町114 高橋ビルB2F,35.704041,139.734670,CAVE-AYUMIGALLERY,"	https://caveayumigallery.tokyo"
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-27-4 東武第二ビル1F,35.666710,139.703700,JPS Gallery（Tokyo）,"	http://www.jpsgallery.com/"
千代田区,外神田６丁目,-,東京都千代田区外神田6-11-14 3331 Arts Chiyoda 211号室,35.704213,139.770832,myheirloom（マイエアルーム）,"	https://www.myheirloom.info/"
中央区,京橋３丁目,日八京,東京都中央区京橋3-6-18 東京建物京橋ビル1F,35.675311,139.769605,BAG-Brillia Art Gallery-,"	https://www.brillia-art.com/bag/"
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-3-1 新東京ビル1F and wander MARUNOUCHI,35.677487,139.762615,and wander OUTDOOR GALLERY with PAPERSKY,"	https://www.instagram.com/outdoorgallery_tokyo/"
渋谷区,初台１丁目,-,東京都渋谷区初台1-36-1,35.680074,139.686096,PAGIC Gallery,"	https://pagicgallery.com/"
