指標名,コンベンション施設,,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,,
年次,2024/2/1取得,,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention_venues/,,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件、2023年度：）,,,,,,,
,,,,,,,,
区,町丁,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,有楽町一丁目,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1読売会館7階,35.675582,139.762928,よみうりホール,http://www.yomiuri-fudousan.co.jp/yomiuri-hall/
港区,東新橋一丁目,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-1-19,35.666014,139.760331,ヤクルトホール,http://www.yakult.co.jp/hall/
中央区,築地五丁目,築地５丁目,-,東京都中央区築地5-3-2 朝日新聞東京本社新館2階,35.663911,139.765607,浜離宮朝日ホール,http://www.asahi-hall.jp/hamarikyu/
中央区,銀座五丁目,銀座５丁目,-,東京都中央区銀座5-15-8,35.668155,139.767244,時事通信ホール,http://www.jiji.com/hall/
千代田区,日比谷公園,日比谷公園,-,東京都千代田区日比谷公園1-4,35.671833,139.754559,千代田区立日比谷図書文化館 日比谷コンベンションホール,http://www.hibiyal.jp
千代田区,内幸町一丁目,内幸町１丁目,-,東京都千代田区内幸町1-1-1,35.672127,139.758928,帝国ホテル東京,http://www.imperialhotel.co.jp
千代田区,丸の内一丁目,丸の内１丁目,大丸有,東京都千代田区丸の内1-1-1,35.684591,139.761461,パレスホテル東京,http://www.palacehoteltokyo.com/
千代田区,丸の内一丁目,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-1,35.681185,139.768754,東京ステーションホテル,http://www.tokyostationhotel.jp/
港区,東新橋一丁目,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1,35.663098,139.761259,コンラッド東京,http://www.ConradTokyo.co.jp
千代田区,有楽町一丁目,有楽町１丁目,大丸有,東京都千代田区有楽町1-8-1,35.674705,139.760659,ザ・ペニンシュラ東京,https://www.peninsula.com/ja/tokyo/
港区,新橋一丁目,新橋１丁目,虎ノ門広域,東京都港区新橋1-2-6,35.668733,139.757348,第一ホテル東京,https://www.hankyu-hotel.com/group/mice
中央区,銀座六丁目,銀座６丁目,-,東京都中央区銀座6-14-10,35.668383,139.764884,コートヤード・マリオット銀座東武ホテル,http://www.tobuhotel.co.jp/ginza/
港区,東新橋一丁目,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-6-3,35.664167,139.76049,ロイヤルパークホテル　ザ　汐留,http://www.rps-tower.co.jp
千代田区,丸の内三丁目,丸の内３丁目,大丸有,東京都千代田区丸の内3-2-1,35.677415,139.760884,東京會舘,https://www.kaikan.co.jp/
千代田区,有楽町一丁目,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目１−２,35.673713,139.759173,日比谷三井カンファレンス,https://www.hibiya.tokyo-midtown.com/jp/conference/top/
千代田区,内幸町二丁目,内幸町２丁目,-,東京都千代田区内幸町2丁目2-3 日比谷国際ビル8階,35.669835,139.754981,日比谷国際ビル コンファレンス スクエア,https://hibikoku.tokyo/
千代田区,有楽町二丁目,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1,35.67369,139.762514,ヒューリックホール東京,http://hulic-theater.com/
千代田区,大手町一丁目,大手町１丁目,大丸有,東京都千代田区大手町1-3-2,35.688656,139.763475,経団連会館カンファレンス,http://www.keidanren-kaikan.jp/
千代田区,一ツ橋二丁目,一ツ橋２丁目,-,東京都千代田区一ツ橋2-6-2,35.694375,139.756222,日本教育会館,http://www.jec.or.jp
千代田区,一ツ橋二丁目,一ツ橋２丁目,-,東京都千代田区一ツ橋2-1-1,35.691403,139.758478,如水会館,http://www.kaikan.co.jp/josui
千代田区,大手町一丁目,大手町１丁目,大丸有,東京都千代田区大手町1-7-2,35.687076,139.765433,大手町サンケイプラザ,http://www.s-plaza.com
中央区,八重洲一丁目,八重洲１丁目,日八京,東京都中央区八重洲1-3-7 八重洲ファーストフィナンシャルビル2F・3F,35.68291,139.771837,ベルサール八重洲,https://www.bellesalle.co.jp/shisetsu/tokyo/bs_yaesu/
千代田区,大手町二丁目,大手町２丁目,大丸有,東京都千代田区大手町2-6-1朝日生命大手町ビル24・27階,35.684507,139.769077,大手町サンスカイルーム,http://www.sunskyroom.jp
千代田区,丸の内一丁目,丸の内１丁目,大丸有,東京都千代田区丸の内1-7-12サピアタワー(4F～6F),35.683823,139.768472,ステーションコンファレンス東京,http://www.tstc.jp/
中央区,日本橋室町二丁目,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3日本橋室町野村ビル5F・6F,35.687381,139.77392,野村コンファレンスプラザ日本橋,http://www.nomura-nihonbashi.com/conference/index.html
中央区,日本橋二丁目,日本橋２丁目,日八京,東京都中央区日本橋2-3-4日本橋プラザビル3F,35.681371,139.772124,日本橋プラザ展示ホール・会議室,http://www.nihonbashiplaza.co.jp
中央区,日本橋室町二丁目,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-2-1 COREDO室町1　5階,35.686836,139.774054,日本橋三井ホール,http://www.nihonbashi-hall.jp/
千代田区,丸の内一丁目,丸の内１丁目,大丸有,東京都千代田区丸の内1-8-1丸の内トラストタワーN館3階,35.683218,139.769761,トラストシティ カンファレンス・丸の内,http://www.mori-trust.co.jp/tcc-m/
中央区,京橋二丁目,京橋２丁目,日八京,東京都中央区京橋2-1-3京橋トラストタワー4階,35.677852,139.770074,トラストシティ カンファレンス・京橋,http://www.tcc-kaigishitsu.com/tcc-k/
中央区,日本橋蛎殻町二丁目,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-1-1,35.68238,139.786593,ロイヤルパークホテル,http://www.rph.co.jp
中央区,日本橋室町二丁目,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.686393,139.772921,マンダリン オリエンタル 東京,http://www.mandarinoriental.co.jp/tokyo/
千代田区,丸の内一丁目,丸の内１丁目,大丸有,東京都千代田区丸の内1-8-3丸の内トラストタワー本館,35.682535,139.76938,シャングリ・ラ ホテル 東京,http://www.shangri-la.com
千代田区,大手町一丁目,大手町１丁目,大丸有,東京都千代田区大手町1-4-1,35.690511,139.760547,KKRホテル東京,http://www.kkr-hotel-tokyo.gr.jp
千代田区,大手町一丁目,大手町１丁目,大丸有,東京都千代田区大手町1-3-7,35.688686,139.762258,日経ホール＆カンファレンスルーム,http://www.nikkei-hall.com/
中央区,京橋三丁目,京橋３丁目,日八京,東京都中央区京橋3-1-1 東京スクエアガーデン5階,35.676057,139.768882,東京コンベンションホール,http://tokyo.conventionhall.jp/
中央区,日本橋一丁目,日本橋１丁目,日八京,東京都中央区日本橋1-3-13 東京建物日本橋ビル2階,35.683036,139.773315,コングレスクエア日本橋,http://congres-square.jp/nihonbashi/
中央区,日本橋二丁目,日本橋２丁目,日八京,東京都中央区日本橋２-７-１ 東京日本橋タワーB2・4F・5F,35.681861,139.774234,ベルサール東京日本橋,https://www.bellesalle.co.jp/shisetsu/tokyo/bs_nihonbashi/
中央区,京橋二丁目,京橋２丁目,日八京,東京都中央区京橋2-2-1 京橋エドグラン 22F （事務所：22F）,35.677464,139.769443,TKP Garden City Premium 京橋,https://www.kashikaigishitsu.net/facilitys/gcp-kyobashi/
千代田区,丸の内一丁目,丸の内１丁目,大丸有,東京都中央区八重洲２－４－１　ユニゾ八重洲ビル3階,35.67873,139.767335,フクラシア　八重洲,https://www.fukuracia.jp/yaesu/
千代田区,大手町二丁目,大手町２丁目,大丸有,東京都千代田区大手町2-3-2,35.687081,139.768122,大手町プレイスカンファレンスセンター,https://otemachi-place-conferencecenter.jp/
千代田区,大手町一丁目,大手町１丁目,大丸有,東京都千代田区大手町1-2-1 Otemachi One 3F,35.687912,139.76318,大手町三井ホール,https://www.otemachi-hall.jp/
千代田区,大手町一丁目,大手町１丁目,大丸有,東京都千代田区大手町1丁目2-1,35.687886,139.761593,フォーシーズンズホテル東京大手町,https://www.fourseasons.com/jp/otemachi/
中央区,日本橋室町三丁目,日本橋室町３丁目,日八京,東京都中央区日本橋室町三丁目2番1号 COREDO室町テラス3階,35.687909,139.772537,室町三井ホール＆カンファレンス,https://www.mitsui-mice.jp/nihonbashi/muromachi/
港区,六本木六丁目,六本木６丁目,六本木,東京都港区六本木6-10-1六本木ヒルズ森タワー49階,35.660416,139.729248,六本木アカデミーヒルズ,https://forum.academyhills.com/roppongi/
港区,赤坂九丁目,赤坂９丁目,六本木,東京都港区赤坂9-7-2,35.665232,139.731269,東京ミッドタウン ホール& カンファレンス,https://www.tokyo-midtown.com/jp/facilities/hall/
千代田区,平河町二丁目,平河町２丁目,-,東京都千代田区平河町2-4-1,35.681159,139.738802,都市センターホテル,https://www.rihga.co.jp/toshicenter/
千代田区,平河町二丁目,平河町２丁目,-,東京都千代田区平河町2-7-5,35.679698,139.740302,砂防会館別館(シェーンバッハ・サボー),http://www.sabo.or.jp
港区,六本木一丁目,六本木１丁目,虎ノ門,東京都港区六本木1-5-2,35.664644,139.740722,泉ガーデンギャラリー,https://www.bellesalle.co.jp/shisetsu/roppongi/izumig_gallery/
千代田区,永田町二丁目,永田町２丁目,赤坂,東京都千代田区永田町2-16-2,35.676746,139.740746,星陵会館,http://www.seiryokai.org
千代田区,平河町二丁目,平河町２丁目,-,東京都千代田区平河町2-6-4海運ビル,35.679387,139.739635,海運クラブ,http://kaiunclub.org/
千代田区,麹町六丁目,麹町６丁目,-,東京都千代田区麹町6-6,35.685575,139.732241,スクワール麹町,http://www.square.or.jp
千代田区,麹町五丁目,麹町５丁目,-,東京都千代田区麹町5-1,35.683842,139.734947,弘済会館,http://www.kousaikai.or.jp/hall/
千代田区,霞が関三丁目,霞が関３丁目,虎ノ門広域,東京都千代田区霞が関3-2-1 霞ヶ関コモンゲート西館37階,35.671726,139.747879,霞山会館,http://www.kazankk.org/
港区,虎ノ門二丁目,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-9-16,35.668108,139.746493,ニッショーホール(日本消防会館),-
千代田区,北の丸公園,北の丸公園,-,東京都千代田区北の丸公園2-1,35.691189,139.753023,科学技術館,http://www.event-jsf.jp
千代田区,北の丸公園,北の丸公園,-,東京都千代田区北の丸公園2-3,35.693394,139.749823,日本武道館,http://www.nipponbudokan.or.jp
千代田区,六番町,六番町,-,東京都千代田区六番町15,35.686011,139.731875,主婦会館プラザエフ,http://www.plaza-f.or.jp
港区,赤坂七丁目,赤坂７丁目,赤坂,東京都港区赤坂7-2-21,35.674129,139.729228,草月ホール,http://www.sogetsu.or.jp
港区,六本木五丁目,六本木５丁目,六本木,東京都港区六本木5-11-16,35.658517,139.733445,国際文化会館,https://www.i-house.or.jp/facilities/banquet/
港区,六本木六丁目,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー52F,35.660452,139.729231,東京シティビュー,https://tcv.roppongihills.com/jp/
千代田区,紀尾井町,紀尾井町,赤坂,東京都千代田区紀尾井町4-1,35.681175,139.734872,ホテルニューオータニ,http://www.newotani.co.jp
千代田区,永田町二丁目,永田町２丁目,赤坂,東京都千代田区永田町2-10-3,35.673819,139.741031,ザ・キャピトルホテル 東急,https://www.tokyuhotels.co.jp/capitol-h/
港区,虎ノ門二丁目,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-10-4,35.666884,139.744229,オークラ東京,https://theokuratokyo.jp/
港区,赤坂一丁目,赤坂１丁目,虎ノ門,東京都港区赤坂1-12-33,35.66823,139.741088,ANAインターコンチネンタルホテル東京,https://anaintercontinental-tokyo.jp/
港区,六本木六丁目,六本木６丁目,六本木,東京都港区六本木6-10-3,35.659905,139.728304,グランド ハイアット 東京,https://www.tokyo.grand.hyatt.co.jp/banquets/
港区,赤坂九丁目,赤坂９丁目,六本木,東京都港区赤坂9-7-1東京ミッドタウン,35.666201,139.731234,ザ・リッツ・カールトン東京,https://www.ritzcarlton.com/jp/hotels/japan/tokyo/
千代田区,隼町,隼町,-,東京都千代田区隼町1-1,35.682942,139.743315,ホテルグランドアーク半蔵門,http://www.grandarc.com
千代田区,平河町二丁目,平河町２丁目,-,東京都千代田区平河町2-4-3,35.681773,139.73868,ホテル ルポール麹町,http://www.leport.jp
港区,虎ノ門一丁目,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-23-3 虎ノ門ヒルズ森タワー５階,35.666888,139.749378,虎ノ門ヒルズフォーラム,https://forum.academyhills.com/toranomon/
港区,虎ノ門一丁目,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-23-4,35.666847,139.749515,アンダーズ 東京,http://tokyo.andaz.hyatt.com/ja/hotel/home.html
港区,赤坂一丁目,赤坂１丁目,虎ノ門,東京都港区赤坂1-8-1 赤坂インターシティAIR 3F・4F,35.67018,139.742633,赤坂インターシティコンファレンス,https://aicc.tokyo/
千代田区,紀尾井町,紀尾井町,赤坂,東京都千代田区紀尾井町1-4　東京ガーデンテラス紀尾井町　紀尾井タワー4階,35.679622,139.736961,東京ガーデンテラス紀尾井町　紀尾井カンファレンス,http://conference.tgt-kioicho.jp/
港区,赤坂二丁目,赤坂２丁目,赤坂,東京都港区赤坂２丁目14-27　国際新赤坂ビル 東館 13F/14F （事務所：14F）,35.672423,139.737111,TKP赤坂駅カンファレンスセンター,https://www.kashikaigishitsu.net/facilitys/cc-akasaka/
千代田区,外神田四丁目,外神田４丁目,-,東京都千代田区外神田4-14-1秋葉原UDX2F,35.700541,139.772541,アキバ・スクエア,http://udx-akibasquare.jp
新宿区,市谷本村町,市谷本村町,-,東京都新宿区市谷本村町4-1,35.691835,139.732413,ホテル グランドヒル市ヶ谷,http://www.ghi.gr.jp
千代田区,外神田四丁目,外神田４丁目,-,東京都千代田区外神田4-14-1,35.700541,139.772541,UDXカンファレンス,http://www.udx.jp/conference/
千代田区,九段北四丁目,九段北４丁目,-,東京都千代田区九段北4-2-25,35.691908,139.737585,アルカディア市ヶ谷(私学会館),http://www.arcadia-jp.org
千代田区,外神田四丁目,外神田４丁目,-,東京都千代田区外神田1-18-13秋葉原ダイビル2F/5F,35.699213,139.772093,秋葉原コンベンションホール,http://www.akibahall.jp
新宿区,市谷砂土原町一丁目,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1-1,35.694213,139.736282,ルーテル市ケ谷センター,http://www.l-i-c.com
千代田区,神田駿河台三丁目,神田駿河台３丁目,-,東京都千代田区神田駿河台3-6,35.69685,139.76583,全電通労働会館,-
千代田区,神田練塀町,神田練塀町,-,東京都千代田区神田練塀町3富士ソフトビル,35.700841,139.774102,富士ソフト アキバプラザ,http://www.fsi.co.jp/akibaplaza/
千代田区,飯田橋三丁目,飯田橋３丁目,-,東京都千代田区飯田橋3-10-3,35.700557,139.749575,東京しごとセンター,http://www.shigotozaidan.or.jp
千代田区,三崎町一丁目,神田三崎町１丁目,-,東京都千代田区猿楽町2-5-5,35.699977,139.756251,YMCAアジア青少年センター,http://www.ymcajapan.org/ayc/
千代田区,飯田橋三丁目,飯田橋３丁目,-,東京都千代田区飯田橋3-10-8,35.700932,139.749234,ホテルメトロポリタン エドモント,http://www.edmont.co.jp
千代田区,神田駿河台四丁目,神田駿河台４丁目,-,東京都千代田区神田駿河台4-6 御茶ノ水ソラシティ1F,35.698507,139.766726,ソラシティカンファレンスセンター,http://solacity.jp/cc/index.html
千代田区,神田須田町一丁目,神田須田町１丁目,-,東京都千代田区神田須田町1-25 JR神田万世橋ビル3階・4階,35.696931,139.770155,ステーションコンファレンス万世橋,https://www.tstc.jp/manseibashi/
千代田区,外神田三丁目,外神田３丁目,-,東京都千代田区外神田３-１２-８　住友不動産秋葉原ビルＢ1・1Ｆ・2Ｆ,35.700029,139.770879,ベルサール秋葉原,https://www.bellesalle.co.jp/shisetsu/tokyo/bs_akihabara/
千代田区,神田錦町三丁目,神田錦町３丁目,-,東京都千代田区神田錦町3-22　テラススクエア3F （事務所：3F）,35.693403,139.760022,TKP Garden City Premium神保町,https://www.kashikaigishitsu.net/facilitys/gcp-jimbocho/
千代田区,外神田一丁目,外神田１丁目,-,東京都千代田区外神田1-7-5　フロントプレイス秋葉原 2F/3F （事務所：2F）,35.699553,139.76996,TKP Garden City Premium秋葉原,https://www.kashikaigishitsu.net/facilitys/gcp-akihabara/
江東区,有明三丁目,有明３丁目,-,東京都江東区有明3-11-1,35.630047,139.793752,東京ビッグサイト(東京国際展示場),http://www.bigsight.jp/
江東区,有明三丁目,有明３丁目,-,東京都江東区有明3-1,35.630688,139.78485,東京ファッションタウン(TFT)ビル,https://www.bigsight.jp/organizer/buildings/tft/
江東区,青海二丁目,青海２丁目,-,東京都江東区青海2-3-6,35.619184,139.776551,日本科学未来館,https://www.miraikan.jst.go.jp/
江東区,有明三丁目,有明３丁目,-,東京都江東区有明3-5-7,35.632107,139.78813,ＴＯＣ有明Convention Hall,https://www.toc.co.jp/saiji/ariake/
江東区,青海一丁目,青海１丁目,-,東京都江東区青海1丁目3番11号,35.625927,139.7822,Zepp東京,http://www.zepp.co.jp
江東区,青海二丁目,青海２丁目,-,東京都江東区青海2-2-1,35.621134,139.775851,東京国際交流館 プラザ平成,https://www.jasso.go.jp/ryugaku/kyoten/tiec/plazaheisei/index.html
江東区,青海二丁目,青海２丁目,-,東京都江東区青海2-4-32,35.617717,139.777126,タイム24ビル,http://www.tokyo-bigsight.co.jp
江東区,青海二丁目,青海２丁目,-,東京都江東区青海2-4-24青海フロンティアビル2階,35.617723,139.778357,青海フロンティアビル,http://www.tokyo-teleport.co.jp
江東区,青海二丁目,青海２丁目,-,東京都江東区青海2-5-10,35.617362,139.780257,テレコムセンタービル,http://www.tokyo-teleport.co.jp
港区,台場二丁目,台場２丁目,-,東京都港区台場2-3-2台場フロンティアビル2F,35.628632,139.777862,台場フロンティアビル,http://www.tokyo-teleport.co.jp
江東区,有明二丁目,有明２丁目,-,東京都江東区有明2-2-22,35.635099,139.789066,有明コロシアム,http://www.tptc.co.jp/
中央区,晴海五丁目,晴海５丁目,-,東京都中央区晴海5-7-1,35.646969,139.773156,晴海客船ターミナル,http://www.tptc.co.jp/tabid/344/Default.aspx
港区,台場二丁目,台場２丁目,-,東京都港区台場2-6-1,35.625577,139.771729,グランドニッコー東京 台場,https://www.tokyo.grandnikko.com/
江東区,有明三丁目,有明３丁目,-,東京都江東区有明3-7-11,35.632583,139.793071,東京ベイ有明ワシントンホテル,https://washington-hotels.jp/ariake/
港区,台場一丁目,台場１丁目,-,東京都港区台場1-9-1,35.626377,139.770565,ヒルトン東京お台場,http://hiltonodaiba.jp/
中央区,晴海四丁目,晴海４丁目,-,東京都中央区晴海4-7-28,35.652816,139.779002,ホテルマリナーズコート東京,http://www.hotel-mariners.co.jp
江東区,有明三丁目,有明３丁目,-,東京都江東区有明3-6-6,35.632252,139.789435,相鉄グランドフレッサ東京ベイ有明,https://fresa-inn.jp/ariake/
江東区,有明二丁目,有明２丁目,-,東京都江東区有明2丁目1,35.639143,139.794202,東京ガーデンシアター,https://www.shopping-sumitomo-rd.com/tokyo_garden_theater/mice/
江東区,有明三丁目,有明３丁目,-,東京都江東区有明3-7-18有明セントラルタワー3F・4F,35.632111,139.791539,有明セントラルタワーホール＆カンファレンス,https://ariake-hall.jp/
品川区,西五反田七丁目,西五反田７丁目,-,東京都品川区西五反田7-22-17,35.621907,139.71932,TOC展示会場・TOC五反田メッセ,https://www.toc.co.jp/saiji/building/
品川区,東大井五丁目,東大井５丁目,-,東京都品川区東大井5-18-1,35.606156,139.735927,品川区立総合区民会館 きゅりあん,http://www.shinagawa-culture.or.jp/
港区,港南一丁目,港南１丁目,-,東京都港区港南1-9-36アレア品川3F～5F,35.630134,139.741265,東京コンファレンスセンター・品川,http://www.tokyo-cc.co.jp
港区,港南二丁目,港南２丁目,-,東京都港区港南2-15-4,35.625265,139.741634,品川インターシティホール,http://sic-hall.com/
港区,港南二丁目,港南２丁目,-,東京都港区港南2-15-2品川インターシティホール棟地下1階(インターシティ管理事務所),35.626323,139.742129,品川インターシティ 貸会議室,http://sic-hall.com/
港区,白金台一丁目,白金台１丁目,-,東京都港区白金台1-1-1,35.638755,139.729174,八芳園,http://www.happo-en.com
品川区,東品川二丁目,東品川２丁目,-,東京都品川区東品川2-3-16シーフォートスクエア1階,35.623432,139.751289,ザ・クルーズクラブ東京,https://cctokyo.co.jp
港区,高輪四丁目,高輪４丁目,-,東京都港区高輪4-10-30,35.627884,139.73521,マクセルアクアパーク品川,http://www.aqua-park.jp/aqua/
港区,高輪三丁目,高輪３丁目,-,東京都港区高輪3-13-1,35.630959,139.735268,グランドプリンスホテル新高輪,https://www.princehotels.co.jp/tokyo-mice-city/takanawa_area/
港区,高輪三丁目,高輪３丁目,-,東京都港区高輪3-13-1,35.630959,139.735268,グランドプリンスホテル高輪,https://www.princehotels.co.jp/tokyo-mice-city/takanawa_area/
港区,高輪四丁目,高輪４丁目,-,東京都港区高輪4-10-30,35.627884,139.73521,品川プリンスホテル,https://www.princehotels.co.jp/shinagawa/
港区,高輪三丁目,高輪３丁目,-,東京都港区高輪3-13-1,35.630959,139.735268,ザ・プリンス さくらタワー東京,https://www.princehotels.co.jp/tokyo-mice-city/takanawa_area/
品川区,北品川四丁目,北品川４丁目,-,東京都品川区北品川4-7-36,35.621452,139.737218,東京マリオットホテル,http://www.tokyo-marriott.com/
港区,白金台一丁目,白金台１丁目,-,東京都港区白金台1-1-50,35.639505,139.731604,シェラトン都ホテル東京,http://www.miyakohotels.ne.jp/tokyo
品川区,東品川二丁目,東品川２丁目,-,東京都品川区東品川2-3-15,35.624424,139.751211,第一ホテル東京シーフォート,http://www.seafort.d-h.co.jp
港区,港南二丁目,港南２丁目,-,東京都港区港南2-16-1品川イーストワンタワー,35.627804,139.740757,ストリングスホテル東京インターコンチネンタル,https://intercontinental-strings.jp/jp
港区,港南一丁目,港南１丁目,-,"東京都港区港南1-6-41　品川クリスタルスクエア2,3F",35.631362,139.745641,フクラシア　品川クリスタルスクエア,https://www.fukuracia.jp/shinagawa/
品川区,北品川五丁目,北品川５丁目,-,東京都品川区北品川5-5-15　大崎ブライトコア3F,35.622175,139.730955,大崎ブライトコアホール,https://osaki-hall.jp/
港区,港南二丁目,港南２丁目,-,東京都港区港南2-16-4 品川グランドセントラルタワー3階,35.62667,139.740375,THE GRAND HALL,http://tg-hall.com/
港区,芝公園二丁目,芝公園２丁目,-,東京都港区芝公園2-5-20,35.655893,139.751341,メルパルク東京,http://www.mielparque.jp
港区,三田三丁目,三田３丁目,-,東京都港区三田3-12-12,35.642555,139.742884,笹川記念館,http://www.sasakawahall.jp
港区,芝五丁目,芝５丁目,-,東京都港区芝5-26-20,35.647513,139.746261,建築会館ホール,http://www.aij.or.jp/kentikukaikan.html
港区,芝四丁目,芝４丁目,-,東京都港区芝4-1-23三田NNビル地下1階,35.649057,139.749449,三田NNホール,http://www.mita-nn-hall.com
港区,海岸一丁目,海岸１丁目,-,東京都港区海岸1-11-1,35.655771,139.763723,ニューピアホール,http://www.newpier-hall.jp/
港区,海岸一丁目,海岸１丁目,-,東京都港区海岸1-16-1ニューピア竹芝サウスタワー4F,35.653706,139.762414,ニューピア竹芝 サウスタワー,http://www.tokyo-teleport.co.jp
港区,海岸二丁目,海岸２丁目,-,東京都港区海岸2-7-104,35.650688,139.760473,シンフォニークルーズ,https://www.symphony-cruise.co.jp/index.php
港区,東麻布一丁目,東麻布１丁目,-,東京都港区芝公園4-8-1,35.655492,139.744892,ザ・プリンス パークタワー東京,http://www.princehotels.co.jp/parktower
港区,芝公園三丁目,芝公園３丁目,虎ノ門,東京都港区芝公園3-3-1,35.65957,139.74906,東京プリンスホテル,http://www.princehotels.co.jp/tokyo
港区,海岸一丁目,海岸１丁目,-,東京都港区海岸1-16-2,35.653004,139.762293,ホテル インターコンチネンタル 東京ベイ,http://www.interconti-tokyo.com
港区,芝公園一丁目,芝公園１丁目,-,東京都港区芝公園1-5-10,35.658839,139.751946,芝パークホテル,http://www.shibaparkhotel.com
港区,海岸一丁目,海岸１丁目,-,東京都港区海岸1-11-2,35.655304,139.763265,ベイサイドホテルアジュール竹芝,http://www.hotel-azur.com
港区,芝二丁目,芝２丁目,-,東京都港区芝2-5-2,35.652671,139.75103,東京グランドホテル,http://www.tokyogrand.gr.jp/
港区,浜松町二丁目,浜松町２丁目,-,東京都港区浜松町二丁目3番1号,35.655981,139.755615,浜松町コンベンションホール,http://www.hmc.conventionhall.jp/
港区,海岸一丁目,海岸１丁目,-,東京都港区海岸1-7-1 東京ポートシティ竹芝オフィスタワー 1F～5F,35.655214,139.76067,東京都立産業貿易センター 浜松町館（東京ポートシティ竹芝オフィスタワー内）,https://www.sanbo.metro.tokyo.lg.jp/hamamatsucho/
港区,海岸一丁目,海岸１丁目,-,東京都港区海岸1-7-1 東京ポートシティ竹芝オフィスタワー1階,35.655214,139.76067,東京ポートシティ竹芝ポートホール/ポートスタジオ,https://www.portcity-hall.tokyo/
港区,北青山二丁目,北青山２丁目,-,東京都港区北青山2-8-44(一般財)高度技術社会推進協会,35.672981,139.716943,TEPIA(TEPIA館),http://www.tepia.jp
