指標名,スタートアップ企業,,,,,,,,,,,,
出典,IINITIAL,,,,,,,,,,,,
年次,2024/02/06取得,,,,,,,,,,,,
URL,https://initial.inc/companies,,,,,,,,,,,,
備考,(2021年度：8785件、2022年度：-件、2023年度：11361件),,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,会社名,代表者,従業員数,総調達額,URL,設立,タイプ,業種
千代田区,神田東松下町,-,東京都千代田区神田東松下町45 神田金子ビル2階,35.6942975,139.7725962,アスラテック株式会社,酒谷　正人,,,https://www.asratec.co.jp/,2013/7/5,未公開企業,コンピューター - ソフトウェア
千代田区,神田東松下町,-,東京都千代田区神田東松下町13番地 神田プラザビル2F,35.6938313,139.7745206,株式会社グローバー,平田　勝治,84,"310,000",https://www.globar.co.jp/,2005/1/14,未公開企業,ビジネスサービス
千代田区,神田東松下町,-,東京都千代田区神田東松下町17 ニッテン神田ビル7階,35.6943561,139.7745125,ライトアーム株式会社,妹尾　建二,18,"5,000",http://rightarm.co.jp/,2016/1/4,未公開企業,コンピューター - ITサービス
千代田区,神田東松下町,-,東京都千代田区神田東松下町25 アルファグランデ千桜タワー201,35.6949407,139.7743753,株式会社Move,康　大君,2,"137,400",https://movetech.co.jp/,2021/10/14,未公開企業,半導体/その他電子部品・製品
千代田区,神田東松下町,-,東京都千代田区神田東松下町28 エクセル神田 2A号室,35.6949038,139.773232,株式会社GENRYU,千葉　裕介,0,500,https://genryu.net/,2021/12/21,未公開企業,コンピューター - ソフトウェア
千代田区,神田東松下町,-,東京都千代田区神田東松下町38 鳥本鋼業ビル4F,35.6941007,139.7729989,株式会社グローマス,海田　大介,39,"18,000",https://glomouth.co.jp/,2014/4/1,未公開企業,コンピューター - ITサービス
千代田区,神田東松下町２８丁目,-,東京都千代田区神田東松下町28-4,35.6945118,139.7734367,atena株式会社,白髭　直樹,4,"310,107",https://atena.inc/,2020/6/5,未公開企業,コンピューター - ITサービス
千代田区,神田東松下町４１丁目,-,東京都千代田区神田東松下町41-1 H1O神田601,35.6940521,139.7725197,ワゥラボ株式会社,石垣　裕也,2,"10,000",https://wow-lab.co.jp/,2022/7/1,未公開企業,ビジネスサービス
千代田区,神田美土代町,-,東京都千代田区神田美土代町7 住友不動産神田ビル10階,35.6931816,139.7656073,メディカル・データ・ビジョン株式会社,岩崎　博之,110,"1,614,000",https://www.mdv.co.jp/,2003/8/20,IPO / Exit企業,医療・ヘルスケア ICT
千代田区,神田美土代町７丁目,-,東京都千代田区神田美土代町7-10,35.6933676,139.7660266,株式会社蔵人,渡邊　真人,,"223,500",http://www.cloudcard.co.jp/,2004/12/24,未公開企業,ビジネスサービス
千代田区,神田美土代町７丁目,-,東京都千代田区神田美土代町7-10,35.6933676,139.7660266,株式会社蔵人,渡邊　真人,,"223,500",http://www.cloudcard.co.jp/,2004/12/24,未公開企業,ビジネスサービス
千代田区,神田美土代町９丁目,-,東京都千代田区神田美土代町9-7 千代田21ビルディング9階,35.6937891,139.7654675,株式会社Kdan Japan,ケニー・スー,1,"50,000",https://www.kdanmobile.com/ja,2023/3/1,未公開企業,コンピューター - ITサービス
千代田区,神田美土代町９丁目,-,東京都千代田区神田美土代町9-7 千代田21ビルディング7階,35.6937891,139.7654675,ワダツミ株式会社,里　陽平,,"12,350",http://www.wadatsumi.co.jp/,2004/7/1,未公開企業,金融・保険・不動産 ICT
千代田区,神田美土代町９丁目,-,東京都千代田区神田美土代町9-17 日宝神田淡路町ビル4階,35.6936661,139.765787,株式会社ビズウインド,倉持　孝士,35,"11,000",http://www.bizwind.co.jp,2005/4/5,未公開企業,コンピューター - ソフトウェア
千代田区,神田富山町,-,東京都千代田区神田富山町25 サンクス神田ビル地下1階,35.6930726,139.7728957,株式会社スカイシーカー,佐々木　政聡,8,"175,000",https://skyseeker.jp/,2015/12/1,未公開企業,ビジネスサービス
千代田区,神田富山町１丁目,-,東京都千代田区神田富山町1-2 TKKビル6F,35.693709,139.772619,株式会社アワーズ,粟津　浜一,25,"10,000",http://www.award-s.com/,2009/1/1,未公開企業,消費者向けサービス・販売
千代田区,神田富山町１丁目,-,東京都千代田区神田富山町1-2 TKKビル6F,35.693709,139.772619,株式会社アワーズ,粟津　浜一,25,"10,000",http://www.award-s.com/,2009/1/1,未公開企業,消費者向けサービス・販売
千代田区,神田富山町５丁目,-,東京都千代田区神田富山町5-1 神田ビジネスキューブ3F,35.6939099,139.7732386,IoT-EX株式会社,小畑　至弘,35,"122,000",https://www.bizmobile.co.jp/,2009/6/10,未公開企業,コンピューター - ソフトウェア
千代田区,神田富山町５丁目,-,東京都千代田区神田富山町5-1 神田ビジネスキューブ3階,35.6939099,139.7732386,EX4Energy株式会社,伊藤　剛,4,"159,999",https://ex4energy.jp/,2022/6/1,未公開企業,産業・エネルギー ICT
千代田区,神田富山町５丁目,-,東京都千代田区神田富山町5-1 神田ビジネスキューブ7F 株式会社アルバイトタイムス内,35.693866,139.7732217,株式会社フリーシェアードジャパン,竹内　一浩,1,"57,000",http://www.fs-jpn.net/,2011/10/7,未公開企業,消費者向けサービス・販売
千代田区,神田富山町５丁目,-,東京都千代田区神田富山町5-1 神田ビジネスキューブ3F,35.6939099,139.7732386,IoT-EX株式会社,小畑　至弘,35,122000,https://www.bizmobile.co.jp/,39974,未公開企業,コンピューター - ソフトウェア
千代田区,神田平河町,-,東京都千代田区神田平河町1番地 第3東ビル312,35.6977545,139.776031,株式会社グッテ,堀田　伸勝、　宮﨑　拓郎,2,,https://goodte.jp/,2018/9/28,未公開企業,医療・ヘルスケア ICT
千代田区,神田平河町,-,東京都千代田区神田平河町1 第3東ビル10F 1006号室,35.6977545,139.776031,株式会社メルタ,濱中　拓郎,7,"3,010",https://melta.co.jp/,2014/12/2,未公開企業,コンピューター - ITサービス
千代田区,神田北乗物町,-,東京都千代田区神田北乗物町2 神田乗物町ビル9階,35.6927571,139.7743235,株式会社renue,山本　悠介,3,"19,000",https://renue.co.jp/,2021/3/25,未公開企業,金融・保険・不動産 ICT
千代田区,神田練塀町,-,東京都千代田区神田練塀町68,35.7009781,139.7747565,株式会社イー・ロジット,角井　亮一,166,,https://www.e-logit.com/,2000/2/14,IPO / Exit企業,ビジネスサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町73 プロミエ秋葉原702,35.7010915,139.7747346,アイ・ヴォヤージュ株式会社,籠倉　伸介,6,"172,500",http://www.i-voyage.jp/,2008/3/3,未公開企業,コンピューター - ソフトウェア
千代田区,神田練塀町,-,東京都千代田区神田練塀町73 プロミエ秋葉原1202,35.7010915,139.7747346,株式会社NDS,高山　茂久,,"23,000",http://nds-rd.com/,2008/6/28,未公開企業,ビジネスサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル,35.7003056,139.7740739,IPFS infinite JAPAN株式会社,藤井　謙治,4,"29,000",https://ipfsinfinite.jp/,2021/5/14,未公開企業,ビジネスサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフトビル12階,35.7003056,139.7740739,VAQSO Inc.,川口　健太郎,,,,2017/1/17,未公開企業,半導体/その他電子部品・製品
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフトビル12F,35.7003056,139.7740739,株式会社STORY&Co.,細川　拓,3,"71,426",http://storyandco.co/,2016/2/24,未公開企業,消費者向けサービス・販売
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階,35.7003056,139.7740739,ゲシピ株式会社,真鍋　拓也,16,"395,968",https://gecipe.co.jp/,2018/1/11,未公開企業,コンピューター - ITサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階,35.7003056,139.7740739,合同会社ドローンビリティー,北岡　弘,,,https://dronebility.com/,2015/6/1,未公開企業,産業・エネルギー
千代田区,神田練塀町,-,東京都千代田区神田練塀町45 ライオンズマンション秋葉原405号室,35.7001618,139.7750125,株式会社スタックアクト,塩谷　淳,,"5,000",https://stack-act.co.jp/,2022/2/17,未公開企業,ビジネスサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階,35.7003056,139.7740739,ゲシピ株式会社,真鍋　拓也,16,"395,968",https://gecipe.co.jp/,2018/1/11,未公開企業,コンピューター - ITサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12F,35.7003056,139.7740739,株式会社ポリゴンテーラー,喜田　一成,1,"60,122",https://www.polygontailor.co.jp/,2022/1/4,未公開企業,消費者向けサービス・販売
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階,35.7003056,139.7740739,株式会社BIOTA,伊藤　光平,1,"7,500",https://biota.city/,2019/7/30,未公開企業,バイオテクノロジー
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル11階,35.7003056,139.7740739,株式会社UPQ,中澤　優子,,,http://upq.me/jp/,2015/7/1,未公開企業,半導体/その他電子部品・製品
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階,35.7003056,139.7740739,株式会社穴熊,西村　成城,3,"142,638",https://anaguma.co.jp/,2018/1/26,未公開企業,コンピューター - ITサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階,35.7003056,139.7740739,株式会社Spiral,石川　知寛,9,"324,100",https://spiral-robotics.com/,2016/10/27,未公開企業,ビジネスサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12F,35.7003056,139.7740739,Spellbrush Japan合同会社,,,,https://nijijourney.com/ja/,2023/2/1,未公開企業,コンピューター - ITサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12F,35.7003056,139.7740739,株式会社LOAD&ROAD,河野辺　和典,2,"411,286",https://teplotea.com/,2018/2/14,未公開企業,コンピューター - ソフトウェア
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12F,35.7003056,139.7740739,株式会社さえずり,山下　大知,3,"1,450",https://saezuri.co.jp/,2021/1/15,未公開企業,ビジネスサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル DMM.make AKIBA,35.7003293,139.7739735,株式会社BRAVE ROBOTICS,石田　賢司,1,"8,560",http://www.braverobotics.com/,2014/6/9,未公開企業,半導体/その他電子部品・製品
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12F 2305,35.7003056,139.7740739,icuco株式会社,柳瀬　陽一,23,"174,377",https://icuco.wkwk-c.com/,2018/5/15,未公開企業,コンピューター - ソフトウェア
千代田区,神田練塀町,-,東京都千代田区神田練塀町300 住友不動産秋葉原駅前ビル16階,35.6999232,139.7746526,CBcloud株式会社,松本　隆一,135,"12,123,279",https://www.cb-cloud.com/,2013/10/25,未公開企業,コンピューター - ITサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町300 住友不動産秋葉原駅前ビル8階,35.6999232,139.7746526,株式会社アンドパッド,稲田　武夫,601,"18,071,860",https://andpad.co.jp/,2012/9/16,未公開企業,コンピューター - ソフトウェア
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階DMM. makeAKIBA2405,35.7003056,139.7740739,株式会社たぬーきす,吉田　寛,1,"4,000",https://tanookith.com/,2018/2/1,未公開企業,コンピューター - ITサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル 12F DMM.makeAKIBABase 2105,35.7003056,139.7740739,株式会社sorano me,城戸　彩乃,1,"10,500",https://soranome.com/,2019/10/4,未公開企業,ビジネスサービス
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 フジソフト秋葉原ビル12階 DMM.make Akiba 101,35.7003293,139.7739735,株式会社Pyrenee,三野　龍太,7,"201,000",https://www.pyrenee.net/,2016/1/7,未公開企業,コンピューター - ハードウェア
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12階 DMM.make AKIBA 104号,35.7003293,139.7739735,primesap株式会社,木村　岳,,,http://www.primesap.com/,2010/2/15,未公開企業,コンピューター - ハードウェア
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ソフト秋葉原ビル12F,35.7003056,139.7740739,株式会社ポリゴンテーラー,喜田　一成,1,60122,https://www.polygontailor.co.jp/,44565,未公開企業,消費者向けサービス・販売
千代田区,神田練塀町４５丁目,-,東京都千代田区神田練塀町45-604,35.7001618,139.7750125,株式会社ピクトロニクス,川村　正広,5,"37,000",http://www.pictronics.co.jp/,2006/1/1,未公開企業,コンピューター - ハードウェア
千代田区,神田和泉町,-,東京都千代田区神田和泉町1番地6−16 ヤマトビル405,35.6989454,139.7768098,ビットクォーク株式会社,小森　雄斗,4,"127,500",https://bit-quark.com/,2023/2/6,未公開企業,コンピューター - ITサービス
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-7-14,35.6990806,139.7774132,株式会社Unicode,赤城　命帥,3,"62,000",https://unicode-tokyo.com/,2021/5/24,未公開企業,消費者向けサービス・販売
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-3-3,35.700189,139.7758601,アイベクス株式会社,今泉　清水,,"35,400",http://www.ivex.jp/,1995/8/11,未公開企業,コンピューター - ソフトウェア
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-3-3 タイワビル5F,35.700189,139.7758601,株式会社TOKYO TRADING,片岡　美志,,"10,000",http://www.t-tra.com/,2007/9/1,未公開企業,ビジネスサービス
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-3-3 タイワビル5F,35.700189,139.7758601,株式会社TOKYO TRADING,片岡　美志,,"10,000",http://www.t-tra.com/,2007/9/1,未公開企業,ビジネスサービス
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-6-16 ヤマトビル405,35.6989454,139.7768098,株式会社クラウドセールス,塘　浩司,2,"3,000",https://crowd-sales.com/,2014/7/7,未公開企業,ビジネスサービス
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-6-16 ヤマトビル405,35.6989454,139.7768098,株式会社Foodies Prime,菅井　貴志,,"122,000",https://corp.foodies-prime.com/,2022/12/12,未公開企業,ビジネスサービス
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-6-16 ヤマトビル405,35.6989454,139.7768098,パーフタイル合同会社,白木　秀幸,,,https://perftile.com/,2023/11/1,未公開企業,コンピューター - ITサービス
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-6-16 ヤマトビル405,35.6989454,139.7768098,株式会社AI tech,秦　涼一郎,,"1,000",https://a-i-tech.co/,2022/1/1,未公開企業,コンピューター - ITサービス
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-1-7 東陽ビル1F,35.6994469,139.7764504,宅配データ総研株式会社,横濱　悠平,,"70,700",http://uketoru.net/,2015/4/27,未公開企業,産業・エネルギー ICT
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-9-3 ニュー明治ビル5F,35.7002609,139.7770495,株式会社マッハロックインターナショナル,柿島　孝昭,43,"210,000",http://www.mli.jp/,2004/1/1,未公開企業,コンピューター - ソフトウェア
千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-8-11 サン・センタービル5F,35.699607,139.7773678,Recustomer株式会社,柴田　康弘,12,"385,766",https://recustomer.co/,2017/3/1,未公開企業,コンピューター - ITサービス
千代田区,神田和泉町１番地１丁目,-,東京都千代田区神田和泉町1番地1-14 パシフィックビル503号,35.6989326,139.7763305,株式会社ジーマム,桝添　候史,,"15,000",http://www.z-mam.co.jp/,2001/11/5,未公開企業,
千代田区,神田和泉町２丁目,-,東京都千代田区神田和泉町2-20 スワンレイク神田和泉町401号,35.6989759,139.780175,株式会社ワイズシステム,金子　祐介,7,"3,500",http://www.yspro.ne.jp/,2000/2/1,未公開企業,コンピューター - ITサービス
千代田区,神田和泉町２丁目,-,東京都千代田区神田和泉町2-20 スワンレイク神田和泉町601号,35.6989759,139.780175,スタンダードリンク株式会社,大久保　俊一,,"39,997",https://standard-link.jp/,2022/2/14,未公開企業,半導体/その他電子部品・製品
渋谷区,神南,-,東京都渋谷区神南1‐5‐4 ロイヤルパレス原宿407,35.6648456,139.7002715,株式会社Novath,近藤　啓太,1,"3,000",https://novath.co.jp/,2021/9/1,未公開企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-11-3,35.6623434,139.7010494,POLYMERIZE合同会社,Kunal Sandeep,1,,https://polymerize.jp/,2023/5/1,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-19-4,35.6624867,139.700112,株式会社ローソンエンタテインメント,岡田　稔,147,,https://www.ent.lawson.co.jp/,1992/7/23,IPO / Exit企業,
渋谷区,神南１丁目,-,東京都渋谷区神南1-11-3,35.6623434,139.7010494,POLYMERIZE合同会社,Kunal Sandeep,1,,https://polymerize.jp/,2023/5/1,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-19-4,35.6624867,139.700112,株式会社ローソンエンタテインメント,岡田　稔,147,,https://www.ent.lawson.co.jp/,1992/7/23,IPO / Exit企業,
渋谷区,神南１丁目,-,東京都渋谷区神南1-5-6,35.6647967,139.6997928,株式会社レターファン,井口　彰太,4,"95,500",https://letterfan.jp/,2020/7/7,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-5,35.664342,139.6995535,サインタイム株式会社,ジェームス・ローランド・ワイザー,8,"228,290",https://corp.signtime.jp/,2020/9/29,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-5,35.664342,139.6995535,株式会社アシタヘ,寺地　真一,2,"80,100",https://to-morrow.super.site/,2022/1/17,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-20-2,35.6619118,139.7001166,株式会社TENET,花房　弘也,24,"2,254,016",https://tenet.co.jp/,2020/3/24,未公開企業,医療・ヘルスケア ICT
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-5,35.664342,139.6995535,Frame00株式会社,原　麻由美,7,"308,697",https://corp.frame00.com/,2015/8/24,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-5,35.664342,139.6995535,ヘリックス・クリエイティブ株式会社,須田　英之,5,"37,000",https://helixcreative.jp/,2013/10/17,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-11-3,35.6623434,139.7010494,株式会社Spark Neuro Japan,倍井　謙,12,,https://sparkneuro.jp/,2018/5/2,未公開企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1丁目6−5,35.664342,139.6995535,株式会社Moffly,藤次　一嘉,4,"10,000",https://moffly.jp/,2017/7/7,未公開企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1丁目5-6,35.6647967,139.6997928,Port株式会社,松谷　陽平,6,"307,265",https://www.theport.inc/,2018/2/19,未公開企業,コンピューター - ソフトウェア
渋谷区,神南１丁目,-,東京都渋谷区神南1丁目11-4,35.6625228,139.7010076,株式会社GO TODAY SHAiRE SALON,大庭　邦彦,37,"1,466,760",https://www.shairesalon-go.today/,2016/10/13,未公開企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1丁目6-5,35.664342,139.6995535,GRIT株式会社,田丸　寛仁,1,"35,528",https://grit.today/,2019/5/27,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1丁目12-14,35.6628682,139.7005707,ロボ・スタディ株式会社,福地　三則,,"15,535",https://robostudy.jp/,2018/10/15,未公開企業,産業・エネルギー ICT
渋谷区,神南１丁目,-,東京都渋谷区神南1-23-10 3階,35.659849,139.700863,株式会社チケミー,宮下　大佑,3,"238,500",https://ticketme.co.jp/,2022/6/16,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1丁目11-3 PORTALPOINT SHIBUYA,35.6623708,139.7010324,株式会社Cradle,尾嵜　優美,8,"169,500",https://cradle.care/,2019/12/16,未公開企業,医療・ヘルスケア
渋谷区,神南１丁目,-,東京都渋谷区神南1-10-6 Barbizon98-10,35.6629941,139.7012189,株式会社Arriv,余語　憲太,,,https://arriv.tv/,2018/4/27,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-10-6 Barbizon98-10,35.6629941,139.7012189,株式会社Arriv,余語　憲太,,,https://arriv.tv/,2018/4/27,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1丁目11-3 PORTALPOINT SHIBUYA,35.6623708,139.7010324,株式会社Cradle,尾嵜　優美,8,"169,500",https://cradle.care/,2019/12/16,未公開企業,医療・ヘルスケア
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-14 渋谷宮田ビル,35.6628682,139.7005707,株式会社エボルト,検見崎　裕,1,"198,000",https://evort.co.jp/,2019/4/1,未公開企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-11-3 PORTAL POINT SHIBUYA,35.6623708,139.7010324,株式会社ekei labs,カルニ・ビラル,1,"24,728",https://www.ekeilabs.com/,2022/7/20,未公開企業,医療・ヘルスケア ICT
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-14 渋谷宮田ビル,35.6628682,139.7005707,株式会社REACT,加藤　僚浩,6,"76,536",http://react.tokyo/,2014/5/1,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-15-1 マリービル3F,35.6638004,139.6996333,株式会社イミオ,倉林　啓士郎,16,"326,560",http://imio.co.jp/,2004/7/1,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-5 The Hive Jinnan,35.664342,139.6995535,AKA株式会社,ミョンウォン・ジョン,7,"523,228",https://themusio.com/aboutus,2017/10/30,未公開企業,コンピューター - ソフトウェア
渋谷区,神南１丁目,-,東京都渋谷区神南1-5-7 APPLE OHMI5階,35.6647944,139.6996532,株式会社MAKERS,林　慧亮,11,,https://ufit.co.jp/,2018/7/24,未公開企業,医療・ヘルスケア
渋谷区,神南１丁目,-,東京都渋谷区神南1-20-9 公園通りビル3F,35.6619591,139.6998772,株式会社Any,畑野　仁一,15,"403,336",http://myany.jp,2006/3/15,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-13-14 高野ビル4F,35.6640262,139.6999723,株式会社アートブルー,青山　隆行,20,"5,000",http://www.artblue.co.jp,2009/8/8,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-2 大畠ビル3階,35.6637067,139.7014084,VJソリューションズ株式会社,平松　淳一,,"10,000",http://vjsol.jp/,2012/5/1,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-10 番匠ビル6F,35.6647229,139.7015281,株式会社ドクターブリッジ,上田　英之,33,"3,000",https://www.day-surgery.co.jp/,2015/7/23,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-13-8 パーク・アヴェニュー神南805,35.6636499,139.7005083,株式会社GHOST,小柳津　林太郎,,,https://www.ghst.jp/,2019/8/30,未公開企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-23-14 リージャス渋谷公園通りビル,35.6602879,139.7010169,株式会社Timewitch,三浦　健之介、　岡田　崇,7,"2,000",https://timewitch.jp/ja,2021/2/1,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-11-3 PORTAL POINT SHIBUYA 303,35.6623708,139.7010324,株式会社カシカ,奥　健太郎,5,"3,850",https://kashika.co.jp/index.html,2017/5/1,未公開企業,コンピューター - ソフトウェア
渋谷区,神南１丁目,-,東京都渋谷区神南1-10-6 バルビゾン98 4F,35.6629941,139.7012189,株式会社CALCU,金子　隆耶,,"2,310",https://calcu.jp/,2019/12/2,未公開企業,環境関連 ICT
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-16 アジアビル6F,35.662679,139.7005906,株式会社FanForward,川名　正憲,1,,http://www.fanforward.jp/,2016/10/1,未公開企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-16 アジアビル9階,35.662679,139.7005906,株式会社アイタンクジャパン,丹羽　健二,28,"10,000",http://www.i-tank.jp/,2008/7/14,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-16 アジアビル6F,35.662679,139.7005906,コーチ・ユナイテッド株式会社,有安　伸宏,,"10,000",http://cunited.jp/,2007/1/4,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-10 番匠ビル4F,35.6647229,139.7015281,株式会社STANDING OVATION,荻田　芳宏,3,"490,448",https://www.s-ovation.jp/,2014/1/10,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-3-4 神南ビル5F,35.6647282,139.7012289,amidus株式会社,岡田　考功,,"20,000",http://corp.amidus.jp/,2015/5/15,未公開企業,コンピューター - ソフトウェア
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-16 アジアビル7階,35.662679,139.7005906,株式会社div,石原　圭,134,"2,839,660",https://di-v.co.jp/,2012/3/22,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-20-7 川原ビル4階,35.6617982,139.7000567,株式会社イーサセキュリティ,加門　昭平、　紫竹　佑騎,,"2,000",http://etherinc.co/,2016/3/18,未公開企業,コンピューター - ソフトウェア
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-14 渋谷宮田ビル7階,35.6628682,139.7005707,株式会社togo,田中　勇樹,10,"39,000",http://lp.green.work/,2017/10/5,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-19-14 クリスタルポイントビル2F,35.6627964,139.6996333,シエンプレ株式会社,佐々木　寿郎,16,,https://www.siemple.co.jp/,2008/10/1,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-18-2 フレーム神南坂5階,35.6627351,139.7000304,株式会社ファンメディア,関　厚志,30,"10,000",http://fanmedia.jp/,2012/6/7,未公開企業,コンピューター - ソフトウェア
渋谷区,神南１丁目,-,東京都渋谷区神南1-14-7 ワイズ神南ビル2F,35.6636444,139.6999417,株式会社フリックフィット,廣橋　博仁,7,"30,000",https://flicfit.com/,2006/3/16,未公開企業,コンピューター - ITサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-18-2 フレーム神南坂3階,35.6627351,139.7000304,株式会社クラウドワークス,吉田　浩一郎,39,"1,491,688",https://crowdworks.co.jp/,2011/11/11,IPO / Exit企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-18-2 フレーム神南坂3階,35.6627351,139.7000304,株式会社クラウドワークス,吉田　浩一郎,39,"1,491,688",https://crowdworks.co.jp/,2011/11/11,IPO / Exit企業,ビジネスサービス
渋谷区,神南１丁目,-,東京都渋谷区神南1-11-4 FPG links JINNAN8F,35.6625226,139.7010174,SWITCHBOT株式会社,コネリー・リー,,,https://www.switchbot.jp,2020/9/1,未公開企業,消費者向けサービス・販売
渋谷区,神南１丁目,-,東京都渋谷区神南1-20-13 JMFビル01 4階,35.6622153,139.6996339,株式会社BOY NEXT DOOR,中村　慎之介,3,"176,992",https://coupe-tokyo.com/,2014/12/17,未公開企業,コンピューター - ソフトウェア
